"Invalid alias, already exists in joined attributes","Alias inválido, ya existe en los atributos unidos"
"Attribute '%s' used in configurable products.","Atributo '%s' usado en productos configurables."
"Attribute with the same code","Atributo con el mismo código"
"Attribute used in configurable products.","Atributo usado en productos configurables."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"EAV types and attributes","EAV types and attributes"
"Wrong entity ID","El ID de la entidad es erróneo"
"Wrong attribute ID","El ID del atributo es erróneo"
"Wrong attribute set ID","El ID del conjunto de atributos es erróneo"
"Wrong attribute group ID","El ID del grupo de atributos es erróneo"
"Invalid entity_type specified: %s","El valor de entity_id especificado es inválido: %s"
"Value of attribute ""%s"" must be unique","El valor del atributo ""%s"" debe ser único"
"Invalid entity_id, skipping the record","entity_id es inválido. Se omite el registro."
"Failed to load node %s from config.","Failed to load node %s from config."
"Saved ","Guardado"
"Data integrity: No header row found for attribute","Integridad de datos: No se ha encontrado la fila del encabezado para el atributo"
"Invalid data object key","La clave del objeto de datos es inválida"
"Invalid foreign key","La clave foránea es inválida"
"Entity is not initialized","La entidad no está inicializada"
"Frontend label is not defined","La etiqueta del frontend no está definida"
"Invalid store specified","La tienda especificada es inválida"
"Joined field with this alias (%s) is already declared","La unión de los campos con este alias (%s) ya se ha declarado"
"Joined field with this alias is already declared","La unión de los campos con este alias ya se ha declarado"
"Joined field or attribute expression with this alias is already declared","La unión de los campos o la expresión de atributos con este alias ya se ha declarado"
"Invalid joined fields","Los campos unidos son inválidos"
"No","No"
"No options found in config node %s","No options found in config node %s"
"Default option value is not defined","No se ha definido un valor por defecto para la opción"
"Invalid attribute name: %s","Nombre de atributo inválido %s"
"Unknown parameter","Parámetro desconocido"
"Problem loading the collection, aborting. Error: %s","Problema al cargar la colección, cancelando. Error: %s"
"Problem loading a record, aborting. Error: %s","Problema al cargar un registro, cancelando. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, cancelando. Error: %s"
"Problem saving a record, aborting. Error: ","Problema al guardar un registro, cancelando. Error: %s"
"Yes","Sí"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"Loaded %d records","Se cargaron %d registros"
"Invalid character encountered in increment ID: %s","Se encontró un caracter inválido en el ID de incremento: %s"
"Valid store_id is expected!","Se esperaba un store_id válido!"
"Entity collections expected","Se esperaba una colección de entidades"
"Entity collection expected","Se esperaba una colección de entidades"
"Invalid entity specified","Se ha especificado una entidad inválida"
"Invalid entity supplied","Se ha proporcionado una entidad inválida"
"Invalid entity supplied: %s","Se ha proporcionado una entidad inválida: %s"
"Invalid attribute requested: %s","Se ha solicitado un atributo inválido: %s"
"Attempt to add an invalid object","Se intentó agregar un objeto inválido"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Invalid attribute type","Tipo de atributo inválido"
"Invalid entity type","Tipo de entidad inválido"
