"Action","Acción"
"Add to Queue","Agregar a la cola"
"Add New Template","Agregar una nueva plantilla"
"Customer Lastname","Apellido del cliente"
"Subject","Asunto"
"Queue Subject","Asunto de la cola de tareas"
"Template Subject","Asunto de la plantilla"
"Newsletter","Boletín de noticias"
"Queue Newsletter","Boletín de noticias en cola"
"Delete Template","Borrar la plantilla"
"Delete Selected Problems","Borrar los problemas seleccionados"
"Toggle Editor","Cambiar el editor"
"Selected problem subscribers successfully unsubscribed","Cancelación de subscripción exitosa de los subscriptores problemáticos seleccionados"
"Cancelled","Cancelado"
"Cancel","Cancelar"
"Unsubscribe","Cancelar subscripción"
"Unsubscribe Selected","Cancelar subscripción de los seleccionados"
"Invalid subscription confirmation code","Código de confirmación de subscripción inválido"
"Error Code","Código del error"
"Customer","Cliente"
"Newsletter Queue","Cola de tareas del Boletín de noticias"
"Start","Comenzar"
"Newsletter subscription confirmation","Confirmación de la subscripción al Boletín de noticias"
"Template Content","Contenido de la plantilla"
"Resume","Continuar"
"Convert to Plain Text","Convertir a texto plano"
" Copy","Copiar"
"Email","Correo electrónico"
"Sender Email","Correo electrónico del remitente"
"Create Newsletter Template","Crear una plantilla para el boletín de noticias"
"Need to Confirm","Debe confirmar"
"Unsubscribed","Desubscribirse"
"Return Html Version","Devolver Versión de HTML"
"Duplicate of template code","Duplicado del código de la plantilla"
"Edit Newsletter","Editar el Boletín de noticias"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Edit Newsletter Template","Editar la plantilla del Boletín de noticias"
"Form was filled incorrectly","El formulario fue completado incorrectamente"
"Invalid subscription ID","El ID de la subscripción es inválido"
"Invalid subscriber ID","El ID del subscriptor es inválido"
"Sent","Enviado"
"Sending","Enviando"
"Enter your email address","Escriba su dirección de correo electrónico"
"Status","Estado"
"Are you sure that you want to delete this template?","Está seguro de borrar esta plantilla?"
"Do you really want to cancel the queue?","Está seguro de cancelar la cola de tareas?"
"Are you sure that you want to strip all tags?","Está seguro de desaplicar todas las etiquetas?"
"Date Updated","Fecha actualizada"
"Date Added","Fecha agregada"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Thank you for your subscription","Gracias por subscribirse"
"Save As","Guardar como"
"Save Newsletter","Guardar el Boletín de noticias"
"Save Template","Guardar la plantilla"
"Save And Resume","Guardar y continuar"
"Newsletter unsubscription success","Ha cancelado con éxito su subscripción al Boletín de noticias"
"You have been successfully unsubscribed.","Ha cancelado su subscripción con éxito."
"There was an error while saving your subscription","Hubo un error al guardar su subscripción"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de subscripción"
"There was a problem with the subscription","Hubo un problema con la subscripción"
"There was a problem with the subscription: %s","Hubo un problema con la subscripción: %s"
"ID","ID"
"Queue Information","Información de la cola de tareas"
"Template Information","Información de la plantilla"
"Newsletter Problem Reports","Informes de problemas del Boletín de noticias"
