"Merchant Login","Acceso del comerciante"
"Payment Action","Acción de pago"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autorizar y capturar"
"Transaction key","Clave de la transacción"
"Password","Contraseña"
"Email customer","Correo electrónico del cliente"
"Merchant's email","Correo electrónico del comerciante"
"Debug","Depurar"
"VERBOSITY","DETALLE EXTENSO"
"Error in retrieving the transaction","Error al recuperar la transacción"
"Payment authorization error.","Error de autorización del pago."
"Error in refunding the payment","Error en el reembolso del pago"
"Error in refunding the payment.","Error en el reembolso del pago."
"Error in authorizing the payment","Error en la autorización del pago"
"Error in capturing the payment","Error en la captura del pago"
"Error in payment gateway","Error en la pasarela de pago"
"Gateway request error: %s","Error en la petición de acceso: %s"
"Fraud order status","Estado de Pedido fraudulento"
"Enabled","Habilitado"
"API Login ID","ID de acceso API"
"Invalid transaction id","ID de transacción inválido"
"Invalid amount for authorization","Importe inválido para la autorización"
"Invalid amount for authorization.","Importe inválido para la autorización."
"Payment authorization transaction has been declined.","La transacción de autorización del pago ha sido rechazada."
"Test mode","Modo de prueba"
"New order status","Nuevo estado del Pedido"
"TENDER","OFERTA"
"Sort order","Orden de clasificación"
"Payment from applicable countries","Pago desde los países aplicables"
"Payment from Specific countries","Pago desde los países especificados"
"Payflow Pro","Payflow Pro"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Authorize Only","Sólo autorizar"
"Partner","Socio"
"Title","Título"
"Credit Card Types","Tipos de tarjeta de crédito"
"Maximum Order Total","Total Máximo Pedido"
"Minimum Order Total","Total Mínimo Pedido"
"Voided transaction","Transacción nula"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Usuario"
"Credit Card Verification","Verificación de la tarjeta de crédito"
