"Update Shipping Method","Actualizar el método de envío"
"Items in Your Shopping Cart","Articulos en su carrito de compras"
"Change Payment Method","Cambiar el método de pago"
"Change Shipping Address","Cambiar la dirección de envío"
"Qty","Cant."
"PayPal Account","Cuenta de PayPal"
"Shipping Address","Direccion de envío"
"Edit Shopping Cart","Editar el carrito de compras"
"Email","Email"
"Submitting order information...","Enviando información del pedido…"
"Incl. Tax","Incl. Tax"
"Billing Information","Información de pago"
"Shipping Information","Informacion de envío"
"Shipping Method","Método de envío"
"Payment Method","Método de pago"
"No shipping method required.","No shipping method required."
"Product Name","Nombre del producto"
"PayPal Email","PayPal Email"
"Sorry, no quotes are available for this order at this time.","Perdón, no hay cotizaciones disponibles para este Pedido en este momento."
"Please select a shipping method...","Por favor, seleccione un método de envío..."
"Price","Precio"
"Place an Order","Realizar un Pedido"
"Review Order","Revisar el Pedido"
"You will be redirected to PayPal website when you place an order.","Será redirigido a la página de PayPal cuando realice el pedido."
"Your billing address will be ignored and you will be redirected to PayPal website","Su dirección de pago será ignorada y será redirigido al sitio web de PayPal"
"Subtotal","Subtotal"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
