"Year","Año"
"Action","Acción"
"Updated at","Actualizado en"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Add to Compare","Agregar a la lista de comparación"
"Add to Cart","Agregar al carrito"
"Last Name","Apellido"
"Items in Cart","Artículos en el carrito"
"Items Ordered","Artículos pedidos"
"Avg. approved rating","Calificación aprovada"
"Avg. rating","Calificación. Clasificación"
"Quantity of Items","Cantidad de artículos"
"Stock Qty","Cantidad de existencias"
"Quantity Ordered","Cantidad pedida"
"Shopping Cart","Carrito de compras"
"Carts","Carritos"
"Abandoned carts","Carritos abandonados"
"Product Sku","Código del producto"
"Customer","Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes por número de Pedidos"
"Customers by orders total","Clientes por total de Pedidos"
"Customers that have wishlist: %s%","Clientes que tienen lista de artículos de interés: %s%"
"Your Recently Compared","Comparados recientemente"
"Bought from wishlists","Comprado desde la lista de artículos de interés"
"Purchases","Compras"
"Default Recently Viewed Products count","Contar las vistas de los productos por defecto"
"Default Recently Compared Products count","Contar los productos comparardos por defecto"
"Email","Correo electrónico"
"Created at","Creado el"
"CSV","CSV"
"Applied Coupon","Cupón aplicado"
"Coupons","Cupones"
"Day","Día"
"Downloads","Descargas"
"Discounts","Descuentos"
"Detail","Detalle"
"Tag ""%s"" details","Detalle de etiqueta ""%s"""
"Tag Detail","Detalle de la etiqueta"
"Shipping","Envío"
"Submitted On","Enviado el"
"Submitted In","Enviado en"
"Tag","Etiqueta"
"Customers Tags","Etiquetas de los clientes"
"Products Tags","Etiquetas de productos"
"Customer Tags","Etiquetas del cliente"
"Product Tags","Etiquetas del producto"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tags submited by %s","Etiquetas enviadas por %s"
"Popular Tags","Etiquetas populares"
"Excel","Excel"
"Low stock","Existencia baja"
"Invoiced","Facturado"
"Invalid date specified","Fecha especificada no válida"
"ID","ID"
"Tax Amount","Importe del impuesto"
"Tax","Impuesto"
"Wishlist Report","Informe de la lista de artículos de interés"
"Customers Report","Informe de los clientes"
"Products Report","Informe de los productos"
"Poducts Report","Informe de los productos"
"Sales Report","Informe de ventas"
"Reports","Informes"
"Revenue","Ingresos"
"Guest","Invitado"
"Wishlists","Lista de artículos de interés"
"Wishlist vs. Regular Order","Lista de artículos de interés vs. Pedido habitual"
"Bestsellers","Más vendidos"
"Most viewed","Más visto"
"Most Viewed","Más Visto"
"Month","Mes"
"Show for Current","Mostrar para el actual"
"Number Added","Número agregado"
"Number Purchased","Número comprado"
"Number Fulfilled","Número cumplido"
"Number of Items","Número de artículos"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde una lista de artículos de interés: %s"
"Number of wishlist conversions: %s","Número de conversiones de listas de artículos de interés: %s"
"Number of Unique Tags","Número de etiquetas únicas"
"Number of wishlists: %s","Número de listas de artículos de interés: %s"
"Number of New Accounts","Número de nuevas cuentas"
"Number of Reviews","Número de opiniones"
"Number Of Reviews","Número de opiniones"
"Number of Orders","Número de Pedidos"
"Number of Ivoiced Orders","Número de pedidos facturados"
"Number of Refunded Orders","Número de pedidos reembolsados"
"Number of wishlist referrals: %s","Número de referidos de listas de artículos de interés: %s"
"Number Of Uses","Número de usos"
"Number Of Historical Uses","Número de usos históricos"
"Number of times deleted","Número de veces borrado"
"Number of times wishlists have been shared (emailed): %s","Número de veces que las listas de artículos de interés fueron compartidas (enviadas por correo): %s"
"Number of Views","Número de vistas"
"Number of Total Tags","Número total de etiquetas"
"Number Viewed","Número visto"
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la etiqueta"
"Customer Name","Nombre del cliente"
"Product Name","Nombre del producto"
"New Accounts","Nuevas cuentas"
"Review","Opinión"
"Reviews","Opiniones"
"Customers Reviews","Opiniones de los clientes"
"Products Reviews","Opiniones de los productos"
"Product Reviews","Opiniones del producto"
"Reviews for %s","Opiniones para %s"
"Orders","Pedidos"
"Popularity","Popularidad"
"Price","Precio"
"Products","Productos"
"Recently Compared Products","Productos comparados recientemente"
"Products in carts","Productos en carritos"
"Products Sold","Productos vendidos"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Viewed/Compared Products","Productos vistos/comparados recientemente"
"Refunded","Reembolsado"
"Online Refunded","Reembolso en línea"
"Offline Refunded","Reembolso fuera de línea"
"Results","Resultados"
"Rate","Ritmo"
"Out of stock","Sin existencia"
"Subtotal","Subtotal"
"Search Terms","Términos de búsqueda"
"Title","Título"
"Total","Total"
"Total Shipping","Total de envío"
"Total Tags","Total de etiquetas"
"Total Invoiced","Total facturado"
"Total invoiced","Total facturado"
"Total Invoiced Captured","Total facturado capturado"
"Total Invoiced not Captured","Total facturado no capturado"
"Total Refunded","Total reembolsado"
"Total refunded","Total reembolsado"
"Carrier/Method","Transporte/Método"
"Last Review","Ultima opinión"
"Tag use","Uso de la etiqueta"
"Link","Vínculo"
"Sales","Ventas"
"Visible In","Visible en"
"Hits","Visitas"
"Your Recently Viewed","Vistos recientemente"
