"%s - Special Discounts","%s - Descuentos especiales"
"%s - Discounts and Coupons","%s - Descuentos y cupones"
"%s has reached a quantity of %s.","%s ha alcanzado la cantidad de %s."
"%s RSS Feed","%s RSS Feed"
"To:","A:"
"Miscellaneous Feeds","Canales Miscelanea"
"Catalog","Catálogo"
"Top Level Category","Categoría de máximo nivel"
"Category Feeds","Categoria Canales"
"Comment: %s<br/>","Comentario: %s<br/>"
"Purchased From: %s","Comprado desde: %s"
"Rss Config","Configuración Rss"
"Coupons/Discounts","Cupones/Descuentos"
"Discount ","Descuento "
"From:","Desde:"
"Details for %s #%s","Detalles para %s #%s"
"Error in processing xml. %s","Error procesando XML. %s"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Tags Products","Etiquetas de productos"
"Notified Date: %s<br/>","Fecha de notificación: %s<br/>"
"RSS Feeds","Feeds RSS"
"Shipping & Handling","Gastos de envío"
"Enable RSS","Habilitar RSS"
"Tax","Impuestos"
"Wishlist","Lista de artículos de interés"
"%s's Wishlist","Lista de artículos de interés de %s"
"Gift Message","Mensaje de regalo"
"Message:","Mensaje:"
"There are no Rss Feeds","No hay canales de RSS"
"There are no Rss Feeds.","No hay canales de RSS"
"Cannot retrieve the wishlist","No se puede recuperar la lista de artículos de interés"
"Customer Name: %s","Nombre del cliente: %s"
"Customer Order Status Notification","Notificación del estado del Pedido del cliente"
"New Orders","Nuevos Pedidos"
"New Products","Nuevos productos"
"New Products from %s","Nuevos productos de %s"
"Get Feed","Obtener Feed"
"Pending product review(s)","Opinión(es) de productos pendientes"
"Review: %s <br/>","Opinión: %s <br/>"
"Order # %s Notification(s)","Pedido # %s Notificacion(es)"
"Order #%s created at %s","Pedido #%s creado el %s"
"click <a href=""%s"">here</a> to view the review","presionar <a href=""%s"">aquí</a> para ver la opinión"
"Product: ""%s"" review By: %s","Producto: ""%s"" que opinó: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Productos con existencia baja"
"Special Products","Productos especiales"
"Special/Discount Products","Productos especiales/rebajados"
"Products tagged with %s","Productos etiquetados con %s"
"Summary of review: %s <br/>","Resumen de la opinión: %s <br/>"
"RSS","RSS"
"Rss Feeds Section","Sección Canales RSS"
"Subtotal","Subtotal"
"Grand Total","Suma Total"
"RSS testing","Testear RSS"
"Store: %s <br/>","Tienda: %s <br/>"
"Total Products: %s","Total Productos: %s"
"Total: %s<br/>","Total: %s<br/>"
