" The customer doesn't exist in the system anymore"," El cliente ya no existe en el sistema"
"Total %d product(s)","%d total de producto(s)"
"%s / %s rate:","%s / %s ritmo:"
"%s order(s) successfully released from holding status","%s pedido(s) liberados correctamente des del estado ""holding"""
"%s order(s) successfully put on hold","%s pedido(s) puesto(s) en suspenso con éxito"
"%s order(s) successfully canceled","%s pedidos cancelados con éxito"
"%s for %s","%s per %s"
"* - Enter custom price including tax","* - Introducir el precio con impuestos"
"* - Enter custom price excluding tax","* - Introducir el precio sin impuestos"
"To","A"
"To Name","A Nombre"
"To:","A:"
"Add","Añadir"
"Add to Cart","Añadir al carrito"
"Add To Order","Añadir al Pedido"
"Add comment to order","Añadir comentario"
"Add Order Comments","Añadir comentarios al Pedido"
"Add Gift Messsage","Añadir mensaje de regalo"
"Add Tracking Number","Añadir número de seguimiento"
"Add new comment to shipment","Añadir nuevo comentario a envío"
"Add new tracking number","Añadir nuevo número de seguimiento"
"Add Selected Product(s) to Option","Añadir producto seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir producto(s) seleccionado(s) al Pedido"
"Add Products","Añadir productos"
"Add a gift message for <strong>each gift item</strong>","Añadir un mensaje de regalo para <strong>cada artículo de regalo</strong>"
"Add a gift message for the <strong>entire order</strong>","Añadir un mensaje de regalo para el <strong>Pedido completo</strong>"
"Add New Address","Añadir una nueva dirección"
"Action","Acción"
"Actions","Acciones"
"Enabled","Activado"
"Shipment Update","Actualización de envío"
"Shipment Update for Guest","Actualización de envío para invitado"
"Invoice Update","Actualización de la Factura"
"Credit Memo Update","Actualización de la Factura de abono"
"Credit Memo Update for Guest","Actualización de la Factura de abono para invitado"
"Invoice Update for Guest","Actualización de la Factura para invitado"
"Order Update","Actualización del Pedido"
"Order Update for Guest","Actualización del Pedido para invitado"
"Update Items and Qty's","Actualizar artículos y cantidad"
"Update Changes","Actualizar los cambios"
"Update Qty's","Actualizar Qtat"
"Adjustment Refund","Ajuste de reembolso"
"Adjustment Refund:","Ajuste de reembolso:"
"Adjustment Fee","Ajuste de tarifa"
"Adjustment Fee:","Ajuste de tarifa:"
"Packingslip # ","Albarán # "
"PDF Packingslips","Albarán en PDF"
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Algunos de los productos no tienen tienen todas las opciones requeridas. Por favor, eliminelos y añadalos otra vez con todas las opciones requeridas."
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Algunos productos tienen cantidades que exceden las permitidas. Por favor, seleccione una pequeña cantidad para comprar."
"Append Comments","Anexar comentarios"
"Ship to Last name","Apellido Destinatario"
"Bill to Last name","Apellido en la Factura:"
"Order API","API pedido"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar código de cupón"
"Item","Artículo"
"Items Shipped","Artículos enviados"
"Items Invoiced","Artículos facturados"
"Items to Ship","Artículos para enviar"
"Items to Invoice","Artículos para facturar"
"Items to Refund","Artículos para reembolsar"
"Items Ordered","Artículos pedidos"
"Items Refunded","Artículos reembolsados"
"Are you sure you want to cancel this order?","¿Está seguro de cancelar este Pedido?"
"Are you sure?","¿Está seguro?"
"Are you sure? This order will be cancelled and a new one will be created instead","¿Está seguro? Este Pedido será cancelado y uno nuevo será creado en su lugar"
"Delete","Borrar"
"Change Status","Cambiar el estado"
"Change status, add comments","Cambio de estado, agregar comentarios"
"Canceled","Cancelado"
"Cancel","Cancelar"
"Cancel invoice","Cancelar la factura"
"Cancel order","Cancelar pedido"
"Qty","Cantidad"
"Total Qty","Cantidad"
"Qty to Refund","Cantidad a reembolsar"
"Item ordered qty","Cantidad de artículos"
"Qty to Ship","Cantidad de envío"
"Refund Amount","Cantidad del Reembolso"
"Qty Shipped","Cantidad enviada"
"Qty Invoiced","Cantidad facturada"
"Invalid qty to ship for item ""%s""","Cantidad inválida de envío para artículo ""%s"""
"Invalid qty to refund item ""%s""","Cantidad inválida de reembolso para artículo ""%s"""
"Invalid qty to invoice item ""%s""","Cantidad inválida para facturar artículo ""%s"""
"Minimum amount","Cantidad mínima"
"Minimum order amount","Cantidad mínima de pedido"
"Qty To Add","Cantidad para añadir"
"Qty to Invoice","Cantidad para facturar"
"Qty Ordered","Cantidad pedida"
"Capture invoice","Captura de factura"
"Capture","Capturar"
"Capture Online","Capturar en línea"
"Capture Offline","Capturar fuera de línea"
"Capture Amount","Capturar importe"
"Shopping Cart","Carrito de compras"
"Sku","Código"
"ZIP/Post Code","Código Postal"
"Create new invoice for order","Cear una nueva factura"
"Closed","Cerrado"
"Gift Certificate","Certificado de regalo"
"Customer","Cliente"
"Customer's Current Activities","Cliente's Actividades actuales"
"SKU","CODIGO"
"Comment","Comentario"
"Comments","Comentarios"
"Credit Memo Comments","Comentarios a la Factura de abono"
"Invoice Comments","Comentarios de la Factura"
"Shipment Comments","Comentarios del Envío"
"Order Comments","Comentarios del Pedido"
"Order Comment","Comentarios del Pedido"
"Complete","Completa"
"Purchased On","Comprado el"
"Purchased From","Comprado en"
"Purchased from (store)","Comprado en (tienda)"
"Buy %s for price %s","Comprar %s por el precio %s"
"Email Copy of Invoice","Copia por correo de la Factura"
"Email Copy of Credit Memo","Copia por correo de la Factura de abono"
"Email Copy of Shipment","Copia por correo del Envío"
"Email","Correo electrónico"
"Email Order Confirmation","Correo para la confirmación del Pedido"
"Sales Emails","Correos electrónicos de ventas"
"Store Credit","Crédito en la Tienda"
"Created At","Creado el"
"Create","Crear"
"Create Shipment","Crear Envío"
"Create New Customer","Crear un nuevo cliente"
"Create new shipment for order","Crear un nuevo envio"
"Create New Order","Crear un nuevo Pedido"
"Create New Order for %s","Crear un nuevo Pedido para %s"
"Create New Order for %s in %s","Crear un nuevo Pedido para %s en %s"
"Create New Order for New Customer","Crear un nuevo Pedido para un nuevo cliente"
"Create New Order for New Customer in %s","Crear un nuevo Pedido para un nuevo cliente en %s"
"QTY","CTDAD"
"Coupons","Cupones"
"Description message","Descripción del mensaje"
"Discount ","Descuento"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Discount%s","Descuento%s"
"Discount :","Descuento:"
"From","Desde"
"From:","Desde:"
"Order Details","Detalles del Pedido"
"Shipping Refund","Devolución de envío"
"Returned","Devuelto"
"Address","Dirección"
"Shipping Address","Dirección de envío"
"Billing Address","Dirección de facturación"
"Document","Documento"
"Edit","Editar"
"Edit Order #%s","Editar el Pedido #%s"
"Edit Gift Messsage","Editar mensaje de regalo"
"The item %s (SKU %s) doesn't exist in the catalog anymore","El artículo %s (SKU %s) ya no existe en el catálogo"
"Item option with code %s already exist","El artículo con el código %s ya existe"
"Item object is not specified.","El artículo no está especificado."
"""%s"" coupon code is not valid.","El código de cupón ""%s"" no es válido."
"Credit Memo email sent","El correo electrónico de la Factura de abono ha sido enviado"
"Credit Memo email not sent","El correo electrónico de la Factura de abono no ha sido enviado"
"Invoice email sent","El correo electrónico de la Factura fue enviado"
"Invoice email not sent","El correo electrónico de la Factura no fue enviado"
