"Action","Acción"
"Add Sitemap","Agregar un mapa del sitio"
"Yearly","Anualmente"
"Hourly","Cada hora"
"Generation Settings","Configuraciones de generación"
"Please create the specified folder ""%s"" before saving the sitemap.","Crea el directorio ""%s"" después de guardar el mapa del sitio"
"Please define correct path","Defina una ruta correcta"
"Daily","Diariamente"
"Edit Sitemap","Editar el mapa del sitio"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","El fichero ""%s"" no se ha podido guardar. Por favor, crea un  directorio ""%s"" con permiso de escritura."
"Sitemap was successfully deleted","El mapa del sitio fue borrado con éxito"
"Sitemap was successfully saved","El mapa del sitio fue guardado con éxito"
"Sitemap generate Warnings","El mapa del sitio genera advertencias"
"Sitemap ""%s"" has been successfully generated","El mapa web ""%s"" ha sido creado correctamente"
"Link for Google","Enlace para Google"
"Error Email Recipient","Error en el correo electrónico del recipiente"
"Error Email Sender","Error en el correo electrónico del remitente"
"Error Email Template","Error en la plantilla de correo"
"This sitemap no longer exists","Este mapa del sitio ya no existe"
"Frequency","Frecuencia"
"Generate","Generar"
"Enabled","Habilitado"
"Start Time","Hora de inicio"
"ID","ID"
"Priority must be between 0 and 1","La prioridad debe ser un valor entre 0 y 1"
"Valid values range from 0.0 to 1.0","Los valores aceptados abarcan desde 0,0 a 1,0"
"Sitemap","Mapa del sitio"
"Google Sitemap","Mapa del sitio Google"
"Monthly","Mensualmente"
"Unable to find a sitemap to delete","No se pudo encontrar el mapa del sitio para borrar"
"Unable to find a sitemap to generate","No se puede encontrar ningún mapa para generar"
"Unable to generate a sitemap","No se puede generar un mapa del sitio"
"Filename","Nombre del archivo"
"New Sitemap","Nuevo mapa del sitio"
"Never","Nunca"
"Categories Options","Opciones para las categorías"
"CMS Pages Options","Opciones para las páginas CMS"
"Products Options","Opciones para los productos"
"Priority","Prioridad"
"Please make sure that ""%s"" is writable by web-server.","Revisa que ""%s"" tenga permisos de escritura."
"Path","Ruta"
"Google Sitemap Section","Sección Google Sitemap"
"Weekly","Semanalmente"
"Always","Siempre"
"Last Time Generated","Ultima vez que se generó"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Utilize sólo letras (a-z o A-Z), números (0-9) o el guión bajo (_) para los nombres de fichero. Si espacios ni caráteres no alfanuméricos."
"Store View","Vista de la tienda"
