"1 Day Freight","1 día de flete"
"2Day","2 días"
"2 Day Freight","2 días de flete"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Day Select"
"3 Day Freight","3 días de flete"
"Next Afternoon","A la tarde siguiente"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Express Saver","Ahorro Express"
"Large","Amplitud"
"Library","Biblioteca"
"FedEx 10kg Box","Caja de 10 kg de FedEx"
"FedEx 25kg Box","Caja de 25 kg de FedEx"
"Drop Box","Caja desplegable"
"FedEx Box","Caja FedEx"
"Calculate Handling Fee","Calcular costo de transporte"
"Canada Standard","Canada Standard"
"Letter","Carta"
"Invalid UPS CGI code for type %s: %s","Código CGI de UPS inválido para el tipo  %s: %s"
"Invalid USPS XML code for type %s: %s","Código inválido de código XML de USPS para  el tipo %s: %s"
"Invalid DHL XML code for type %s: %s","Código XML de DHL inválido para el tipo  %s: %s"
"Invalid FedEx XML code for type %s: %s","Código XML de FedEx inválido para el tipo  %s: %s"
"Business Service Center","Centro de servicos de negocios"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Contenedor"
"Password","Contraseña"
"Priority Mail","Correo electrónico prioritario"
"Express Mail","Correo Express"
"Media Mail","Correo regular"
"Handling Applied","Costos de envío aplicados"
"Customer Packaging","Customer Packaging"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Package Description","Descripción del paquete"
"DHL","DHL"
"Domestic Shipment Days","Domestic Shipment Days"
"Shipment is not available.","El envío no está disponible."
"Packaging","Empaque"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Bound Printed Matter","Encuadernación de imprenta"
"Dropoff","Entrega"
"Home Delivery","Entrega a domicilio"
"Delivered","Entregado"
"Free shipping with minimum order amount","Envío gratis con un importe mínimo del Pedido"
"Shipment Dutiable","Envío imponible"
"Shipment picked up","Envío recogido"
"Ship to applicable countries","Enviar a países aplicables"
"Ship to Specific countries","Enviar a países específicos"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Unknown error","Error desconocido"
"Station","Estación"
"Express 10:30 AM","Expreso 10:30 AM"
"International Express","Expreso internacional"
"Express","Express"
"FedEx","FedEx"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Intl Priority Freight","Flete de prioridad internacional"
"Intl Economy Freight","Flete internacional económico"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Enabled","Habilitado"
"Access ID","ID de acceso"
"Account ID","ID de cuenta"
"User ID","ID del usuario"
"UserId","Idusuario"
"Minimum order amount for free shipping","Importe mínimo del Pedido para envíos gratuitos"
"Unable to retrieve tracking","Imposible recuperar el seguimiento"
"International Economy","Internacional económico"
"International Shipment Days","International Shipment Days"
"Kilograms","Kilograms"
"Response is in the wrong format","La respuesta está en el formato incorrecto"
"Shipping key","Llave del envío"
"Shipping key (International)","Llave del envío (Internacional)"
"Machinable","Machinable"
"Pickup method","Método de recolección"
"Free method","Método gratuito"
"Allowed methods","Métodos permitidos"
"Displayed Error Message","Mensaje de error mostrado"
"Show method if not applicable","Mostrar el método aunque no sea aplicable"
"Account number","Número de cuenta"
"Access license number","Número de licencia de acceso"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
