"Actions","Actions"
"An error occurred while marking notification as read.","Erreur lors du marquage comme ""lu"" des notifications."
"An error occurred while marking the messages as read.","Erreur lors du marquage comme ""lu"" des messages"
"An error occurred while removing messages.","Erreur lors de la suppression des messages."
"An error occurred while removing the message.","Erreur lors de la suppression du message."
"Are you sure?","Êtes-vous sûr(e) ?"
"Date Added","Date d'ajout"
"Last Update","Dernière mise à jour"
"Mark as Read","Marquer comme lu"
"Mark as read","Marquer comme lu"
"Message","Message"
"Messages Inbox","Messages reçus"
"Notifications","Notifications"
"Please select messages.","Veuillez sélectionner des messages."
"Read Details","Lire les détails"
"Remove","Supprimer"
"Severity","Importance"
"Show List","Afficher la liste"
"Show Toolbar","Afficher la barre d'outils"
"The message has been marked as read.","Le message a bien été marqué comme lu."
"The message has been removed.","Le message a bien été supprimé."
"Total of %d record(s) have been marked as read.","%d enregistrement(s) a (ont) bien été marqué(s) comme lu(s)."
"Total of %d record(s) have been removed.","%d enregistrement(s) a (ont) bien été supprimé(s)."
"Unable to proceed. Please, try again.","Impossible de continuer. Veuillez réessayer ultérieurement."
"Update Frequency","Fréquence de mise à jour"
"Use HTTPS to Get Feed","Utiliser HTTPS pour récupérer le flux"
"critical","critique"
"major","majeur"
"minor","mineur"
"notice","annonce"
"Wrong message type","Mauvais type de message."
