" The customer does not exist in the system anymore."," Le client n'existe plus dans le système."
" [deleted]"," [effacé]"
"and","et"
"%s (Default Template from Locale)","%s (Gabarit par défaut pour la langue)"
"%s cache type(s) disabled.","%s type(s) de cache désactivé(s)."
"%s cache type(s) enabled.","%s type(s) de cache activé(s)."
"%s cache type(s) refreshed.","%s type(s) de cache actualisé(s)."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Chemin absolu ou relatif vers la racine d'installation de Magento, par ex. var/export)"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Shift-)Click or drag to change value","Pour modifier la valeur, cliquez en maintenant la touche shift enfoncée ou glissez"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'Non', seuls les champs mappés seront importés. Lorsque vous utilisez le mapping, utilisez 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Vous devez augmenter la mémoire allouée à PHP (php_limit) avant de modifier cette valeur)"
"(\t for tab)","(\t pour une tabulation)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Si l'indexation est en cours, elle sera stoppée et un nouveau process d'indexation démarrera."
"- Click on any of the time parts to increase it","- Cliquez sur n'importe quelle partie de l'heure pour l'augmenter"
"- Hold mouse button on any of the above buttons for faster selection.","- Maintenez le bouton de la souris sur n'importe quel bouton ci-dessus pour une sélection rapide"
"- Use the %s buttons to select month","- Utilisez les boutons %s pour sélectionner le mois"
"- Use the %s, %s buttons to select year","- Utilisez les boutons %s, %s pour sélectionner l'année"
"- or Shift-click to decrease it","- ou cliquez en maintenant la touche shift enfoncée pour l'augmenter"
"- or click and drag for faster selection.","- ou cliquez et glissez pour une sélection plus rapide"
"-- Not Selected --","-- Non sélectionné --"
"-- Please Select --","-- Faites un choix --"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"-- Please Select a Category --","-- Choisissez une catégorie --"
"-- Please select --","-- Votre choix --"
"--Please Select--","--Votre choix--"
"1 Hour","1 Heure"
"12 Hours","12 Heures"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Heures"
"24 Hours","24 Heures"
"24h","24h"
"2YTD","Depuis le début de l'année dernière"
"6 Hours","6 Heures"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Un nouveau mot de passe a été envoyé à votre adresse email. Veuillez vérifier votre courrier électronique et cliquez sur Retour pour vous connecter."
"A user with the same user name or email aleady exists.","Il existe déjà un utilisateur avec le même nom d'utilisateur ou email."
"API Key","Clé d'API"
"API Key Confirmation","Confirmation de la clé d'API"
"Abandoned Carts","Paniers abandonnés"
"About the calendar","À propos du calendrier"
"Access Denied","Accès refusé"
"Access denied","Accès refusé"
"Access denied.","Accès refusé."
"Account Created in:","Compte créé dans :"
"Account Created on (%s):","Compte créé le (%s) :"
"Account Created on:","Compte créé le :"
"Account Information","Informations du compte"
"Account Status","Statut du compte"
"Account status","Statut du compte"
"Action","Action"
"Actions","Actions"
"Actions XML","XML d'actions"
"Active","Actif"
"Add","Ajouter"
"Add Contents Path","Ajouter un chemin de contenus"
"Add Exception","Ajouter une exception"
"Add Field Mapping","Ajouter un mapping de champs"
"Add Field with URL:","Ajouter un champ avec l'URL :"
"Add New Image","Nouvelle image"
"Add New Profile","Nouveau profil"
"Add New Role","Nouveau rôle"
"Add New Template","Ajouter un nouveau gabarit"
"Add New URL Rewrite","Nouvelle réécriture d'URL"
"Add New User","Nouvel utilisateur"
"Add New Variable","Nouvelle variable"
"osCommerce","osCommerce"
"Add New osCommerce Profile","Ajoutez un nouveau profil osCommerce"
"Add PHP Extension dependency","Ajouter une dépendance d'extension PHP"
"Add Package dependency","Ajouter une dépendance de package"
"Add URL Rewrite","Ajouter une réécriture d'URL"
"Add URL Rewrite for a Category","Ajoutez une réécriture d'URL pour une catégorie"
"Add URL Rewrite for a Product","Ajoutez une réécriture d'URL pour un produit"
"Add after","Ajoutez après"
"Additional Cache Management","Gestion étendue du cache"
"Address Type:","Type d'adresse :"
"Admin","Administration"
"Advanced Admin Section","Section admin avancée"
"Advanced Profiles","Profils avancés"
"Advanced Section","Section avancée"
"All","Tous"
"All Allowed Countries","Tous les pays autorisés"
"All Cache","Tout le cache"
"All Files","Tous les fichiers"
"All Reviews","Tous les commentaires"
"All Store Views","Toutes les vues magasin"
"All Tags","Tous les mots clés"
"All Websites","Tous les sites web"
"All countries","Tous les pays"
"All fields","Tous les champs"
"All possible rates were fetched, please click on ""Save"" to apply","Tous les taux possibles ont été récupérés, cliquez sur ""Sauvegarder"" pour les appliquer."
"All rates were fetched, please click on ""Save"" to apply","Tous les taux ont été récupérés, cliquez sur ""Sauvegarder"" pour les appliquer."
"All valid rates have been saved.","Tous les taux valides ont été sauvegardés."
"Amounts","Montants"
"An error occurred while clearing the JavaScript/CSS cache.","Erreur lors de la purge du cache javascript/CSS."
"An error occurred while clearing the image cache.","Erreur lors de la purge du cache des images."
"An error occurred while creating the backup.","Erreur lors de la création de la sauvegarde."
"An error occurred while deleting email template data. Please review log and try again.","Erreur lors de la suppression des données de gabarit d'email. Consultez les logs."
"An error occurred while deleting this role.","Erreur lors de la suppression de ce rôle."
"An error occurred while deleting this set.","Erreur lors de la suppression de ce jeu."
"An error occurred while deleting this template.","Erreur lors de la suppression de ce gabarit."
"An error occurred while finishing process. Please refresh the cache","Erreur lors de la finalisation de ce process. Rafraîchissez le cache."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Erreur lors de la reconstruction de l'index des statuts de stock du catalogue."
"An error occurred while rebuilding the catalog index.","Erreur lors de la reconstruction de l'index du catalogue."
"An error occurred while rebuilding the flat catalog category.","Erreur lors de la reconstruction du catalogue à plat des catégories."
"An error occurred while rebuilding the flat product catalog.","Erreur lors de la reconstruction du catalogue à plat des produits."
"An error occurred while rebuilding the search index.","Erreur lors de la reconstruction de l'index de recherche."
"An error occurred while refreshing the Catalog Rewrites.","Erreur lors de la reconstruction des réécritures du catalogue."
"An error occurred while refreshing the Layered Navigation indices.","Erreur lors de la reconstruction des indexes de navigation par filtre."
"An error occurred while refreshing the catalog rewrites.","Erreur lors de la reconstruction des réécritures du catalogue."
"An error occurred while refreshing the layered navigation indices.","Erreur lors de la reconstruction des indexes de navigation par filtre."
"An error occurred while saving account.","Erreur lors de la sauvegarde du compte."
"An error occurred while saving the customer.","Erreur lors de la sauvegarde du client."
"An error occurred while saving this configuration:","Erreur lors de la sauvegarde de cette configuration."
"An error occurred while saving this role.","Erreur lors de la sauvegarde de ce rôle."
"An error occurred while saving this template.","Erreur lors de la sauvegarde de ce gabarit."
"An error occurred while updating the selected review(s).","Erreur lors de la mise à jour des commentaires sélectionnés."
"Any","Tous"
"Any Attribute Set","Tous les jeux d'attributs"
"Any Group","Tous les groupes"
"Any Status","Tous les statuts"
"Any Store","Tous les magasins"
"Any Type","Tous les types"
"Any Visibility","Toutes les visibilités"
"Archive file name:","Nom du fichier d'archive :"
"Are you sure that you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip tags?","Êtes-vous sûr(e) de vouloir supprimer les tags ?"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Area","Zone"
"Assigned","Affecté"
"Associated Tags","Tags associés"
"Attribute Set Name:","Nom du jeu d'attributs"
"Attributes","Attributs"
"Authors","Auteurs"
"Automatic","Automatique"
"Available Products","Produits disponibles"
"Average Order Amount","Montant moyen de commande"
"Average Orders","Moyenne des commandes"
"Back","Retour"
"Back to Login","Retour à l'identification"
"Backup","Sauvegarde"
"Backup record was deleted.","L'enregistrement de sauvegarde a été effacé."
"Backups","Sauvegardes"
"Base currency","Devise de base"
"Bcc","Bcc"
"Bestsellers","Meilleures ventes"
"Big Image","Grande image"
"Billing Address","Adresse de facturation"
"Billing Address: ","Adresse de facturation "
"Billing Agreement","Entente de facturation"
"Billing Agreements","Ententes de facturation"
"Block Information","Information"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Both IPN and PDT","IPN et PDT"
"Browse Files...","Parcourir les fichiers..."
"Bundle Items","Articles packagés"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un bundle avec un prix dynamique ne peut pas inclure d'options définies. Les options ne seront pas sauvegardées."
"CMS","CMS"
"CRITICAL","critique"
"CSV","CSV"
"CSV / Tab separated","CSV / séparé par des tabulations"
"Cache Control","Contrôle du cache"
"Cache Control (beta)","Contrôle du cache (beta)"
"Cache Management","Gestion du cache"
"Cache Type","Type de Cache"
"Cancel","Annuler"
"Cannot add new comment.","Impossible d'ajouter un commentaire."
"Cannot add tracking number.","Impossible d'ajouter un numéro de suivi."
"Cannot create an invoice without products.","Impossible de créer une facture sans produits."
"Cannot create credit memo for the order.","Impossible de créer un avoir pour la commande."
"Cannot delete the design change.","Impossible de supprimer le changement de design."
"Cannot delete tracking number.","Impossible de supprimer le numéro de suivi."
"Cannot do shipment for the order separately from invoice.","Impossible de créer une expédition pour la commande séparément de la facture."
"Cannot do shipment for the order.","Impossible de créer une expédition pour la commande."
"Cannot find the email address.","Impossible de trouver l'email."
"Cannot initialize shipment for adding tracking number.","Impossible d'initialiser l'expédition pour ajouter le numéro de suivi."
"Cannot initialize shipment for delete tracking number.","Impossible d'initialiser l'expédition pour supprimer le numéro de suivi."
"Cannot load track with retrieving identifier.","Impossible de charger le suivi avec l'identifiant."
"Cannot retrieve tracking number detail.","Impossible de récupérer le détail du suivi pour ce numéro."
"Cannot save shipment.","Impossible de sauvegarder l'expédition."
"Cannot save the credit memo.","Impossible de sauvegarder l'avoir."
"Cannot send shipment information.","Impossible d'envoyer les informations d'expédition."
"Cannot update item quantity.","Impossible de mettre à jour la quantité de l'article."
"Cannot update the item\'s quantity.","Impossible de mettre à jour la quantité de l'article."
"Card Verification Number","Numéro de vérification"
"Catalog","Catalogue"
"Catalog Price Rules","Règles de prix catalogue"
