"and","et"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Chemin absolu ou relatif vers la racine d'installation de Magento, par ex. var/export)"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Shift-)Click or drag to change value","Pour modifier la valeur, cliquez en maintenant la touche shift enfoncée ou glissez"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'Non', seuls les champs mappés seront importés. Lorsque vous utilisez le mapping, utilisez 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Vous devez augmenter la mémoire allouée à PHP (php_limit) avant de modifier cette valeur)"
"(\t for tab)","(\t pour une tabulation)"
"- Click on any of the time parts to increase it","- Cliquez sur n'importe quelle partie de l'heure pour l'augmenter"
"- Hold mouse button on any of the above buttons for faster selection.","- Maintenez le bouton de la souris sur n'importe quel bouton ci-dessus pour une sélection rapide"
"- Use the %s buttons to select month","- Utilisez les boutons %s pour sélectionner le mois"
"- Use the %s, %s buttons to select year","- Utilisez les boutons %s, %s pour sélectionner l'année"
"- or Shift-click to decrease it","- ou cliquez en maintenant la touche shift enfoncée pour l'augmenter"
"- or click and drag for faster selection.","- ou cliquez et glissez pour une sélection plus rapide"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"About the calendar","À propos du calendrier"
"Access denied.","Accès refusé."
"Account Created in:","Compte créé dans :"
"Account Created on (%s):","Compte créé le (%s) :"
"Account Created on:","Compte créé le :"
"Action","Action"
"Actions","Actions"
"Add Contents Path","Ajouter un chemin de contenus"
"Add Field with URL:","Ajouter un champ avec l'URL :"
"Add New Role","Nouveau rôle"
"Add New User","Nouvel utilisateur"
"Add PHP Extension dependency","Ajouter une dépendance d'extension PHP"
"Add Package dependency","Ajouter une dépendance de package"
"Address Type:","Type d'adresse :"
"All","Tous"
"All Websites","Tous les sites web"
"All fields","Tous les champs"
