"%s","%s"
"ACL Attribute Rules","Règles d'attributs ACL"
"ACL Attributes Information","Informations d'attributs ACL"
"Add","Ajouter"
"Add Admin Role","Ajouter un rôle d'admin"
"Add New Role","Nouveau rôle"
"Address Type","Type d'adresse"
"Admin","Administration"
"Allow","Autoriser"
"An error occurred while deleting the role.","Une erreur est survenue lors de l'effacement du rôle."
"An error occurred while saving attribute rules.","Une erreur est survenue lors de la sauvegarde des règles d'attributs."
"An error occurred while saving role.","Une erreur est survenue lors de la sauvegarde du rôle."
"Api Rules Information","Informations des règles d'API"
"Assigned","Affecté"
"Associate to Website","Associer à un site web"
"Attribute Rules Information","Informations des règles d'API"
"Attribute Set","Jeu d'attributs"
"Attributes","Attributs"
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l'objet d'un avoir"
"Back","Retour"
"Backorders","Commande en rupture de stock"
"Base Currency","Devise de base"
"Base Customer Balance","Solde du client dans la devise de base"
"Base Discount","Remise dans la devise de base"
"Base Discount Amount","Montant de la remise de base"
"Base Item Subtotal","Sous-total de l'article dans la devise de base"
"Base Item Subtotal Including Tax","Sous-total TTC de l'article dans la devise de base"
"Base Original Price","Prix d'origine dans la devise de base"
"Base Price","Prix dans la devise de base"
"Base Price Including Tax","Prix TTC dans la devise de base"
"Base Shipping","Livraison dans la devise de base"
"Base Shipping Discount","Remise sur la livraison dans la devise de base"
"Base Shipping Tax","Taxe de livraison dans la devise de base"
"Base Subtotal","Sous-total dans la devise de base"
"Base Subtotal Including Tax","Sous-total TTC dans la devise de base"
"Base Tax Amount","Montant de TVA dans la devise de base"
"Base Total Due","Total dû dans la devise de base"
"Base Total Paid","Total payé dans la devise de base"
"Base Total Refunded","Total remboursé dans la devise de base"
"Buy Now URL","URL pour payer immédiatement"
"Can Be Divided into Multiple Boxes for Shipping","Peut-être séparé en plusieurs colis pour la livraison"
"Canceled Qty","Qté annulée"
"Catalog","Catalogue"
"Catalog Product","Produit du catalogue"
"CatalogInventory","Inventaire de catalogue"
"Category ID","ID de catégorie"
"City","Ville"
"Company","Société"
"Country","Pays"
"Coupon Code","Code du bon de réduction"
"Create","Créer"
"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"Created From","Créé sur"
"Customer","Client"
"Customer Address","Adresse du client"
"Customer Address ID","ID de l'adresse du client"
"Customer Balance","Solde du client"
"Customer First Name","Prénom du client"
"Customer ID","ID de client"
"Customer Last Name","Nom de famille du client"
"Customer Middle Name","Deuxième prénom du client"
"Customer Prefix","Préfixe du client"
"Customer Suffix","Suffixe du client"
"Default Image","Image par défaut"
"Delete","Supprimer"
"Deny","Refuser"
"Disable automatic group change based on VAT ID","Désactiver le changement automatique de groupe en fonction du numéro de TVA"
"Discount","Remise"
"Discount Amount","Remise"
"Discount Description","Description de la remise"
"Edit","Éditer"
"Edit %s ACL attribute rules","Éditer les %s des règles d'attributs ACL"
"Edit Role","Modifier le rôle"
"Edit attribute rules for %s Role","Éditer les règles d'attributs pour le rôle %s"
"Email","Email"
"Enable Qty Increments","Activer les incréments de quantités"
"Exclude","Exclure"
"File Content","Contenu du fichier"
"File MIME Type","Type MIME du fichier"
"File Name","Nom du fichier"
"Final Price With Tax","Prix final TTC"
"Final Price Without Tax","Prix final HT"
"First Name","Prénom"
"Gift Message","Message du cadeau"
"Grand Total","Montant global"
"Grand Total to Be Charged","Total à facturer"
"Group","Groupe"
"Guest","Invité"
"Has Custom Options","Comprend des options personnalisables"
"ID","ID"
"Inventory Data","Données d'inventaire"
"Invoiced Qty","Qté facturée"
"Is Confirmed","Est confirmé"
"Is Default Billing Address","Adresse de facturation par défaut"
"Is Default Shipping Address","Adresse de livraison par défaut"
"Item ID","ID d'article"
"Item Subtotal","Sous-total de l'article"
"Item Subtotal Including Tax","Sous-total TTC de l'article"
"Label","Libellé"
"Last Logged In","Dernière connexion"
"Last Name","Nom"
"Low Stock Date","Date de stock bas"
"Manage Stock","Gérer les stocks"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"New Role","Nouveau rôle"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"OAuth","OAuth"
"Order","Commande"
"Order Addresses","Adresses de la commande"
"Order Comments","Commentaires de commande"
"Order Currency","Devise de la commande"
"Order Date","Date de commande"
"Order ID","ID Commande"
"Order ID (internal)","ID de commande (interne)"
"Order Item ID","ID de l'article de commande"
"Order Items","Articles de la commande"
"Order Status","Statut"
"Ordered Qty","Qté commandée"
"Orders","Commandes"
"Original Price","Prix d'origine"
"Parent Order Item ID","ID de l'article de la commande mère"
"Payment Method","Mode de paiement"
"Phone Number","Numéro de téléphone"
"Placed from IP","Adresse IP"
"Please enter a valid number in ""max_sale_qty"" field","Saisissez un nombre valide dans le champs ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Saisissez un nombre valide dans le champs ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Saisissez un nombre valide dans le champs ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Saisissez un nombre valide dans le champs ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Utilisez uniquement des nombres dans le champs ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans le champ ""qty_increments"". Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Position","Position"
"Price","Prix"
"Price Including Tax","Prix TTC"
"Product","Produit"
"Product Category","Catégorie de produit"
"Product ID","ID de produit"
"Product Image","Image de produit"
"Product Type","Type du produit"
"Product URL","URL du produit"
"Product Website","Site web du produit"
"Product and Custom Options Name","Produit et nom des options personnalisables"
"Qty","Qté"
"Qty Increments","Incréments de quantités"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty for Item's Status to Become Out of Stock","Qté pour que le statut du produit passe à épuisé"
"REST - Attributes","REST - Attributs"
"REST - Roles","REST - Rôles"
"REST ACL Attributes","Attributs ACL REST"
"REST Attributes","Attributs REST"
"REST Role","Rôle REST"
"REST Roles","Rôles REST"
"REST Roles Information","Informations des rôles REST"
"Read","Lire"
"Refunded Qty","Qté remboursée"
"Regular Price With Tax","Prix normal TTC"
"Regular Price Without Tax","Prix normal HT"
"Rest Roles","Rôles REST"
"Retrieve","Récupérer"
"Role ""%s"" no longer exists","Le rôle ""%s"" n'existe plus"
"Role ""%s"" not found.","Le rôle ""%s"" n'a pas été trouvé."
"Role API Resources","Ressources API du rôle"
"Role Info","Infos du rôle"
"Role Information","Informations du rôle"
"Role Name","Nom du rôle"
"Role Users","Utilisateurs ayant ce rôle"
"Role has been deleted.","Le rôle a été effacé."
"Roles","Rôles"
"SKU","Réf."
"Salability Status","Statut de stabilité"
"Sales","Ventes"
"Save","Sauvegarder"
"Shipped Qty","Qté livrée"
"Shipping Amount","Montant de la livraison"
"Shipping Discount","Remise sur la livraison"
"Shipping Including Tax","Livraison TTC"
"Shipping Method","Mode de livraison"
"Shipping Tax","TVA sur la livraison"
"State","État"
"Stock Availability","Disponibilité"
"Stock ID","ID de stock"
"Stock Item","Élément de stock"
"Stock Status","État du stock"
"Store Currency to Order Currency Rate","Devise de la boutique vers le taux de devise de la commande"
"Store Name","Nom du magasin"
"Street","Rue"
"Subtotal","Sous-total"
"Subtotal Including Tax","Sous-total TTC"
"System","Système"
"Tax Amount","Montant TVA"
"Tax Name","Nom de la taxe"
"Tax Percent","Taux de TVA"
"Tax Rate","Taux de taxe"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Le champ ""enable_qty_increments"" doit être renseigné à 0 ou 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Le champ ""is_decimal_divided"" doit être renseigné à 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Le champ ""is_in_stock"" doit être renseigné à 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Le champ ""is_qty_decimal"" doit être renseigné à 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Le champ ""is_qty_decimal"" doit être renseigné à 0, 1 ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","Le champ ""manage_stock"" doit être renseigné à 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Le champ ""stock_status_changed_auto"" doit être renseigné à 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Le champ ""use_config_backorders"" doit être renseigné à 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Le champ ""use_config_enable_qty_inc"" doit être renseigné à 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Le champ ""use_config_manage_stock"" doit être renseigné à 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Le champ ""use_config_max_sale_qty"" doit être renseigné à 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Le champ ""use_config_min_qty"" doit être renseigné à 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Le champ ""use_config_min_sale_qty"" doit être renseigné à 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Le champ ""use_config_notify_stock_qty"" doit être renseigné à 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Le champ ""use_config_qty_increments"" doit être renseigné à 0 ou 1."
"The attribute rules were saved.","Les règles d'attribut ont été sauvegardées."
"The role has been saved.","Le rôle a été sauvegardé."
"The role is a special one and not for assigning it to admin users.","Ce rôle est spécial et ne peut pas être assigné aux utilisateurs admin."
"Total Due","Total dû"
"Total Paid","Total payé"
"Total Refunded","Total remboursé"
"Total Reviews Count","Nombre total de commentaires"
"Type","Type"
"URL","URL"
"Update","Mettre à jour"
"Use Config Settings for Allow Gift Message","Utiliser la configuration générale pour l'autorisation des messages cadeau"
"Use Config Settings for Allow Gift Wrapping","Utiliser la configuration générale pour l'autorisation des paquets cadeau"
"Use Config Settings for Backorders","Utiliser la configuration générale pour les commandes au delà des stocks"
"Use Config Settings for Enable Qty Increments","Utiliser la configuration générale pour l'activation des incréments de quantité"
"Use Config Settings for Manage Stock","Utiliser la configuration générale pour la gestion des stocks"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Utiliser la configuration générale pour la Quantité maxi autorisée dans le panier"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Utiliser la configuration générale pour la Quantité mini autorisée dans le panier"
"Use Config Settings for Notify for Quantity Below","Utiliser la configuration générale pour la notification sur la quantité"
"Use Config Settings for Qty Increments","Utiliser la configuration générale pour les incréments de quantité"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Utiliser la configuration générale pour la qté pour que le statut du produit passe à épuisé"
"User Type","Type d'utilisateur"
"User type ""%s"" no longer exists","Le type d'utilisateur ""%s"" n'existe plus"
"User type ""%s"" not found.","Le type d'utilisateur ""%s"" n'a pas été trouvé."
"Web Services","Services web"
"Web services","Services web"
"Write","Écrire"
"ZIP/Postal Code","Code postal"
