"--Please Select--","--Votre choix--"
"API Login ID","ID de connexion de l'API"
"Accepted Currency","Devise acceptée"
"Authorize.net Direct Post","Soumission directe Authorize.net"
"Card Verification Number","Numéro de vérification"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Close","Fermer"
"Credit Card Information","Information de carte bancaire"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Type","Type de carte de crédit"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Debug","Déboguage"
"Email Customer","Envoyer un email au client"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Gateway URL","URL de passerelle"
"Maximum Order Total","Montant maxi de commande"
"Merchant MD5","MD5 du commerçant"
"Merchant's Email","Email du commerçant"
"Minimum Order Total","Montant mini de commande"
"New Order Status","Statut d'une nouvelle commande"
"Order saving error: %s","Erreur lors de la sauvegarde de la commande : %s"
"Payment Action","Action de paiement"
"Payment authorization error.","Erreur d'autorisation de paiement."
"Payment authorization error. Transacion id is empty.","Erreur lors de l'autorisation du paiement. L'id de transaction est vide."
"Payment error. Order was not found.","Erreur de paiement. La commande n'a pas été trouvée."
"Payment error. Paid amount doesn't match the order amount.","Erreur de paiement. Le montant payé ne correspond pas au montant de la commande."
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Please, choose payment method","Choisissez un moyen de paiement"
"Response hash validation failed. Transaction declined.","La validation du hash de la réponse a échoué. Transaction refusée."
"Sort Order","Ordre de tri"
"Test Mode","Mode test"
"The order has been created.","La commande a été créé."
"There was an error processing your order. Please contact us or try again later.","Erreur lors du traitement de votre commande, veuillez réessayer plus tard."
"Title","Titre"
"Transaction Key","Clé de la transaction"
"What is this?","Aide ?"
"You will be required to enter your payment details before you place an order.","Vous devrez saisir les informations de paiement avant de valider une commande."
