"Action","Action"
"An error occurred while writing to the backup file ""%s"".","Erreur lors de l'écriture dans le fichier de sauvegarde ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Impossible de lire ou d'écrire dans le fichier de sauvegarde ""%s""."
"Backup file ""%s"" does not exist.","Le fichier de sauvegarde ""%s"" n'existe pas."
"Backup file does not exist.","Le fichier de sauvegarde n'existe pas."
"Backup file handler was unspecified.","Le gestionnaire de fichier de sauvegarde n'a pas été spécifié."
"Backup file path was not specified.","Le chemin du fichier de sauvegarde n'a pas été spécifié."
"Backups","Sauvegardes"
"Cannot read backup file.","Impossible de lire le fichier de sauvegarde."
"Create Backup","Créer une sauvegarde"
"DB","BDD"
"Database was successfuly backed up.","La base de données a été sauvegardée avec succès !"
"Download","Télécharger"
"Size, Bytes","Taille en octets"
"The file was compressed with Zlib, but this extension is not installed on server.","Le fichier a été compressé avec Zlib, mais cette extension n'est pas installée sur le serveur."
"Time","Heure"
"Type","Type"
"Unable to create backup. Please, try again later.","Impossible de faire une sauvegarde. Veuillez réessayer ultérieurement."
"Wrong order of creation for new backup.","Ordre de création erroné pour la nouvelle sauvegarde."
"An error occurred while creating the backup.","Erreur lors de la création de la sauvegarde."
"Are you sure you want to delete the selected backup(s)?","Êtes-vous sûr(e) de vouloir effacer les sauvegardes sélectionnées ?"
"Backup Type","Type de sauvegarde"
"Backup file not found","Fichier de sauvegarde non trouvé"
"Database Backup","Sauvegarde de base de données"
"Database and Media Backup","Sauvegarde de base de données et media"
"Enable Scheduled Backup","Activer la sauvegarde programmée"
"Failed to connect to FTP","Erreur lors de la connexion FTP"
"Failed to delete one or several backups.","Erreur lors de l'effacement d'une ou plusieurs sauvegardes."
"Failed to rollback","Erreur lors du retour arrière (rollback)"
"Failed to validate FTP","Erreur lors de la validation du FTP"
"Frequency","Fréquence"
"Invalid Password.","Mot de passe invalide."
"Maintenance Mode","Mode de maintenance"
"Name","Nom"
"Not enough free space to create backup.","Espace libre insuffisant pour créer une sauvegarde."
"Not enough permissions to create backup.","Permissions insuffisantes pour créer la sauvegarde."
"Not enough permissions to perform rollback","Permissions insuffisantes pour réaliser le retour arrière (rollback)"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Veuillez déselectionner la case à cocher ""Mettre la boutique en mode maintenance"" ou mettez à jour les permissions pour continuer la sauvegarde."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Veuillez déselectionner la case à cocher ""Mettre la boutique en mode maintenance"" ou mettez à jour les permissions pour continuer le retour arrière (rollback)."
"Put store on the maintenance mode while backup's creation","Mettre la boutique en mode maintenance pendant la création de la sauvegarde"
"Rollback","Retour arrière (rollback)"
"Scheduled Backup Settings","Paramètres de sauvegarde programmée"
"Start Time","Heure de début"
"System Backup","Sauvegarde système"
"System couldn't put store on the maintenance mode","Le système n'a pas pu mettre la boutique en mode maintenance"
"The database and media backup has been created.","La sauvegarde de la base de données et des media a bien été créée."
"The database backup has been created.","La sauvegarde de la base de données a bien été créée."
"The selected backup(s) has been deleted.","Les sauvegardes sélectionnées ont été effacées."
"The system (excluding Media) backup has been created.","La sauvegarde du système (excepté les media) a été créée."
"The system backup has been created.","La sauvegarde du système a été créée."
"Unable to save the cron expression.","Impossible d'enregistrer l'expression cron"
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Vous n'avez pas les permissions suffisantes pour activer le mode maintenance pendant cette opération."
