"%s and greater","%s et plus"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produits</strong> ont été trouvés avec ces critères de recherche."
"Advanced Search","Recherche avancée"
"Advanced Search Form","Formulaire de recherche avancée"
"Advanced Search Result","Résultat de recherche avancée"
"All","Tous"
"Applies for ""Like"" search type only.","S'applique uniquement aux recherche de type 'like'."
"Apply Layered Navigation if Search Results are Less Than","Appliquer la navigation par filtre si les résultats de recherche sont inférieurs à"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Changement du paramétrage des attributs en relation avec l'indexation de recherche. Relancez le process <a href=""%s"">Reconstruire les indexes de recherche</a>."
"Autogenerated Site Map","Plan de site généré automatiquement"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Catalog Search","Recherche catalogue"
"Catalog Search Index","Index de recherche catalogue"
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?"
"Enter ""0"" to enable layered navigation for any number of results.","Saisissez ""0"" pour activer la navigation par filtre pour n'importe quel nombre de résultats."
"Go","Lancer"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Maximum Query Length","Longueur maxi de requête"
"Maximum Query Words Count","Nombre maxi de mots dans la requête"
"Maximum Search query  length is %s. Your query was cut.","La longueur maxi de requête de recherche est %s. Votre requête a été coupée."
"Minimal Query Length","Longueur mini de requête"
"Minimum Search query length is %s","La longueur mini de requête est %s"
"Modify your search","Modifier votre recherche"
"No","Non"
"No items were found using the following search criteria.","Aucun résultat pour ces critères de recherche."
"Please specify at least one search term.","Spécifiez au moins un terme de recherche."
"Popular Search Terms","Termes de recherche populaires"
"Quick Search Form","Formulaire de recherche rapide"
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche sur le texte complet du catalogue produit"
"Relevance","Pertinence"
"Results","Résultats"
"Search","Chercher"
"Search Settings","Paramètres de recherche"
"Search Terms","Termes de recherche"
"Search Type","Type de recherche"
"Search entire store here...","Rechercher..."
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Search:","Rechercher :"
"Subscribe to Feed","S'abonner au flux"
"There are no search terms available.","Aucun terme de recherche disponible."
"Yes","Oui"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","jusqu'à %s"
"Specified date is invalid.","La date spécifiée est invalide."
"Maximum Search query length is %s. Your query was cut.","La longueur maxi de requête de recherche est %s. Votre recherche a été coupée."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Le nombre maxi de mots est %1$s. Votre requête a été coupée de la façon suivante : %2$s."
