"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","Validation carte 3D Secure"
"3D Secure Cardholder Validation","Validation 3D Secure du porteur de carte"
"3D Secure Electronic Commerce Indicator","Indicateur de Commerce électronique 3D Secure"
"3D Secure Verification Result","Résultat de vérification 3D Secure"
"3D Secure XID","XID 3D Secure"
"Card Issuer Liability","Responsabilité de l'émetteur de carte"
"Card Verification","Vérification de carte"
"Enrolled","Inscrit"
"Enrolled but Authentication Unavailable","Inscrit mais authentification indisponible"
"Failed","Échec"
"MasterCard SecureCode","Code de sécurité MasterCard"
"Merchant Liability","Responsabilité du marchand"
"Not Enrolled","Non inscrit"
"Order cannot be placed.","Impossible de passer cette commande."
"Payment information error. Please start over.","Informations de paiement erronées. Veuillez recommencer."
"Please continue with placing order.","Veuillez continuer et passer commande."
"Please verify the card with the issuer bank before placing the order.","Veuillez vérifier la carte avec la banque émettrice avant de passer commande."
"Please verify the card with the issuer bank:","Veuillez vérifier la carte avec la banque émettrice :"
"Start/Reset Validation...","Démarrer/Ré-initialiser la validation..."
"Successful","Réussi"
"Successful attempt","Tentative réussi"
"The card has failed verification with the issuer bank.","La vérification de la carte a échoué auprès de la banque."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Des informations de paiement erronées ont été soumises ou la limite de temps a été atteinte. Veuillez réessayer."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Des informations de paiement erronées ont été soumises ou la limite de temps a été atteinte. Veuillez réessayer."
"This card has failed validation and cannot be used.","La validation de cette carte a échoué. Elle ne peut être utilisée."
"This card has failed validation, but it is possible to place the order.","La validation de cette carte a échoué, mais il est cependant possible de passer commande."
"To ensure the security of your transactions","Pour garantir la sécurité vos transactions"
"Unable to complete","Impossible de terminer"
"Validation failed.","Échec de la validation."
"Verification Failed","Échec de la vérification"
"Verification Successful","Vérification réussie !"
"Verification cannot be processed","La vérification ne peut pas aboutir."
"Verified by Visa","Vérifié par Visa"
