"Collected Files Count","Nombre de fichiers collectés"
"Compilation","Compilation"
"Compilation State","État de la compilation"
"Compilation error","Erreur de compilation"
"Compiled","Compilé"
"Compiled Scopes Count","Compteur des différents champs d'application compilés"
"Compiler Status","Statut du compilateur"
"Compiler include path is disabled.","Le chemin d'inclusion du compilateur est désactivé."
"Compiler include path is enabled.","Le chemin d'inclusion du compilateur est activé."
"Directory ""%s"" must be writeable","Le chemin ""%s"" doit être autorisé en écriture"
"Disable","Désactiver"
"Disabled","Désactivé"
"Enable","Activer"
"Enabled","Activé"
"File ""%s"" must be writeable","Le fichier ""%s"" doit être autorisé en écriture"
"Not Compiled","Non compilé"
"Run Compilation Process","Lancer le processus de compilation"
"Scopes Compilation Settings","Paramètres de portée de la compilation"
"System","Système"
"The compilation has completed.","La compilation est terminée."
"Tools","Outils"
