"There was an error occurred during paying process.","Erreur lors du process de paiement."
"An error has occured","Une erreur est survenue"
"An error occurred during the payment process.","Erreur lors du process de paiement."
"Bank","Banque"
"Credit Mutuel","Crédit Mutuel"
"Customer Interface language","Langue de l'interface client"
"Customer has returned from Cybermut.","Le client est revenu de Cybermut."
"Customer was redirected to Cybermut","Le client a été redirigé vers Cybermut"
"Debug","Déboguage"
"Dutch","Néerlandais"
"Enabled","Activé"
"English","Anglais"
"French","Français"
"German","Allemand"
"Groupe CIC","Groupe CIC"
"Italian","Italien"
"Key","Clé"
"New Order Status","Statut d'une nouvelle commande"
"OBC","OBC"
"Order #%s","Commande n°%s"
"Order number will be used if left empty.","C'est le numéro de commande qui sera utilisé si ce champ est vide."
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Returned MAC is invalid. Order cancelled.","Le code MAC retourné est invalide. La commande a été annulée."
"SHA Key","Clé SHA"
"Site Code","Code du site"
"Sort Order","Ordre de tri"
"Spain","Espagne"
"TPE Number","Numéro de TPE"
"Test Mode","Mode test"
"The customer successfully returned from Cybermut.","Le client est revenu de Cybermut."
"Title","Titre"
"Transaction Description","Description de la transaction"
"You will be redirected to Cybermut in a few seconds.","Vous serez redirigé vers le site de Cybermut dans quelques secondes."
"You will be redirected to Cybermut website when you place an order.","Vous serez redirigé vers le site de Cybermut à l'issue de votre commande."
