"Authorization","Autorisation"
"Card Verification Number","Numéro de vérification"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Cybersource (SOAP Toolkit)","Cybersource (kit SOAP)"
"Debug","Déboguage"
"Enabled","Activé"
"Error in refunding the payment.","Erreur lors du remboursement."
"Expiration Date","Date d'expiration"
"Gateway request error: %s","Erreur de requête passerelle : %s"
"Invalid transaction id or token","Id ou jeton de transaction invalide"
"Issue Number","Numéro de problème"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (Internationnal)"
"Maestro/Solo(UK Domestic)","Maestro / Solo (Royaume-Uni intérieur)"
"Merchant ID","ID de marchand"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"SOAP extension is not enabled. Please contact us.","L'extension SOAP n'est pas activée. Veuillez nous contacter."
"Sale","Vente"
"Security Key","Clé de sécurité"
"Sort Order","Ordre de tri"
"Start Date","Date de début"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) seulement"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Numéro de problème de carte Switch/Solo/Maestro(UK Domestic) : %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Date de début de carte Switch/Solo/Maestro(UK Domestic) : %s/%s"
"Test Mode","Mode test"
"There is an error in processing the payment. Please try again or contact us.","Erreur lors du traitement du paiement. Veuillez réessayer ou nous contacter."
"Title","Titre"
"UATP","UATP"
"What is this?","Aide ?"
"Year","Année"
