"-- Please select --","-- Votre choix --"
"Allowed Currencies","Devises autorisées"
"Base Currency","Devise de base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","La devise de base est utilisée pour toutes les transactions de paiement en ligne. La portée est définie par la porte des prix de catalogue (""Catalogue"" > ""Prix"" > ""Portée des prix catalogue"")"
"Cannot retrieve rate from %s.","Impossible de récupérer les taux sur %s."
"Connection Timeout in Seconds","Timeout de connexion"
"Continue &raquo;","Continuer &raquo;"
"Country","Pays"
"Country Api","API de pays"
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Currency","Devise"
"Currency Options","Options de devise"
"Currency Setup","Paramétrage des devises"
"Currency Update Warnings","Alertes de mise à jour des devises"
"Default Display Currency","Devise à afficher par défaut"
"Directory","Répertoire"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"FATAL ERROR:","ERREUR FATALE :"
"Frequency","Fréquence"
"Installed Currencies","Devises installées"
"Invalid Import Service specified.","Le service d'import spécifié est invalide"
"Invalid country code: %s","Code de pays non valide : %s"
"Invalid rates received","Taux reçus non valides"
"Invalid target currency.","La devise cible est invalide."
"List of countries","Liste des pays"
"List of regions in specified country","Liste des régions dans le pays spécifié"
"Postal Code is Optional for the following countries","Pays pour lesquels le code postal est optionnel"
"Region","Région"
"Region Api","API de région"
"Scheduled Import Settings","Paramètres d'import programmé"
"Select Your Currency","Votre devise"
"Service","Service"
"Start Time","Heure de début"
"State/Province","État/Région"
"Strikeiron Email Update Warnings","Alertes de mise à jour de l'email Strikeiron"
"Unable to initialize the import model.","Impossible d'initialiser le modèle d'import."
"Undefined rate from ""%s-%s"".","Taux indéfini depuis ""%s-%s""."
"WARNING:","ATTENTION :"
"Webservicex","Webservicex"
"Your current currency is: %s","Votre devise actuelle est : %s"
"Country API","API de pays"
"Region API","API de région"
"Can't convert rate from ""%s-%s"".","Impossible de convertir le taux à partir de ""%s-%s""."
"Display not required State","Afficher l'état s'il n'est pas obligatoire"
"State is required for","L'état est obligatoire pour"
"States Options","Options d'état"
