"Add New Row","Ajouter une ligne"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Les caractères alphanumériques, les tirets et les underscores sont recommandés pour les noms de fichiers. Les caractères impropres seront remplacés par '_'."
"An error occurred while getting requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Contactez le service client."
"An error occurred while getting the requested content.","Erreur lors de la récupération du contenu demandé."
"An error occurred while getting the requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Contactez le service client."
"An error occurred while saving the file(s).","Une erreur est survenue pendant l'enregistrement des fichiers."
"Availability:","Disponibilité :"
"Back","Retour"
"Canceled","Annulée"
"Cannot connect to remote host, error: %s.","Impossible de se connecter à l'hôte distant. Erreur : %s."
"Catalog Product View (Downloadable)","Vue du produit (téléchargeable)"
"Customer My Account Downloadable Items","Téléchargements dans le compte client"
"Date","Date"
"Default Link Title","Titre de lien par défaut"
"Default Maximum Number of Downloads","Nombre maximum de téléchargements par défaut"
"Default Sample Title","Titre de l'exemple par défaut"
"Disable Guest Checkout if Cart Contains Downloadable Items","Désactiver le passage de commande en tant qu'invité si le panier contient des produits téléchargeables"
"Downloadable Information","Informations téléchargements"
"Downloadable Product","Produit téléchargeable"
"Downloadable Product Options","Options du produit téléchargeable"
"Downloadable product Section","Section du produit téléchargeable"
"Excl. Tax","HT"
"File","Fichier"
"From:","De :"
"Gift Message","Message du cadeau"
"Go to <a href=""%s"">My Downloadable Products</a>","Aller à <a href=""%s"">Mes produits téléchargeables</a>"
"Guest checkout will only work with shareable.","Le passage de commande en tant qu'invité ne fonctionnera qu'avec les partageables."
"In stock","En stock"
"Incl. Tax","TTC"
"Invalid download URL host.","L'hôte de l'URL de téléchargement est invalide."
"Invalid download URL scheme.","Le schéma de l'URL de téléchargement est invalide."
"Invalid download link type.","Le type de lien de téléchargement est invalide."
"Invoiced","Facturé"
"Links can be purchased separately","Les liens peuvent être achetés séparément"
"Max. Downloads","Téléchargements max."
"Message:","Message :"
"Move to Wishlist","Ajouter à la <br/>liste d'envies"
"My Downloadable Products","Mes produits téléchargeables"
"Open Links in New Window","Ouvrir les liens dans une nouvelle fenêtre"
"Order #","Commande n°"
"Order # ","Commande n° "
"Order Item Status to Enable Downloads","Statut du produit commandé pour activer le téléchargement"
"Ordered","Commandé"
"Out of stock","Épuisé"
"Pending","En attente"
"Please log in to download your product.","Veuillez vous connecter pour pouvoir télécharger votre produit."
"Please set resource file and link type.","Renseignez le fichier de ressource et le type de lien."
"Please specify product link(s).","Spécifiez le ou les liens des produits"
"Price","Prix"
"Qty","Qté"
"Refunded","Remboursé"
"Remaining Downloads","Téléchargements restants"
"Remove Item","Supprimer l'article"
"Requested link does not exist.","Le lien demandé n'existe pas."
"Sample","Exemple"
"Shareable","Partageable"
"Shipped","Livré"
"Sort Order","Ordre de tri"
"Start Download","Démarrage du téléchargement"
"Status","Statut"
"The file does not exist.","Le fichier n'existe pas."
"The link has expired.","Le lien a expiré."
"The link is not available.","Le lien n'est pas disponible."
"Title","Titre"
"To:","À :"
"U","U"
"Unlimited","Illimité"
"Use Content-Disposition","Utiliser la disposition de contenu"
"View Order","Visualiser"
"You have not purchased any downloadable products yet.","Vous n'avez pas encore commandé de produits téléchargeables."
"attachment","pièce jointe"
"download","téléchargement"
"inline","en ligne"
"sample","exemple"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Les caractères alphanumériques, les tirets et les underscores sont recommandés pour les noms de fichiers. Les caractères impropres seront remplacés par des underscores."
"Edit","Éditer"
"Edit item parameters","Éditer les paramètres de l'article"
"Delete","Supprimer"
"Order id cannot be null","L'id de commande ne peut pas être null"
"Order item id cannot be null","L'id d'article de commande ne peut pas être null"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"Use Default Value","Utiliser la valeur par défaut"
"What's this?","Qu'est-ce que c'est ?"
"Add","Ajouter"
"Add links and samples to downloadable product","Ajouter les liens et les échantillons au produit téléchargeable"
"Category API","API de catégorie"
"Downloadable Product Section","Section de produit téléchargeable"
"List","Liste"
"Move","Déplacer"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Veuillez vous connecter pour télécharger votre produit ou le commander <a href=""%s"">%s</a>."
"Product downloadable links","Liens de produit téléchargeable"
"Remove","Supprimer"
"Remove links and samples from downloadable product","Supprimer les liens et les échantillons du produit téléchargeable"
"Retrieve links and samples list from downloadable product","Récupérer les listes de liens et échantillons d'un produit téléchargeable"
"Sorry, there was an error getting requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Veuillez contacter le magasin."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Certains fichiers sélectionnés n'ont pas encore été uploadés. Veuillez les uploader ou les supprimer."
