"API Gateway URL","URL de la passerelle d'API"
"Accepted Currency","Devise acceptée"
"An error has occurred","Une erreur est survenue"
"Card Verification Number","Numéro de vérification"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats."
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Customer ID","ID de client"
"Customer was redirected to eWAY.","Le client a été redirigé vers eWay."
"Debug Flag","Indicateur de débug"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Please Select","Veuillez sélectionner"
"Selected currency code (%s) is not compatible with eWAY.","Le code de devise sélectionné (%s) est incompatible avec eWAY."
"Sort Order","Ordre de tri"
"The customer has successfully returned from eWAY.","Le client est revenu de eWAY."
"The customer was rejected by eWAY.","Le client a été rejeté par eWAY."
"There has been an error processing your payment.","Erreur lors du traitement de votre paiement."
"There has been an error processing your payment. Please try later or contact us for help.","Une erreur est survenue lors du traitement de votre paiement. Veuillez réessayer plus tard ou nous contacter pour obtenir de l'aide."
"Title","Titre"
"Use Beagle Anti-Fraud","Utiliser Beagle lutte anti-fraude"
"What is this?","Aide ?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","Vous allez être redirigé vers eWAY 3D-Secure dans quelques secondes."
"You will be redirected to eWAY 3D-Secure website when you place an order.","Vous serez redirigé vers le site de eWAY 3D-Secure à l'issue de votre commande."
"You will be redirected to eWAY in a few seconds.","Vous serez redirigé vers le site de eWAY 3D-Secure dans quelques secondes."
"You will be redirected to eWAY website when you place an order.","Vous serez redirigé vers le site de eWAY à l'issue de votre commande."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY partagé"
