"Account Number","Numéro de compte"
"Card Verification Number","Numéro de vérification"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Debug Flag","Indicateur de débug"
"Demo Mode","Mode démo"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Flo2Cash Payment Web Service","Service web de paiement Flo2Cash"
"For ""Authorize"" or ""Capture"" transactions only.","Pour les transactions de capture ou d'autorisations uniquement."
"For ""Purchase"" transactions only.","Pour les transactions d'achat uniquement."
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Password","Mot de passe"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Please Select","Veuillez sélectionner"
"Sort Order","Ordre de tri"
"Title","Titre"
"Username","Nom d'utilisateur"
"What is this?","Aide ?"
