"Account Login","Login du compte"
"Account Password","Mot de passe du compte"
"Account Type","Type de compte"
"Active","Actif"
"Add Attribute Mapping","Ajouter un mapping d'attribut"
"Add New Attribute","Ajouter un attribut"
"Add to Google Base","Ajouter à Google Base"
"Are you sure?","Êtes-vous sûr(e) ?"
"Attribute","Attribut"
"Attribute Set","Jeu d'attributs"
"Attribute Set and Item Type","Jeu d'attributs et type d'article"
"Attributes","Attributs"
"Attributes Mapping","Mapping d'attributs"
"Attributes Set","Jeu d'attributs"
"AuthSub","AuthSub"
"Available Products","Produits disponibles"
"British Pound Sterling","Livre sterling"
"Cannot update Google Base Item for Store '%s'","Impossible de mettre à jour l'article Google Base pour le magasin '%s'"
"Captcha confirmation error: %s","Erreur de confirmation de captcha : %s"
"Captcha has been confirmed.","Le captcha a été confirmé."
"Catalog","Catalogue"
"Clicks","Clics"
"ClientLogin","IdentifantClient"
"Confirm","Confirmer"
"Current Mapping will be reloaded. Continue?","Le mapping en cours sera rechargé. Souhaitez-vous continuer ?"
"Custom attribute, no mapping","Attribut personnalisé, pas de mapping"
"Delete","Supprimer"
"Delete Mapping","Effacer le mapping"
"Edit Item Type","Éditer le type d'article"
"Edit Item Type ""%s""","Éditer le type d'article ""%s"""
"Error: %s","Erreur : %s"
"Euro","Euro"
"Expires","Expire"
"Germany","Allemagne"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Attribut Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Type d'article Google Base"
"Google Base Item type","Type d'article Google Base"
"Google Base Items","Articles Google Base"
"Google base","Google base"
"Hide","Masquer"
"Hosted","Hébergé"
"Hosted or Google","Hébergé ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modèle de produit invalide pour un article Google Base"
"Item Type was deleted","Le type d'article a été effacé"
"Item Types","Types d'article"
"Item model is not specified to delete Google Base entry.","Le modèle d'article n'est pas spécifié pour effacer l'entrée Google Base"
"Items","Articles"
"Manage Attribute Mapping","Gérer le mapping d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Items","Gérer les articles"
"New Item Type","Nouveau type d'article"
"New ItemType","Nouveau type d'article"
"No","Non"
"No items were deleted from Google Base","Aucun article n'a été effacé de Google Base"
"No items were published","Aucun article n'a été publié"
"No items were saved as inactive items","Aucun article n'a été sauvegardé en tant qu'article inactif"
"No products were added to Google Base","Aucun produit n'a été ajouté à Google Base"
"Object model is not specified to save Google Base entry.","Le modèle objet n'est pas spécifié pour sauvegarder l'entrée Google Base."
"Page views","Vues de page"
"Please, select Attribute Set and Google Item Type to load attributes","Veuillez sélectionner un jeu d'attributs et un type d'article Google pour charger les attributs"
"Product Name","Nom du produit"
"Publish","Publier"
"Published","Publié"
"Remove","Supprimer"
"Save Mapping","Sauvegarder le mapping"
"Session expired during export. Please revise exported products and repeat the process if necessary.","La session a expiré durant l'export. Vérifiez les produits exportés et relancez le process si nécessaire."
"Synchronize","Synchroniser"
"Target Country","Pays cible"
"The item type has been saved.","Le type d'article a été sauvegardé."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Cette action mettra à jour les statistiques des articles et effacera les articles qui ne sont pas disponibles dans Google Base. Souhaitez-vous continuer ?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Un total de %d article(s) a été effacé. Un total de %d article(s) a été mis à jour."
"Total of %d items(s) have been published.","Un total de %d article(s) a été publié."
"Total of %d items(s) have been removed from Google Base.","Un total de %d article(s) a été supprimé de Google Base."
"Total of %d items(s) have been saved as inactive items.","Un total de %d article(s) a été sauvegardé en tant qu'articles inactifs."
"Total of %d product(s) have been added to Google Base.","Un total de %d article(s) a été ajouté à Google Base."
"US Dollar","Dollar US"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Impossible de se connecter à Google Base. Veuillez vérifier votre configuration."
"Unable to select a Store View.","Impossible de sélectionner une vue magasin."
"United Kingdom","Royaume Uni"
"United States","États-Unis"
"Update Google Base Item when Product is Updated","Mettre à jour Google Base quand le produit est mis à jour."
"View Available Products","Voir les produits disponibles"
"View Item in Google Base","Voir l'article dans Google Base"
"Yes","Oui"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","La devise de base devrait être %s pour %s dans la configuration système. Sinon les prix ne seront pas corrects dans Google Base."
