"Absolute path to private certificate file.","Chemin absolu vers le fichier de certificat privé."
"Absolute path to private key file.","Chemin absolu vers le fichier de clé privée."
"Absolute path to public payment provider certificate file.","Chemin absolu vers le fichier de certificat du fournisseur de paiement."
"An error has occurred","Une erreur est survenue"
"An error has occurred with the transaction #%s.","Erreur lors de la transaction n°%s."
"An error has occurred. You will be redirected back to store.","Une erreur est survenue. Vous serez redirigé(e) vers la boutique."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","Erreur lors du traitement de votre transaction iDEAL. Contactez la boutique ou réessayer plus tard. Le numéro de transaction est %s."
"Begin to check transaction status if order was made {N} hours ago.","Commence à vérifier le statut de la transaction si la commande a été passée {N} heures auparavant."
"Check Begin","Début de contrôle"
"Check End","Fin de contrôle"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats."
"Customer has canceled payment.","Le client a annulé le paiement."
"Customer has successfully returned from iDEAL.","Le client est revenu de iDEAL."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Le client a été redirigé vers iDEAL. Veuillez vérifier le statut de la transaction dans le tableau de bord ING iDEAL avant d'expédier la commande."
"Customer was rejected by iDEAL.","Le client a été rejeté par iDEAL."
"Debug","Déboguage"
"Do not check transaction status if order older than {N} days.","Ne pas contrôler le statut de la transaction si la commande a été passée plus de {N} jours auparavant."
"Dutch","Néerlandais"
"Enabled","Activé"
"English","Anglais"
"Ideal: %s","Ideal : %s"
"In minutes. Minimum is 1 minute and maximum is 60.","En minutes. Le minimum est 1 minute et le maximum est 60."
"Issuer","Émetteur"
"Issuer: %s","Problème : %s"
"Language","Langue"
"Leave empty for default value.","Laisser vide pour utiliser la valeur par défaut."
"Merchant ID","ID de marchand"
"Merchant Key","Clé de marchand"
"New Order Status","Statut d'une nouvelle commande"
"Notification from iDEAL was received with status %s.","Une notification d'iDEAL a été reçue avec le statut %s."
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Une notification d'iDEAL a été reçue avec le statut %s. La facture a été créée. Veuillez vérifier le statut de la transaction dans le tableau de bord ING iDEAL avant d'expédier la commande."
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Payment was canceled by the customer.","Le paiement a été annulé par le client."
"Please Select","Veuillez sélectionner"
"Private Certificate","Certificat privé"
"Private Key","Clé privée"
"Private Key Password","Mot de passe de clé privée"
"Required fields are missing.","Des champs obligatoires sont manquants."
"Secure URL (production)","URL sécurisée (production)"
"Secure URL (test mode)","URL sécurisée (mode de test)"
"Selected currency code (%s) is not compatible with iDEAL.","Le code de devise sélectionné (%s) est incompatible avec iDEAL."
"Sort Order","Ordre de tri"
"Store name will be used if left empty.","Le nom de la boutique sera utilisé si ce champ reste vide."
"Test Mode","Mode test"
"The customer canceled payment.","Le client a annulé le paiement."
"The customer has returned from iDEAL.","Le client est revenu de iDEAL."
"The customer was redirected to iDEAL.","Le client a été redirigé vers iDEAL."
"Title","Titre"
"Transaction Description","Description de la transaction"
"Transaction Expire Period","Période d'expiration de transaction"
"Transaction Status Update: canceled by the customer.","Mise à jour de statut de transaction : annulée par le client."
"Transaction Status Update: finished successfully.","Mise à jour de statut de transaction : terminée avec succès."
"Transaction Status Update: rejected by iDEAL.","Mise à jour de statut de transaction : rejetée par iDEAL."
"You will be redirected to bank in a few seconds.","Vous serez redirigé vers la banque dans quelques secondes."
"You will be redirected to iDEAL in a few seconds.","Vous serez redirigé vers iDEAL dans quelques secondes."
"You will be redirected to the website of your bank when you place an order.","Vous serez redirigé vers le site de votre banque à l'issue de la commande."
"iDEAL Advanced","iDEAL avancé"
"iDEAL Basic","iDEAL basique"
"iDEAL Certificate","Certificat iDEAL"
