"in rows:","dans les lignes :"
"-- Please Select --","-- Faites un choix --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","L'adapter doit être une instance de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Le type d'adapter ne doit pas être vide"
"Can not determine attribute filter type","Impossible de déterminer le type de filtre de l'attribut"
"Can not find required columns:","Impossible de trouver les colonnes obligatoires :"
"Can not get autoincrement value","Impossible de récupérer la valeur de l'auto incrément"
"Check Data","Vérifier les données"
"Column names has duplicates","Il y a des doublons parmi les noms de colonnes"
"Column names is empty or is not an array","La liste des noms de colonnes est vide ou n'est pas un tableau"
"Column names: ""%s"" are invalid","Les noms de colonnes suivants sont invalides : ""%s"""
"Continue","Continuer"
"Data is invalid or file is not uploaded","Les données sont invalides ou le fichier n'a pas été uploadé"
"Destination directory is not writable","Le répertoire de destination n'a pas les droits en écriture"
"Destination file is not writable","Le fichier de destination n'a pas les droits en écriture"
"Destination file path must be a string","Le chemin du fichier de destination doit être une chaîne de caractères"
"Entity Attributes","Attributs d'entité"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","L'objet adapter d'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","L'entité est inconnue"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Le modèle du type d'entité doit être une instance de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Le modèle du type d'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erreur dans la structure des données : les comportements sont mélangés"
"Error in data structure: entity codes are mixed","Erreur dans la structure des données : les codes d'entités sont mélangés"
"Export","Exporter"
"Export FAQ","FAQ d'export"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Le fichier ne contient pas de données. Veuillez en uploader un autre."
"File format is unknown","Le format de fichier n'est pas reconnu"
"File is partially valid, but import is not possible","Le fichier est partiellement valide, mais l'import est impossible."
"File is totally invalid. Please fix errors and re-upload file","Le fichier est complètement invalide. Corrigez les erreurs et uploadez à nouveau le fichier"
"File is valid! To start import process press ""Import"" button","Le fichier est valide. Cliquez sur le bouton ""Importer"" pour démarrer le processus d'import."
"File is valid, but import is not possible","Le fichier est valide, mais l'import est impossible."
"Header column names already set","L'en-tête des noms de colonnes a déjà été défini"
"Import","Importer"
"Import / Export FAQ (Frequently Asked Questions)","Import / export de FAQ (Foire aux questions)"
"Import FAQ","Importer la FAQ"
"Import successfully done.","Import terminé avec succès."
"Import/Export","Importer/Exporter"
"In/Out","Entrée / sortie"
"Input entity code is not equal to entity adapter code","Le code d'entité d'entrée est différent du code d'adapter d'entité"
"Invalid entity","Entité invalide"
"Invalid file format","Format de fichier invalide"
"Invalid parameters","Paramètres invalides"
"Invalid seek position","Position de recherche invalide"
"Invalid value for '%s'","Valeur incorrecte pour '%s'"
"No filter data provided","Aucune donnée de filtre fournie"
"No source specified","Aucune source spécifiée"
"No valid data sent","Aucune donnée valide envoyée"
"No writer specified","Aucun writer spécifié"
"Node does not has model token tag","Le nœud n'a pas d'attribut modèle"
"Not implemented yet","Pas encore implémenté"
"Please fix errors and re-upload file","Veuillez corriger les erreurs et uploadez de nouveau le fichier"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Veuillez corriger les erreurs et uploadez de nouveau le fichier ou cliquez simplement sur le bouton ""Importer"" pour ignorer les lignes comportant des erreurs"
"Some other FAQ","Autre FAQ"
"Source file moving failed","Erreur lors du déplacement du fichier source"
"Source file path must be a string","Le chemin du fichier source doit être une chaîne de caractères"
"Source is not set","La source n'est pas définie"
"Status","Statut"
"System busy","Le système est occupé"
"There are no product types available for export","Aucun type de produit disponible pour l'export"
"Total size of uploadable files must not exceed %s","La taille totale des fichiers téléchargeables ne doit pas excéder %s"
"Uploaded file has no extension","Le fichier uploadé n'a pas d'extension"
"Validation Results","Résultat de validation"
"Import Settings","Paramètres d'import"
"Import Behavior","Comportement d'import"
"Append Complex Data","Ajouter des données complexes"
"Replace Existing Complex Data","Remplacer les données complexes existantes"
"Delete Entities","Effacer les entités"
"Select File to Import","Sélectionner le fichier à importer"
"Skip","Ignorer"
"Export Settings","Paramètres d'export"
"Export File Format","Format du fichier d'export"
""
""
""
""
"Column names have duplicates","Il y a des doublons parmi les noms de colonnes"
