"%s Index process is working now. Please try run this process later.","Le process d'indexation %s est en cours. Réessayez plus tard."
"%s index was rebuilt.","L'index %s a été reconstruit."
"'%s' Index Process Information","Informations du process d'indexation '%s'"
"Action","Action"
"Cannot initialize the indexer process.","Impossible d'initialiser le process d'indexation."
"Change Index Mode","Changer le mode d'indexation"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Cliquez ici pour aller dans <a href=""%s"">la gestion du cache</a> et rafraîchir les types de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Cliquez ici pour aller dans <a href=""%s"">la gestion des indexes</a> et reconstruire les indexes nécessaires."
"Description","Description"
"Disable","Désactiver"
"Enable","Activer"
"General","Général"
"Index","Index"
"Index Description","Description d'index"
"Index Management","Gestion des indexes"
"Index Mode","Mode d'indexation"
"Index Name","Nom de l'index"
"Index mode","Mode d'indexation"
"Indexer code is not defined.","Le code de l'indexer n'est pas défini."
"Indexer model is not defined.","Le modèle de l'indexer n'est pas défini."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Le modèle de l'indexer devrait étendre Mage_Index_Model_Indexer_Abstract."
"Last Run","Dernière exécution"
"Manual Update","Mise à jour manuelle"
"Mode","Mode"
"Never","Jamais"
"One or more of the Indexes are not up to date:","Certains indexes ne sont pas à jour :"
"Pending Events","Événements en attente"
"Please select Index(es)","Sélectionnez des indexes"
"Please select Indexes","Sélectionnez des indexes"
"Process Information","Informations de process"
"Processing","En cours de traitement"
"Ready","Prêt"
"Refresh","Rafraîchir"
"Reindex Data","Réindexer"
"Reindex Required","Réindexation nécessaire"
"Status","Statut"
"System","Système"
"The index has been saved.","L'index a été sauvegardé."
"There was a problem with reindexing process.","Problème lors du process d'indexation."
"There was a problem with saving process.","Problème lors de la sauvegarde du process."
"Total of %d index(es) have changed index mode.","%d mode(s) d'index a (ont) été mis à jour."
"Total of %d index(es) have reindexed data.","Les données de %d index(es) ont été mises à jour."
"Update on Save","Mise à jour à la sauvegarde"
"Manual Update","Mise à jour manuelle"
"Delete","Supprimer"
"No","Non"
"Revoke","Révoquer"
"Update Required","Mise à jour nécessaire"
"Updated At","Mise à jour à"
"Yes","Oui"
