" Copy"," Copie"
"Action","Action"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file"
"Allow Guest Subscription","Autoriser l'inscription des invités"
"An error occurred while saving your subscription.","Erreur lors de la sauvegarde de votre inscription."
"Are you sure that you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip all tags?","Êtes-vous sûr(e) de vouloir supprimer tous les tags ?"
"Back","Retour"
"Cancel","Annuler"
"Cancelled","Annulé"
"Cannot mark as received subscriber.","Impossible de marquer en tant qu'inscrit reçu."
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Confirmation request has been sent.","La requête de confirmation a été envoyée."
"Convert to Plain Text","Convertir en texte simple"
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"Customer","Client"
"Customer First Name","Prénom du client"
"Customer Last Name","Nom de famille du client"
"Customer My Account Newsletter Subscriptions","Inscriptions à la newsletter du compte client"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Delete","Supprimer"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Duplicate template code.","Code de gabarit dupliqué."
"Edit Newsletter","Éditer la newsletter"
"Edit Newsletter Template","Éditer le gabarit de newsletter"
"Edit Queue","Éditer file"
"Edit Template","Éditer le gabarit"
"Email","Email"
"Enter your email address","Saisissez votre email"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Cliquez sur ce lien pour vous désinscrire <!-- Sert au lien de désinscription --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Invité"
"ID","ID"
"Invalid queue selected.","File d'attente sélectionnée invalide."
"Invalid subscription ID.","Identifiant d'inscription invalide."
"Invalid subscription confirmation code.","Code de confirmation d'inscription invalide."
"Message","Message"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit de newsletter"
"New Template","Nouveau gabarit"
