"%s Store","Boutique %s"
"About Your Order","À propos de votre commande"
"Account Information","Informations du compte"
"Adapter Name","Nom de l'adapter"
"Arabic","Arabique"
"Back","Retour"
"Back to My Orders","Retour à mes commandes"
"Baltic","Baltique"
"Billing Address","Adresse de facturation"
"Billing to Name","Nom (fact.)"
"Categories","Catégories"
"Category %s cannot be saved because of %s.","La catégorie %s ne peut pas être sauvegardée à cause de %s"
"Central European","Europe centrale"
"Check Requirements","Vérifier les pré-requis"
"Comments History","Historique de commentaires"
"Create under default website","Créer sous le site web par défaut"
"Created At","Créé le"
"Currency","Devise"
"Customer Name","Nom du client"
"Customers","Clients"
"Cyrillic","Cyrillique"
"DB Name","Nom de la base de données"
"DB Password","Mot de passe de la base de données"
"DB Username","Nom d'utilisateur de la base de données"
"Database Connection Charset","Jeu de caractères de la connection de base de données"
"Database Data Charset","Jeu de caractères des données"
"Date","Date"
"Delete Profile","Effacer le profil"
"Delivery Address","Adresse de livraison"
"East Asian","Asie orientale"
"Edit osCommerce Profile","Éditer le profil osCommerce"
"Edit osCommerce Profile :: %s","Éditer le profil osCommerce : %s"
"Email","Email"
"Email %s cannot be saved because of %s.","L'email %s ne peut pas être sauvegardée à cause de %s"
"Error for checking store locale!","Erreur lors de la vérificatio de la locale de la boutique."
"Final Price","Prix final"
"Finished profile execution.","Exécution du profil terminée."
"General Information","Informations générales"
"Greek","Grec"
"Hebrew","Hébreu"
"ID","ID"
"IP or Hostname","IP ou nom d'hôte"
"Import Options","Options d'import"
"Import and Export","Importer et exporter"
"Importing...","Import en cours..."
"Items Ordered","Articles commandés"
"Japanese","Japonais"
"Korean","Coréen"
"Languages table error","Erreur de la table de langues"
"Locale Selection","Sélection de locale"
"My Previous Orders","Mes commandes précédentes"
"Name","Nom"
"Need to check Customers for Orders","Nécessité de vérifier les clients pour les commandes"
"New Profile","Nouveau profil"
"New osCommerce Profile","Nouveau profil osCommerce"
"No osCommerce profile","Pas de profil osCommerce"
"No osCommerce profile loaded...","Aucun profil osCommerce chargé..."
"Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders.","Remarque : Veuillez placer les images sous REPERTOIRE_MAGENTO/media/import en donnant les droits d'écriture à tous les fichiers et les sous-répertoires."
"Order","Commande"
"Order #","Commande n°"
"Order # %s","Commande n°%s"
"Order #%s failed to import because the customer ID #%s associated with this order could not be found.","La commande n°%s a échoué à l'import parce que l'identifiant de client %s associé à cette commande n'a pas été trouvé."
"Order Date","Date de commande"
"Order Date:","Date de commande :"
"Order Status","Statut"
"Order Total","Total de la commande"
"Order Totals","Totaux commande"
"Orders","Commandes"
"Payment Information","Informations de paiement"
"Please check at least an option in Import Options\n","Veuillez choisir au moins une option dans les options d'import\n"
"Please check default website or input website code in General Information\n","Veuillez choisir le site web par défaut ou le code du site web dans Informations générales\n"
"Please select a timezone\n","Choisissez un fuseau horaire\n"
"Port (Default as 3306)","Port (3306 par défaut)"
"Prefix","Préfixe"
"Price","Prix"
"Product","Produit"
"Product Name","Nom du produit"
"Products","Produits"
"Purchased Date","Date de commande"
"Purchased Month","Mois de la commande"
"Purchased Year","Année de la commande"
"Qty","Qté"
"Qty Ordered","Qté commandée"
"Root Category for %s","Catégorie racine pour %s"
"Run Profile","Lancer le profil"
"SKU","Réf."
"SKU %s cannot be saved because of %s.","La réf. %s ne peut pas être sauvegardée à cause de %s"
"Sales","Ventes"
"Save Profile","Sauvegarder le profil"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Select a Connection Charset","Choisissez un jeu de caractères de connection"
"Select a Data Charset","Choisissez un jeu de caractères de données"
"Select a timezone","Choisissez un fuseau horaire"
"Select a website","Choisissez un site web"
"Send Subscription Notification to Customers","Envoyer les notification d'inscription aux clients"
"Ship To","Livré à"
"Ship to Name","Nom (Livr.)"
"Shipping & Handling Information","Informations de livraison et de traitement"
"Shipping Address","Adresse de livraison"
"Shipping Method","Mode de livraison"
"Simplified Chinese","Chinois simplifié"
"South Asian","Asie du sud"
"Start Running","Démarrer"
"Starting profile execution, please wait...","Démarrage de l'exécution du profil, veuillez patienter..."
"Subtotal","Sous-total"
"System","Système"
"Thai","Thaï"
"The data has been imported.","Les données ont été importées."
"The osCommerce profile has been deleted.","Le profil osCommerce a été supprimé."
"The osCommerce profile has been saved.","Le profil osCommerce a été enregistré."
"This order no longer exists.","Cette commande n'existe plus."
"Timezone","Fuseau horaire"
"To import orders, Magento requires that customers also be imported.","Pour importer des commandes, il est nécessaire d'importer les clients."
"Total imported <strong>%s</strong> records (%s)","<strong>%s</strong> enregistrements (%s) importés au total"
"Traditional Chinese","Chinois traditionnel"
"Unicode","Unicode"
"Updated At","Mise à jour à"
"View #%s","Voir n°%s"
"View Order","Visualiser"
"Warning: Please do not close window during importing/exporting data.","Attention : ne fermez pas la fenêtre pendant l'import/export de données."
"Website Code","Code du site web"
"Western","Occidental"
"osCommerce","osCommerce"
"osCommerce Orders","Commandes osCommerce"
"osCommerce Profile","Profil osCommerce"
"osCommerce Profiles","Profils osCommerce"
"records","enregistrements"
"Page","Page"
"Billing to Name","Nom (fact.)"
"Purchased Year","Année de la commande"
"processed <strong>%s%% %s/%s</strong> records","<strong>%s%% %s/%d</strong> enregistrements traités"
