"%s %s cycle.","Cycle %s %s."
"--Please Select--","--Votre choix--"
"3D Secure Card Validation","Validation carte 3D Secure"
"3D Secure Credit Card Validation","Validation 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Chèque libellé à l'ordre de :</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Une valeur est exigée pour le mode en direct. Référez-vous à votre accord cardinal de commerce."
"Allow Initial Fee Failure","Autoriser l'erreur de frais initiaux"
"An internal reference ID is required to save the payment profile.","Un identifiant de référence interne est nécessaire pour sauvegarder le profil de paiement."
"Auto Bill on Next Cycle","Facturer automatiquement au prochain cycle"
"Automatically Invoice All Items","Facturer automatiquement tous les articles"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Facturer automatiquement le montant impayé au prochain cycle de facturation (s'il y a eu des paiements échoués)"
"Billing Agreement status is not set.","Le statut de contrat de facturation n'est pas renseigné."
"Billing Amount","Montant de facturation"
"Billing Frequency","Fréquence de facturation"
"Billing Period","Période de facturation"
"Billing Period Unit","Unité de la période de facturation"
"Billing period unit is not defined or wrong.","L'unité de la période de facturation n'est pas définie ou est incorrecte."
"Cannot load configuration for payment method ""%s""","Impossible de charger la configuration pour le mode de paiement ""%s"""
"Cannot retrieve payment method instance.","Impossible de récupérer l'instance de méthode de paiement."
"Cannot retrieve the payment info model object.","Impossible de récupérer l'objet modèle d'informations de paiement."
"Cannot retrieve the payment method model object.","Impossible de récupérer l'objet modèle de méthode de paiement."
"Card Verification Number","Numéro de vérification"
"Centinel API URL","URL API de Centinel"
"Check / Money Order","Chèque / Liquide"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Currency","Devise"
"Currency code is undefined.","Le code de devise n'est pas défini."
"Customer ID is not set.","L'identifiant du client n'est pas défini."
"Day","Jour"
"Debug Mode","Mode debug"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration : %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nom complet de la personne recevant le produit ou service payé par le paiement périodique."
"Initial Fee","Frais initiaux"
"Initial non-recurring payment amount due immediately upon profile creation.","Montant initial de paiement non périodique dû immédiatement à la création du profil"
"Internal Reference ID","Identifiant de référence interne"
"Issue Number","Numéro de problème"
"Make Check Payable to","Libeller le chèque à l'ordre de"
"Make Check payable to:","Libeller le chèque à l'ordre de :"
"Make Check payable to: %s","Chèque libellé à l'ordre de : %s"
"Maximum Billing Cycles","Nombre maxi de cycles de facturation"
"Maximum Order Total","Montant maxi de commande"
"Maximum Payment Failures","Nombre maxi d'échec de paiement"
"Maximum Trial Billing Cycles","Nombre maxi de cycles de facturation d'essai"
"Merchant Id","Identifiant du marchand"
"Minimum Order Total","Montant mini de commande"
"Month","Mois"
"N/A","N/A"
"Name on Card","Propriétaire de la carte"
"Name on the Card","Nom sur la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Number of billing periods that make up one billing cycle.","Nombre de périodes de facturation qui forment un cycle de facturation."
"Overrides API URL that may be specified by a payment method.","Surcharge l'URL d'API qui peut être spécifiée pour un mode de paiement."
"Password","Mot de passe"
"Payment ID: %s","Identifiant de paiement : %s"
"Payment Method","Mode de paiement"
"Payment Methods","Modes de paiement"
"Payment Methods Section","Section modes de paiement"
"Payment Reference ID","Identifiant de référence de paiement"
"Payment Services","Services de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
