"AUTHENTICATE","AUTHENTIFIER"
"An error has occurred","Une erreur est survenue"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats."
"Customer was redirected to Protx","Le client a été redirigé vers Protx"
"DEFERRED","DIFFÉRÉ"
"Debug","Déboguage"
"Enabled","Activé"
"General contact email will be used if left empty.","L'email de contact général sera utilisé si ce champ reste vide."
"Live","En production"
"Mode","Mode"
"New Order Status","Statut d'une nouvelle commande"
"Order total amount does not match protx gross total amount","Le montant total de la commande ne correspond pas au montant total brut Protx"
"PAYMENT","PAIEMENT"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Protx Standard","Protx Standard"
"Simulator","Simulateur"
"Sort Order","Ordre de tri"
"Store name will be used if left empty.","Le nom de la boutique sera utilisé si ce champ reste vide."
"Test","Test"
"The customer has returned from Protx.","Le client est revenu de Protx."
"The order %s was canceled by the customer.","La commande a été annulée par le client."
"Title","Titre"
"Transaction Description","Description de la transaction"
"Vendor Email","Email du vendeur"
"Vendor Email Notification","Email du vendeur pour les notifications"
"Vendor Encrypted Password","Mot de passe crypté du vendeur"
"Vendor Name","Nom du vendeur"
"You will be redirected to protx in a few seconds.","Vous serez redirigé vers le site de Protx dans quelques secondes."
"You will be redirected to the Protx website when you place an order.","Vous serez redirigé vers le site de Protx à l'issue de votre commande."
