"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"Add","Ajouter"
"Apply","Appliquer"
"Conditions Combination","Combinaison de conditions"
"Description: %s","Description : %s"
"End Date should be greater than Start Date","La date de fin devrait être postérieure à la date de début"
"Expire at: %s","Expire le : %s"
"FALSE","FAUSSES"
"If %s of these conditions are %s:","Si %s ces conditions sont %s :"
"Invalid discount amount.","Montant de remise invalide."
"MATCHING ALL","QUI VÉRIFIENT TOUTES"
"MATCHING ANY","QUI VÉRIFIENT UNE DE"
"NOT MATCHING ALL","QUI NE VÉRIFIENT PAS TOUTES"
"NOT MATCHING ANY","QUI NE VÉRIFIENT PAS UNE DE"
"Name: %s","Nom : %s"
"Open Chooser","Ouvrir le sélecteur"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"Start at: %s","Débute le : %s"
"TRUE","VRAIES"
"by","sur"
"contains","contient"
"does not contain","ne contient pas"
"equals or greater than","est supérieur(e) ou égal(e) à"
"equals or less than","est inférieur(e) ou égal(e) à"
"greater than","est supérieur(e) à"
"is","est égal(e) à"
"is not","est différent(e) de"
"is not one of","ne fait pas partie de"
"is one of","fait partie de"
"less than","est inférieur(e) à"
"to","à"
"Customer Groups must be specified.","Les groupes client doivent être spécifiés."
"End Date must be greater than Start Date.","La date de fin doit être postérieure à la date de début"
"Websites must be specified.","Les sites web doivent être spécifiés."
