"""%s"" coupon code is not valid.","Le bon de réduction ""%s"" n'est pas valide."
"%s","%s"
"%s / %s rate:","Taux %s / %s :"
"%s for %s","%s pour %s"
"%s order(s) cannot be canceled","%s commandes ne peuvent pas être annulées"
"%s order(s) have been canceled.","%s commandes ont été annulées."
"%s order(s) have been put on hold.","%s commandes ont été bloquées."
"%s order(s) have been released from holding status.","%s commandes ont été débloquées."
"%s order(s) were not put on hold.","%s commandes n'ont pas été bloquées."
"%s order(s) were not released from holding status.","%s commandes n'ont pas été débloquées."
"* - Enter custom price excluding tax","* - Saisissez le prix hors taxe"
"* - Enter custom price including tax","* - Saisissez le prix toutes taxes comprises"
"-- Please Select --","-- Faites un choix --"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"About This Order:","À propos de cette commande :"
"About This Profile:","À propos de ce profil :"
"About Your Invoice","À propos de votre facture"
"About Your Order","À propos de votre commande"
"About Your Refund","À propos de votre remboursement"
"About Your Shipment","À propos de votre expédition"
"Accept Payment","Acceptez le paiement"
"Accept or Deny Payment","Accepter ou refuser un paiement"
"Account Information","Informations du compte"
"Action","Action"
"Actions","Actions"
"Activate","Activez"
"Active","Actif"
"Add","Ajouter"
"Add Gift Messsage","Ajouter un message cadeau"
"Add New Address","Ajouter une nouvelle adresse"
"Add Order Comments","Ajouter des commentaires de commande"
"Add Products","Ajouter des produits"
"Add Selected Product(s) to Option","Ajouter les produits sélectionnés à l'option"
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande"
"Add To Order","Ajouter à la commande"
"Add Tracking Number","Ajouter un numéro de suivi"
"Add a gift message for <strong>each gift item</strong>","Ajouter un message cadeau pour <strong>chaque article cadeau</strong>"
"Add a gift message for the <strong>entire order</strong>","Ajouter un message cadeau pour <strong>toute la commande</strong>"
"Add comment to order","Ajouter un commentaire à la commande"
"Add new comment to shipment","Ajouter un commentaire à la livraison"
"Add new tracking number","Ajouter un numéro de suivi"
"Add to Cart","Ajouter au panier"
"Address","Adresse"
"Address model is not defined.","Le modèle d'adresse n'est pas défini."
"Adjustment Fee","Frais de dossier"
"Adjustment Refund","Remboursement des frais de dossier"
"Agreement Information","Information de l'entente"
"Allow Reorder","Autoriser le renouvellement de commande"
"Amount","Montant"
"Amount: %s.","Montant : %s."
"An item option with code %s already exists.","Une option article avec le code %s existe déjà."
"Append Comments","Ajouter les commentaires"
"Apply","Appliquer"
"Apply Coupon Code","Appliquer un bon de réduction"
"Approved the payment online.","Approuvé le paiement en ligne."
"Are you sure you want to accept this payment?","Êtes-vous sûr(e) de vouloir accepter ce paiement ?"
"Are you sure you want to cancel this order?","Êtes-vous sûr(e) de vouloir annuler cet commande ?"
"Are you sure you want to deny this payment?","Êtes-vous sûr(e) de vouloir refuser ce paiement ?"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Are you sure you want to send Creditmemo email to customer?","Êtes-vous sûr(e) de vouloir envoyer l'avoir par email au client ?   "
"Are you sure you want to send Invoice email to customer?","Êtes-vous sûr(e) de vouloir de vouloir envoyer la facture par email au client ?"
"Are you sure you want to send Shipment email to customer?","Êtes-vous sûr(e) de vouloir envoyer les information de livraison par email au client ?"
"Are you sure you want to send order email to customer?","Êtes-vous sûr(e) de vouloir envoyer le bon de commande par email au client ?"
"Are you sure you want to void the payment?","Êtes-vous sûr(e) de vouloir envoyer le rejet de paiement par email au client ?"
