"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d règles de prix catalogue basées sur l'attribut ""%s"" ont été désactivées."
"Actions","Actions"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Apply","Appliquer"
"Apply To","S'applique à"
"Apply the rule only if the following conditions are met (leave blank for all products)","Appliquer la règle seulement si les conditions suivantes sont remplies (laisser vide pour appliquer à tous les produits)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Appliquer la règle seulement aux articles du panier qui remplissent les conditions suivantes (laisser vide pour appliquer à tous les produits du panier)"
"Apply the rule to cart items matching the following conditions","Appliquer la règle aux articles du panier qui remplissent les conditions suivantes"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"By Fixed Amount","Remise d'un montant fixe"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"By Percentage of the Original Price","En pourcentage du prix d'origine"
"Can\'t acquire coupon.","Impossible d'obtenir le bon de réduction."
"Cart Attribute","Attribut de panier"
"Catalog","Catalogue"
"Conditions","Conditions"
"Conditions combination","Combinaison de conditions"
"Coupon","Bon de réduction"
"Coupon Code","Code du bon de réduction"
"Customer Groups","Groupes clients"
"Customer is new buyer: %s","Le client est un nouvel acheteur : %s"
"Customer registered: %s","Client enregistré : %s"
"Date Expire","Date d'expiration"
"Date Start","Date de démarrage"
"Default Label","Libellé par défaut"
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin"
"Delete Rule","Supprimer la règle"
"Description","Description"
"Description: %s","Description : %s"
"Discount Amount","Remise"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Expire at: %s","Expire le : %s"
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Free Shipping","Livraison gratuite"
"From Date","Date de début"
"General Information","Informations générales"
"ID","ID"
"Inactive","Inactif"
"Item totals are not set for rule.","Les totaux d'articles ne sont pas définis pour la règle."
"Labels","Libellés"
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée"
"NOT LOGGED IN","NON CONNECTÉ"
"Name: %s","Nom : %s"
"New Rule","Nouvelle règle"
"No","Non"
"No Coupon","Pas de coupon de réduction"
"Number of Uses","Nombre d'utilisations"
"Payment Method","Mode de paiement"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Period","Période"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Promotions","Promotions"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Total de la ligne du panier"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Sales Discount Amount","Montant de la remise"
"Sales Subtotal Amount","Montant du sous-total"
"Sales Total Amount","Montant du total"
"Save Rule","Sauvegarder la règle"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Shipping Country","Pays de livraison"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région de livraison"
"Shopping Cart Price Rule","Règle de prix panier"
"Shopping Cart Price Rules","Règles de prix panier"
"Special Price","Prix spécial"
"Specific Coupon","Bon de réduction spécifique"
"Start at: %s","Débute le : %s"
"Status","Statut"
"Stop Further Rules Processing","Ne pas traiter les règles suivantes (non cumulable)"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
"Subtotal","Sous-total"
"Subtotal Amount","Montant du sous-total"
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été sauvegardée."
"This rule no longer exists.","Cette règle n'existe plus."
"To Date","Date de fin"
"To Fixed Amount","Nouveau prix en montant fixe"
"To Fixed Value","Nouveau prix"
"To Percentage","nouveau prix en %%"
"To Percentage of the Original Price","Pourcentage du prix original"
"Total","Total"
"Total Amount","Montant du total"
"Total Items Quantity","Quantité totale d'articles"
"Total Weight","Poids total"
"Unable to find a rule to delete.","Impossible de trouver la règle à supprimer."
"Update Prices Using the Following Information","Mettre à jour les prix en utilisant l'information suivante"
"Update prices using the following information","Mettre à jour les prix en utilisant l'information suivante"
"Update product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"Update the Product","Mettre à jour le produit"
"Uses per Coupon","Nombre d'utilisations par coupon"
"Uses per Customer","Nombre d'utilisations par client"
