"Action","Action"
"Add Sitemap","Ajouter un plan du site"
"Always","Toujours"
"CMS Pages Options","Options pour les pages CMS"
"Categories Options","Options pour les catégories"
"Daily","Quotidien"
"Edit Sitemap","Éditer le plan de site"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Le fichier ""%s"" ne peut pas être sauvegardé. Veuillez vérifier que le répertoire ""%s"" est accessible en écriture par le serveur web."
"Filename","Nom de fichier"
"Frequency","Fréquence"
"Generate","Générer"
"Generation Settings","Paramètres généraux"
"Google Sitemap","Plan de site Google"
"Hourly","Toutes les heures"
"ID","ID"
"Last Time Generated","Généré pour la dernière fois le"
"Link for Google","Lien pour Google"
"Monthly","Mensuel"
"Never","Jamais"
"New Sitemap","Nouveau plan de site"
"Path","Chemin"
"Please create the specified folder ""%s"" before saving the sitemap.","Veuillez créer le répertoire ""%s"" avant d'enregistrer le plan de site."
"Please define correct path","Veuillez définir un chemin correct"
"Please make sure that ""%s"" is writable by web-server.","Veuillez vérifier que ""%s"" est accessible en écriture par le serveur web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z ou A-Z), chiffres (0-9) ou underscore (_) dans le nom du fichier. Les espaces et autres caractères ne sont pas autorisés."
"Priority","Priorité"
"Products Options","Options pour les produits"
"Sitemap","Plan de site"
"Sitemap generate Warnings","Le plan du site a généré des alertes"
"Start Time","Heure de début"
"Store View","Vue magasin"
"The priority must be between 0 and 1.","La priorité doit être comprise entre 0 et 1."
"The sitemap ""%s"" has been generated.","Le plan de site ""%s"" a bien été généré."
"The sitemap has been deleted.","Le plan de site a bien été effacé."
"The sitemap has been saved.","Le plan de site a bien été enregistrée."
"This sitemap no longer exists.","Ce plan de site n'existe plus."
"Unable to find a sitemap to delete.","Impossible de trouver le plan de site à effacer."
"Unable to find a sitemap to generate.","Impossible de trouver le plan de site à générer."
"Unable to generate the sitemap.","Impossible de générer le plan de site."
"Valid values range: from 0.0 to 1.0.","Les valeurs doivent être comprises entre 0.0 et 1.0."
"Weekly","Hebdomadaire"
"Yearly","Annuel"
