"# of Uses","Nombre d'utilisations"
"%s tag(s) have been accepted for moderation.","%s tag(s) a (ont) été accepté(s) pour modération."
"<strong>Tag Name:</strong> %s","<strong>Mot clé :</strong> %s"
"Action","Action"
"Add New Tag","Ajouter un mot clé"
"Add Tags","Ajouter des mots clés"
"Add Your Tags:","Ajouter vos mots clés :"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"All Tags","Tous les mots clés"
"Approved","Approuvé"
"Are you sure you want to delete this tag?","Êtes-vous sûr(e) de vouloir supprimer ce mot clé ?"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Back","Retour"
"Back to Tags List","Retour à la liste de mots clés"
"Base Popularity","Popularité"
"Block Information","Information"
"CSV","CSV"
"Catalog Product View","Vue produit catalogue"
"Change status","Changer le statut"
"Click on a tag to view your corresponding products.","Cliquez sur le mot clé pour voir les produits correspondants."
"Country","Pays"
"Customer My Account My Tags List","Client - Mon compte - Ma liste de mots clés"
"Customer My Account Tag View","Client - Mon compte - Mots clés"
"Customer Since","Client depuis"
"Customers","Clients"
"Customers Submitted this Tag","Clients ayant soumis ce mot clé"
"Customers Tagged '%s'","Mots clés clients '%s'"
"Delete","Supprimer"
"Delete Tag","Supprimer mot clé"
"Disabled","Désactivé"
"Edit Tag '%s'","Éditer mot clé '%s'"
"Email","Email"
"First Name","Prénom"
"General Information","Informations générales"
"Grid","Grille"
"ID","ID"
"Last Name","Nom"
"List","Liste"
"Manage Tags","Gérer les mots clés"
"My Recent Tags","Mes mots clés récents"
"My Tags","Mes mot clés"
"Name","Nom"
"New Tag","Nouveau mot clé"
"No matches found.","Aucune correspondance trouvée."
"Other people marked this product with these tags:","Autres personnes ayant marqué ce produit avec ce mot clé :"
"Pending","En attente"
"Pending Tags","Mots clés en attente"
"Popular","Populaire"
"Popular Tags","Mots clés populaires"
"Price","Prix"
"Product Name","Nom du produit"
"Product SKU","Réf. Produit"
"Product Tags","Mots clés du produit"
"Products","Produits"
"Products Tagged by Administrators","Mots clés de l'administrateur"
"Products Tagged by Customers","Mots clés des clients"
"Products Tagged with '%s'","Produits taggés avec '%s'"
"Products tagged with '%s'","Produits taggés avec '%s'"
"Rebuild Tag aggregation data","Reconstruire les données d'aggrégation de mots clés"
"SKU","Réf."
"Save Tag","Enregistrer mot clé"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Status","Statut"
"Store View","Vue magasin"
"Tag","Mot clé"
"Tag ""%s"" has already been added to the product.","Le mot clé ""%s"" a déjà été ajouté au produit."
"Tag ""%s"" has been added to the product.","Le mot clé ""%s"" a bien été ajouté au produit."
"Tag ""%s"" has been rejected by administrator.","Le mot clé ""%s"" a été rejeté par l'administrateur."
"Tag Aggregation Data","Données d'aggrégation de mot clé"
"Tag Name","Nom du mot clé"
"Tagged Products List","Liste des produits ayant un mot clé"
"Tags","Mots clés"
"Tags List (All Available)","Liste des mots clés (Ceux disponibles)"
"Tags List Before","Liste des mots-clés avant"
"Tags:","Mots clés :"
"Telephone","Téléphone"
"The tag has been deleted.","Le mot clé a été effacé"
"There are no tags available.","Aucun mot clé disponible."
"Unable to find any products tagged with '%s' in the current store","Aucune correspondance d'article pour le mot clé : '%s'"
"Unable to remove tag. Please, try again later.","Impossible de supprimer le mot clé. Veuillez recommencer ultèrieurement."
"Unable to save tag(s).","Impossible de sauvegarder le(s) mot(s) clé(s)."
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez un espace pour séparer les mots clés. Utilisez l'apostrophe (') pour rédiger une phrase."
"View All Tags","Voir tous les mots clés"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"XML","XML"
"You have not tagged any products yet.","Vous n'avez taggé aucun produit pour le moment."
"ZIP/Post Code","ZIP/Code postal"
"Fixed Product Taxes","Taxes Fixes de Produit"
"Enable FPT","Activer les TFP"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices In Emails","Afficher les prix dans les emails"
"Apply Discounts To FPT","Appliquer les remises au TFP"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
"Add","Ajouter"
"Add tag(s) to product","Ajouter le(s) tag(s) au produit"
"Info","Informations"
"Product Tag API","API des tags de produit"
"Remove","Supprimer"
"Remove product tag","Supprimer le tag du produit"
"Retrieve list of tags by product","Récupérer la liste des tags par produit"
"Retrieve product tag info","Récupérer les informations de tags de produits"
"Update","Mettre à jour"
"Update product tag","Mettre à jour les tags de produits"
"[STORE VIEW]","[VUE MAGASIN]"
