"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - correspond à tout; 'xyz*' - correspond à ce qui commence par 'xyz' et qui ne fait pas plus de %d caractères."
"-- Please Select --","-- Faites un choix --"
"Add New Class","Ajouter une classe"
"Add New Tax Rate","Ajouter une nouvelle taxe"
"Add New Tax Rule","Ajouter une nouvelle règle"
"After Discount","Après remise"
"An error occurred while deleting this rate.","Erreur lors de la suppression de ce taux."
"An error occurred while deleting this rate. Incorrect rate ID.","Erreur lors de la suppression de ce taux. Identifiant de taux incorrect."
"An error occurred while deleting this tax class.","Erreur lors de la suppression de cette classe de taxe."
"An error occurred while deleting this tax rule.","Erreur lors de la suppression de cette règle de taxe."
"An error occurred while saving this rate.","Erreur lors de la sauvegarde de ce taux."
"An error occurred while saving this tax class.","Erreur lors de la sauvegarde de cette classe de taxe."
"An error occurred while saving this tax class. A class with the same name already exists.","Erreur lors de la sauvegarde de cette classe de taxe. Il existe déjà une classe portant ce nom."
"An error occurred while saving this tax rule.","Erreur lors de la sauvegarde de cette règle de taxe."
"Apply Customer Tax","Appliquer la taxe client"
"Apply Discount On Prices","Appliquer la remise sur les prix"
"Apply Tax On","Appliquer la taxe sur"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Appliquer la remise sur les prix TTC est calculé sur la base de la taxe du magasin si ""Appliquer les taxes après la remise"" est sélectionné."
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Back","Retour"
"Before Discount","Avant remise"
"CSV","CSV"
"Calculation Settings","Paramètres de calcul"
"Catalog Prices","Prix catalogue"
"Class Name","Nom de la classe"
"Code","Code"
"Country","Pays"
"County","Région"
"Custom price if available","Prix personnalisé si disponible"
"Customer Tax Class","Classe de taxe client"
"Customer Tax Class Information","Classe de taxe client (Information)"
"Customer Tax Classes","Classes de taxe client"
"Default Country","Pays par défaut"
"Default Post Code","Code postal par défaut"
"Default State","État par défaut"
"Default Tax Destination Calculation","Estimation de calcul de la taxe par défaut"
"Delete Class","Supprimer classe"
"Delete Rate","Supprimer le taux"
"Delete Rule","Supprimer la règle"
"Display Full Tax Summary","Afficher le résumé complet des taxes"
"Display Prices","Afficher les prix"
"Display Product Prices In Catalog","Afficher les prix des produits dans le catalogue"
"Display Shipping Amount","Afficher le montant de l'expédition"
"Display Shipping Prices","Afficher les prix de livraison"
"Display Subtotal","Afficher le sous-total"
"Display Zero Tax Subtotal","Afficher le sous-total lorsqu'il est nul"
"Edit Class","Éditer la classe"
"Edit Class '%s'","Éditer la classe '%s'"
"Edit Rule","Éditer la règle"
"Edit Tax Rate","Éditer le taux de la taxe"
"Excl. Tax","HT"
"Excl. Tax:","HT :"
"Excluding Tax","HT"
"Export Tax Rates","Exporter les taux"
"Grand Total (Excl. Tax)","Total (HT)"
"Grand Total (Excl.Tax)","Total (HT)"
"Grand Total (Incl. Tax)","Total (TTC)"
"Grand Total (Incl.Tax)","Total (TTC)"
"Grand Total Excl. Tax","Total HT"
"Grand Total Incl. Tax","Total TTC"
"Import / Export Tax Rates","Import / Export de taux de taxes"
"Import Tax Rates","Import de taux de taxes"
"Inc. Tax","TTC"
"Incl. Tax","TTC"
"Incl. Tax:","TTC :"
"Include Tax In Grand Total","TTC dans le total"
"Including Tax","TTC"
"Including and Excluding Tax","HT et TTC"
"Invalid file format upload attempt","Format de fichier non valide pour import"
"Invalid file upload attempt","Import de fichier non valide"
"Manage Customer Tax Classes","Gérer les classes de taxes client"
"Manage Product Tax Classes","Gérer les classes de taxe produit"
"Manage Tax Rates","Gérer les taux des taxes"
"Manage Tax Rules","Gérer les règles de taxes"
"Manage Tax Zones & Rates","Gérer les zones et les taux des taxes"
"Name","Nom"
"New Class","Nouvelle classe"
"New Rule","Nouvelle règle"
"New Tax Rate","Nouveau taux"
"No","Non"
"None","Aucun"
"One of the country has invalid code.","Un des pays possède un code non valide."
"Orders, Invoices, Creditmemos Display Settings","Paramètres d'affichage des commandes, factures, avoirs"
"Original price only","Prix original seulement"
"Price Display Settings","Paramètres d'affichage du prix"
"Priority","Priorité"
"Product Tax Class","Classes de taxe produit"
"Product Tax Class Information","Information sur la classe de taxe produit"
"Product Tax Classes","Classe de taxe produit"
"Range From","Tranche à partir de"
"Range To","Tranche jusqu'à"
"Rate","Taux"
"Rate Percent","Taux"
"Reset","Réinitialiser"
"Row Total","Total ligne"
"Sales","Ventes"
