""
"But cart has some errors.","Mais le panier présente des erreurs."
"""Title"" is more than %d characters long","Le titre fait plus de %d caractères"
"%1$s has been added to your wishlist.","%&$s a été ajouté à votre liste d'envies."
"%1$s incl tax.","%1$s TTC"
"%s has been added to your cart.","%s a été ajouté à votre panier."
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Une application de catalogue uniquement ne supportera pas les fonctionnalités telles que ajout au panier, ajout à la liste d'envies ou connexion."
"A new password has been sent.","Un nouveau mot de passe a été envoyé."
"Account","Compte"
"Account confirmation is required. Please check your email for the confirmation link.","Une confirmation de création de compte est nécessaire. Vérifiez votre boîte mail et cliquez sur le lien de confirmation qui vous a été envoyé."
"Account information has been saved.","Les informations du compte ont été sauvegardées."
"Action","Action"
"Activate","Activez"
"Activate PayPal Checkout","Activer le passage de commande via PayPal"
"Activation Key","Clé d'activation"
"Add App","Ajouter une application"
"Add More Templates","Ajouter des gabarits"
"Add New Template","Ajouter un nouveau gabarit"
"Add Page","Ajouter une page"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Additional Address","Adresse supplémentaire"
"Additional Countries","Pays supplémentaires"
"Address","Adresse"
"Address 2","2ème adresse"
"Address data not specified.","Les données d'adresse ne sont pas spécifiées."
"Address does not belong to this customer.","L'adresse n'appartient pas à ce client."
"Address has been deleted.","L'adresse a été supprimée."
"Address has been saved.","L'adresse a été sauvegardée."
"Administrative contact for this app and for app submission issues.","Contact administratif pour cette appli et pour les problèmes de soumission d'application."
"Advanced Settings","Paramètres avancés"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship's Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Après soumission de l'application, contactez <a href=""mailto:%1$s"">%1$s</a> afin de recevoir la clé d'application, le code secret d'application et le code secret maître de l'application.<br/>À réception de ces informations d'identification, remplissez les champs de formulaire correspondants.<br/> Enfin, acceptez les CGV d'Urban Airship en <a href=""%2$s"" target=""_blank"">cliquant ici</a>."
"AirMail Message Queue","File d'attente des messages AirMail"
"AirMail Messages Queue","File d'attente des messages AirMail"
"AirMail Template Preview","Prévisualisation du gabarit de AirMail"
"AirMail message","Message AirMail"
"AirMail templates","Gabarits AirMail"
"An account with this email address already exists.","Il existe déjà un compte pour cet email."
"An error occurred while adding item to wishlist.","Erreur lors de l'ajout de produit à votre liste d'envies."
"An error occurred while deleting the address.","Erreur lors de la suppression de l'adresse."
"An error occurred while loading category filters.","Erreur lors du chargement des filtres de catégories."
"An error occurred while processing your order. Please contact us or try again later.","Erreur lors du traitement de votre commande. Contactez-nous ou réessayez plus tard."
"An error occurred while processing your request.","Erreur lors du traitement de votre requête."
"An error occurred while removing item from wishlist.","Erreur lors de la suppression de l'article de la liste d'envies."
"An error occurred while removing items from wishlist.","Erreur lors de la suppression des articles de la liste d'envies."
"Analytics","Analytics"
"Android","Android"
"App Background","Arrière-plan de l'appli"
"App Background (landscape mode)","Arrière-plan de l'appli (mode paysage)"
"App Background (portrait mode)","Arrière-plan de l'appli (mode portrait)"
"App Code","Code de l'appli"
"App Information","Informations de l'appli"
"App Name","Nom de l'appli"
"App Submission History","Historique de soumission de l'appli"
"App Title","Titre de l'appli"
"App code required.","Le code de l'appli est obligatoire."
"App does not exist.","L'appli n'existe pas."
"App has been deleted.","L'appli a été effacée."
"App has been saved.","L'appli a été sauvegardée."
"App has been submitted.","L'appli a été soumise."
"App model not loaded.","Le modèle App n'a pas été chargé."
"App with specified code does not exist.","Il n'existe pas d'appli correspondant à ce code."
"Appears in the info section of your app (example:  Copyright 2010 – Your Company, Inc.)","Apparaît dans la section infos de votre appli (par exemple : Copyright 2011 - Votre société)"
"Application","Application"
