"%s %s","%s %s"
"* Required Fields","* Verplichte velden"
"AJAX layer","AJAX laag"
"API key","API sleutel"
"Action","Actie"
"Actions","Acties"
"Activation code is incorrect","Activatie code is onjuist"
"Active","Actief"
"Add Item","Item toevoegen"
"Add Queue","Wachtrij toevoegen"
"Add Subscriber","Abonnee toevoegen"
"Add to","Toevoegen aan"
"Address Information","Adresinformatie"
"Address to send test email","Adres om test-e-mail naar te sturen"
"Adds name fields for guests","Nameveld voor gasten toevoegen"
"Advanced Newsletter","Geavanceerde nieuwsbrief"
"AdvancedNewsletter","AdvancedNewsletter"
"Advancednewsletter subscriber activation","Abonnee activiatie"
"Advancednewsletter subscriber first subscription","Eerste inschrijving voor nieuwsbrief"
"Advancednewsletter unsubscription","Uitschrijving nieuwsbrief"
"All","Alle"
"An error occurred while deleting this template.","Fout bij het verwijderen van template."
"An error occurred while saving this template.","Fout bij het opslaan van template."
"Apikey or xmlrpc url are inncorrect","Apikey of xmlrpc url zijn fout"
"Apply MSS rule:","MSS regel toepassen:"
"Are you sure that you want to delete this template?","Deze template definitief verwijderen?"
"Are you sure that you want to strip all tags?","Alle tags definitief verwijderen?"
"Are you sure?","Zeker weten?"
"Auto-management rules","Regels voor automatisch beheer"
"Back","Terug"
"CSV","CSV"
"Cancel","Annuleren"
"Cancelled","Geannuleerd"
"Cannot mark as received subscriber.","Kan niet als ontvangen abonnee markeren."
"Category","Categorie"
"Category default","Standaardcategorie"
"Change Password","Wachtwoord wijzigen"
"Check boxes","Checkboxes"
"Choose needed parameters","Kies benodigde parameters"
"City","Woonplaats"
"Company","Bedrijf"
"Conditions","Conditie"
"Conditions Combination","Combinatie van condities"
"Confirm Password","Bevestig wachtwoord"
"Contact Information","Contactinformatie"
"Contains any of these SKUs","Bevat één van de volgende SKU's"
"Convert to Plain Text","Converteren naar platte tekst"
"Couldn't connect to MailChimp","Kon geen verbinding maken met MailChimp"
"Country","Land"
"Create Newsletter Template","Nieuwsbriefsjabloon aanmaken"
"Create an Account","Account aanmaken"
"Customer","Klant"
"Customer Since","Klant sinds"
"Customer will be automatically subscribed to this segment without choice","Klanten worden automatisch ingeschreven voor dit segment, zonder enige keuze"
"Customers can be filtered using Market Segmenation Suite rules. Learn more.","Klanten kunnen d.m.v Market Segmentation Suite gefilterd worden. Lees meer."
"Date Added","Datum toegevoegd"
"Date Updated","Datum geupdate"
"Default Category","Standaard categorie"
"Default Store","Standaard winkel"
"Default category","Standaard categorie"
"Default store","Standaard winkel"
"Default subscription","Standaard abonnement"
"Delete","Verwijderen"
"Delete Item","Verwijder item"
"Delete Rule","Verwijder regel"
"Delete Template","Verwijder sjabloon"
"Display in category","Weergeven in categorie"
"Display in store","Weergeven in winkel"
"Display name","Weergeven naam"
"Display order","Weergeven bestelling"
"Display phone","Weergeven telefoonnummer"
"Display salutation","Weergeven begroeting"
"Display segments at customer registration form","Weergevent segmentatie bij klant registratie formulier"
"Do you really want to cancel the queue?","Wachtrij annuleren?"
"Edit","Bewerken"
"Edit Item '%s'","Bewerk item '%s'"
