"Initiated payment process.","Betaalproces gestart."
"You will be redirected to the payment gateway in a few seconds.","De browser wordt over enkele seconden doorverwezen naar de betaalpagina."
"An error occurred. You are redirected back to the store.","Er heeft een storing plaats gevonden en de browser wordt terug verwezen naar de winkel."
"Payment Status: %s.","Betaalstatus: %s."
"Account Holder Name: %s.","Naam rekeninghouder: %s."
"City: %s.","Plaats: %s."
"Bank Account Number: %s.","Bankrekeningnummer: %s."
"Required fields missing.","Verplichte velden ontbreken."
"--Please Select--","--Selecteer--"
"Test Issuer","Test Bank"
"Selected currency (%s) is not compatible with this payment method.","De gekozen valuta (%s) is niet mogelijk in combinatie met deze betaalwijze."
"Order %s","Bestelling %s"
"Automatic invoice.","Automatische factuur."
"Payment failed. Please try again.","Betaling mislukt. Probeer het nog eens of neem contact met ons op."
"Issuer: %s","Bank: %s"
"Transaction ID: %s","Transactie ID: %s"
"Issuer","Bank"
"You will be redirected to the payment gateway after placing an order.","Na het plaatsen van een bestelling wordt de browser doorverwezen naar de betaalpagina."
"Pending Payment Status","Status 'Nog niet betaald'"
"Processing Order Status","Status 'In Verwerking'"
"Test Mode","Test-modus"
"Debug Mode","Foutopsporing"
"See database table <em>idealadvanced_api_debug</em>.","Zie database tabel <em>idealadvanced_api_debug</em>."
"Send Order Email","Verstuur e-mail bestelling"
"Create Invoice","Aanmaken factuur"
"Send Invoice Email","Versturen e-mail factuur"
"Acceptant Bank","Acceptant bank"
"Acceptant ID","Acceptant ID"
"Sub ID","Sub ID"
"Private Certificate","Eigen certificaat"
"Allowed file types: .cer","Toegestane bestandstypen: .cer"
"Private Key","Eigen sleutel"
"Allowed file types: .pem","Toegestane bestandstypen: .pem"
"Private Key Password","Wachtwoord eigen sleutel"
"iDEAL Certificate","iDEAL certificaat"
"Allowed file types: .cer","Toegestane bestandstypen: .cer"
