"Authentication","Authenticatie"
"Choose extension option","Selecteer een verzendoptie"
"Development Mode disabled","Test-modus uitgeschakeld"
"Development Mode options","Test-modus"
"Email Log","E-mail historie"
"If you are experiencing problems with this extension please run the self diagnosing test by clicking the button below. The module will log what it is doing if you enable logging, this can be useful to determine problems aswell. If you have any questions or would like any help please visit &lt;a href='http://aschroder.com' target='_blank'&gt;ASchroder.com&lt;/a&gt;.","Start eerst de zelftest en controleer de configuratie bij problemen."
"If you use Authentication for your SMTP server this is the password used to authenticate.","Indien authenticatie op de SMTP-server ingesteld staat, zal hiervan het wachtwoord gebruikt worden."
"If you use Authentication for your SMTP server this is the username used to authenticate.","Indien authenticatie op de SMTP-server ingesteld staat, zal hier deze gebruikersnaam gebruikt worden."
"Log all messages","Alle berichten in logboek vastleggen"
"No SSL","Geen SSL"
"None (ignore username/password)","Geen (negeer gebruikersnaam/wachtwoord)"
"Redirect to contact form email","Naar e-mail contactformulier omleiden"
"Run Self Test","Zelftest uitvoeren"
"SMTP Pro Email General Settings","SMTP e-mailinstellingen"
"SMTP Pro Email Google Apps/Gmail Settings","Google Apps / Gmail instellingen"
"SMTP Pro Email SMTP Settings","SMTP e-mailinstellingen"
"SSL Security","SSL-Certificaat"
"Supress all emails","Alle e-mails tegenhouden"
"These options can be used during development and testing to control the destination of all emails, or to stop Magento emails sending. (Note: if extensions do not send emails 'the magento way' then they will not be supressed)","Deze opties kunnen tijdens de ontwikkel- en testfase gebruik worden om het adres van alle emails aan te passen of Magento helemaal geen emails meer te laten verzenden. Noot: Als de extensie geen e-mail 'op de Magento manier' verzendt dan worden deze niet onderdrukt."
"This is the SMTP server hostname you would like to send your emails through. This is required.","Dit is de hostnaam van de SMTP-server. Verplicht."
"This is the port on the SMTP server you connect to. The value is optional, it defaults to 25 for none and TLS or 465 for SSL.","Het nummer van de poort welke gebruikt wordt om verbinding te maken. Vaak is dit 25 voor standaard en TLS, of 465 bij SSL gebruik. Niet verplicht."
"This test will ensure the configuration in your Google Apps/ Gmail OR SMTP section are working. You have to save the settings from either of these sections before running this test.","Met deze test het het eenvoudig controlen of de configuratie in Google Apps / Google Mail of SMTP correct staat. Sla eerst de instellingen op alvorens met de test aan te vangen."
"This will determine if and how you authenticate with your SMTP server. If you choose no authentication then the username and password below are not used.","Deze optie wordt bepaald hoe de authenticatie met SMTP zal plaatsvinden."
"This will determine if any SSL security should be used to connect to your SMTP server.","Op basis van deze instelling wordt bepaald of SSL beveiliging toegepast wordt bij het verbinden met de SMTP server."
"This will determine if the extension uses the simple Google Apps/Gmail configuration, The advanced SMTP configuration or disables the extension completely.","Met deze optie wordt de module geactiveerd en wordt gekozen tussen Google Apps of SMTP."
"This will log all outbound emails to the table smtppro_email_log and allow viewing within the admin interface from System->Tools->Email Log.","Alle uitgaande e-mails worden opgeslagen. deze zijn terug te vinden onder Systeem > Hulpmiddelen > E-mail historie"
"Use Store Email Addresses for Reply-to","Toon als afzender het e-mailadres zoals geconfigureerd in Magento"
"Username","Gebruikersnaam"
