"Quantity","Hoeveelheid"
"Movement","Overboeken"
"In Stock","Op voorraad"
"Message","Opmerking"
"User","Gebruiker"
"Date","Datum"
"Stock Movements","Voorraad overboeken"
"Stock saved automatically","Voorraad automatisch opgeslagen"
"Stock saved manually","Voorraad handmatig opgeslagen"
"Product ordered (order: %s)","Product besteld (bestelling: %s)"
"Product ordered (orders: %s)","Product besteld (bestellingen: %s)"
"Product restocked","Product aangevuld"
"Product import","Product import"
"Product restocked after order cancellation (order: %s)","Product aangevulled na annulering bestelling (bestelnummer: %s)"
"Product restocked after credit memo creation (credit memo: %s)","Product aangevuld na aanmaken creditnota (creditnota: %s)"
"Stock saved from Magento API","Voorraad opgeslagen van Magento API"
