"Dutch","Nederlands"
"English","Engels"
"German","Duits"
"French","Frans"
"Spanish","Spaans"
"Greek","Grieks"
"Croatian","Kroatisch"
"Italian","Italiaans"
"Czech","Tsjechisch"
"Russian","Russisch"
"Swedish","Zweeds"
"<strong>Note:</strong> Don't forget to set-up in the <a href='https://my.cardgate.com/' target='_blank'>Merchant Backoffice</a> a Control URL to 'http://www.yourdomain.com/cgp/standard/control/'.","<strong>Let op!</strong> Vergeet niet uw 'Control URL (http://www.yourdomain.com/cgp/standard/control/)' op te geven in de <a href='https://my.cardgate.com/' target='_blank'>Merchant Backoffice</a>."
"Test Mode","Test modus"
"Live Mode","Live modus"
"Test/Live Mode","Test/Live modus"
"Switching between test and live mode. If you don't have an account <a href='http://www.cardgate.com/' target='_blank'>sign up here</a>.","Schakelen tussen test en live modus. Als u nog geen account heeft, kunt u zich <a href='http://www.cardgate.com/' target='_blank'>hier aanmelden</a>."
"Site ID","Site ID"
"Fill in you site ID number. You can find your site ID number at <a href='https://my.cardgate.com/' target='_blank'>merchant back-office</a>.","Vul hier uw site ID in. Dit nummer kunt u vinden in de <a href='https://my.cardgate.com/' target='_blank'>merchant back-office</a>."
"Hash Key","Codeer Sleutel"
"Fill in you secret hash key for the site. You can create your hash key code at <a href='https://my.cardgate.com/' target='_blank'>merchant back-office</a>.","Vul hier uw codeer sleutel in. Deze kunt u aanmaken in de <a href='https://my.cardgate.com/' target='_blank'>merchant back-office</a>."
"Use back-office URLs","Gebruik back-office URLs"
"Use the return URLs as filled in at <a href='https://my.cardgate.com/' target='_blank'>merchant back-office</a> instead of the default plugin values.","Gebruik de return URLs, zoals door u aangemaakt in de <a href='https://my.cardgate.com/' target='_blank'>merchant back-office</a> i.p.v. de standaard plugin waarden."
"Create invoice after payment","Maak een factuur aan na betaling"
"Automatically create invoices after payment.","Maak automatisch een factuur aan na betaling."
"Mail invoice to customer","Email factuur aan klant"
"Gateway language","Taal betaalpagina"
"Setting a default language interface of the gateway.","Stel een standaard taal in voor de betaal pagina"
"Order description","Order omschrijving"
"Payment description that will be shown to the customer in the gateway screen. <br />Variables: <b>%id%</b> = Order ID","Omschrijving welke getoond wordt op de betaalpagina. <br />Variabele: <b>%id%</b> = Order ID"
"Payment in progress status","Betaling aan de gang status"
"Payment complete status","Betaling compleet status"
"Payment failed status","Betaling mislukt status"
"Payment fraud status","Fraude status"
"Payment from applicable countries","Betaling toegestaan vanuit"
"Payment from Specific countries","Betaling vanuit specifieke landen"
"Sort order","Volgorde"
"Debug","Debug"
"Will log details for debugging purposes in var/log/cardgateplus.log file.","Dit zal debug gegevens loggen in het bestand var/log/cardgateplus.log"
"Enabled","Ingeschakeld"
"Title","Titel"
"You will be redirected to finish your payment.","U zult worden doorgelinkt om uw betaling af te ronden."
"Selected currency code ","Geselecteerde valuta code "
" is not compatible with Card Gate Plus"," wordt niet ondersteund door Card Gate Plus"
"Transaction started, waiting for payment.","Transactie gestart, wacht op betaling"
"Paymentmethod used","Gebruikte betaalmethode"
"Additional information","Extra informatie"
"--Please select--","--Maak uw keuze--"
"------ Additional Banks ------","----- Overige Banken -----"
"Select your bank","Selecteer uw bank"
"Invoice # %s created and send to customer.","Factuur # %s is aangemaakt en verzonden naar de klant."
"Invoice # %s created.","Factuur # %s is aangemaakt."
"Hacker attempt: Order total amount does not match Card Gate Plus' gross total amount!","Hack poging: Het order bedrag komt niet overeen met het bedrag verzonden naar Card Gate Plus"
"Payment complete.","Betaling afgerond."
"Payment failed or canceled by user.","Betaling mislukt of geannuleerd door de klant."
"Transaction failed, payment is fraud.","Betaling afgewezen door anti-fraude instellingen."
"Automatically mail invoices to a customer.","Stuur facturen automatisch aan klant."
"Notifications recipient","Ontvanger van meldingen"
"Notify on failed invoice creation","Melden van mislukte poging om een factuur aan te maken"
"Automatic invoice creation failed","Het automatisch genereren van de factuur is mislukt"
"Magento was unable to create an invoice for Order # %s after a successful payment via Card Gate Plus (transaction # %s)","Het is Magento niet gelukt een factuur aan te maken voor Order # %s na een succesvolle transactie via Card Gate Plus (transactie # %s)"
"Year","Jaar"
"Month","Maand"
"Day","Dag"
"Gender","Geslacht"
"Male","Man"
"Female","Vrouw"
"Birthday","Geboortedatum"
"Your Klarna EID","Uw Klarna EID"
"Bank Transfer","Bank Overboeking"
"Klarna Invoice", "Klarna Factuur"
"Direct Debit","Incasso"
"Bank transfer: Waiting for customer action.","Overboeking: Wacht op consument."
"Direct debit: Waiting for confirmation.","Incasso: wacht op bevestiging."
"Your payment is being evaluated by the bank. Please do not attempt to pay again, until your payment is either confirmed or denied by the bank.","Uw betaling wordt beoordeeld door de bank. Probeer niet nogmaals te betalen, totdat de betaling goed- of afgekeurd is door de bank."
