"ACCEPTED","Geaccepteerd"
"Aantal","Aantal"
"Aanvraag Resultaat","Aanvraag Resultaat"
"Aanvragen zijn aangepast.","Aanvragen zijn aangepast."
"Aanvragen zijn verwijderd.","Aanvragen zijn verwijderd."
"Acceptatie","Acceptatie"
"Achteraf","Achteraf"
"Actie","Actie"
"Added costs","Extra kosten"
"Added costs includes tax","Extra kosten zijn inclusief BTW"
"Adres","Adres"
"Afterpay","AfterPay"
"Afterpay - Algemene Voorwaarden","AfterPay - Algemene Voorwaarden"
"Afterpay - Wijze van Betalen","AfterPay - Wijze van Betalen"
"Afterpay - de veilige achteraf betaal methode","AfterPay - de veilige achteraf betaal methode"
"Afterpay Orders","AfterPay Orders"
"Afterpay heading","Afterpay instellingen"
"Afterpay kosten","AfterPay kosten"
"Afwijzen","Afwijzen"
"AfwijzingCode","AfwijzingCode"
"Alert customer","Klant informeren"
"Algemene voorwaarden","Algemene voorwaarden"
"Approved orderstatus","Goedgekeurde order status"
"Artikel","Artikel"
"Bankrekeningnummer","Bankrekeningnummer"
"Bedrag van doorbelasting aan de klant (per bestelling)","Bedrag van doorbelasting aan de klant (per bestelling)"
"Best.","Best."
"Bestelling","Bestelling"
"Betaal met AfterPay","Betaal met AfterPay"
"Btw","Btw"
"Btw bedrag","Btw bedrag"
"Btw code","Btw code"
"Btw hoog","Btw hoog"
"Btw laag","Btw laag"
"Btw totaal","Btw totaal"
"COMPLETED_OTHERWISE","Anders betaald"
"DECLINED","Afgewezen"
"Datum","Datum"
"De aanvraag is verwijderd.","De aanvraag is verwijderd."
"De betaling via AfterPay is geweigerd, probeer anders af te rekenen.","De betaling via AfterPay is geweigerd, probeer anders af te rekenen."
"De status van de aanvraag is aangepast naar Afgewezen.","De status van de aanvraag is aangepast naar Afgewezen."
"De status van de aanvraag is aangepast naar Vrijgegeven.","De status van de aanvraag is aangepast naar Vrijgegeven."
"Desgewenst kunt u voor een andere betaalmethode kiezen om uw bestelling af te ronden.","Desgewenst kunt u voor een andere betaalmethode kiezen om uw bestelling af te ronden."
"Deze aanvraag is niet tot een bestelling gekomen.","Deze aanvraag is niet tot een bestelling gekomen."
