"Invalid userid and/or password","Gebruikersnaam/wachtwoord-combinatie is niet juist"
"There were no orders to dispatch to ABC Mail","Er zijn geen bestellingen verstuurd naar ABC Mail"
"Order dispatched to ABC Mail","Bestelling verstuurd naar ABC Mail"
"%s orders dispatched to ABC Mail","%s bestellingen verstuurd naar ABC Mail"
"%s orders checked for updates","%s bestellingen gecontroleerd op updates."
"ABC Mail Code: %s","ABC Mail code: %s"
"Status: %s [%s]","Status: %s [%s]"
"Update date: %s","Laatst bijgewerkt: %s"
"Comment: %s","Opmerking: %s"
"Priority parcel","Priority parcel"
"Parcelplus","Parcelplus"
"Cash on Delivery","Cash on Delivery"
"Registered Mail","Registered Mail"
"Expresse","Expresse"
"Ready to Ship","Klaar voor verzending"
"Shipped","Verzonden"
"ABC Mail Integration","ABC Mail integratie"
"<div style=""margin:-15px -20px 10px -20px; padding: 8px 20px; background: #e7efef; border-bottom: 1px solid #cddddd;"">These settings will be mailed to you. This is the same account information you use on the <a href=""https://www.customer-pages.com/en/"" target=""_blank"">Customer Pages website</a>.</div>","<div style=""margin:-15px -20px 10px -20px; padding: 8px 20px; background: #e7efef; border-bottom: 1px solid #cddddd;"">Deze instellingen zullen per email naar u worden toegezonden. Dit is dezelfde accountinformatie welke u ook gebruikt om in te loggen op de <a href=""https://www.customer-pages.com/en/"" target=""_blank"">Customer Pages website</a>.</div>"
"Customer Pages Account settings","Customer Pages-accountinstellingen"
"Username","Gebruikersnaam"
"Password","Wachtwoord"
"Check Credential","Controleer gegevens"
"Order Creation","Orders aanmaken bij ABC Mail"
"Enabled For Store Views","Ingeschakeld voor winkelzichten"
"Enabled For Warehouse","Ingeschakeld voor warenhuizen"
"Shipping Method","Verzendmethode"
"Dispatch Status","Verzendstatus"
"Dispatched Status","Status als verzonden"
"Order creation options","Instellingen voor aanmaken bestelling"
"Automatic Sending of New Orders","Automatische verzending van nieuwe bestellingen"
"Send New Orders To ABC Mail Manually","Verstuurd nieuwe bestellingen nu handmatig naar ABC Mail"
"Order Status Update","Status bestelling update"
"Create Shipment When Status is reached","Verzending aanmaken wanneer status is bereikt:"
"Ready to Ship [20]","Klaar voor verzending [20]"
"Ready To Ship Status","Status: Klaar voor verzending"
"Send Email On 'Ready To Ship'","Verstuur email bij status: Klaar voor verzending"
"Shipped [30]","Verzonden [30]"
"Shipped Status","Status: Verzonden"
"Send Email On 'Shipped'","Verstuur email bij status: Verzonden"
"In Transit [40]","Onderweg [40]"
"In Transit Status","Status: Onderweg"
"Send Email On 'In Transit'","Verstuur email bij status: Onderweg"
