"'Available shortcuts'-dialog shortcut","Sneltoets voor 'Beschikbare sneltoetsen'-dialoog"
"Admin Improvements","Admin Panel verbeteringen"
"Available shortcuts for <code>%s</code>","Beschikbare sneltoetsen voor <code>%s</code>"
"Description","Beschrijving"
"First","Eerst"
"Global Shortcuts","Algemene sneltoetsen"
"Keymaster","Keymaster"
"Return to global scope shortcut","Keer terug naar algemene sneltoets bereik"
"Scope","Bereik"
"Shortcut","Sneltoets"
"Shortcuts","Sneltoetsen"
"Show 'Available scope shortcuts'-dialog when entering scope?","Toon 'Beschikbaare shortcuts voor huidig bereik'-dialoog wanneer een bereik wordt geactiveerd."
"then","dan"
