"09xx service number: Pay per call fixed amount","Telefoonbetaling: Betaal per gesprek"
"09xx service number: Pay per minute without predefined amount eg stream","Telefoonbetaling: Betaal per minuut"
"09xx service number: Progress bar, PPM with predefined amount","Telefoonbetaling: Betaal per minuut"
"A safe and reliable situation.","Een comfortabel en vertrouwd gevoel."
"Add fee (Flat Rate - Fixed)","Toeslag (Vast bedrag, Flat Rate)"
"All online payments on this website are <strong>safe and secure</strong> and processed discretely by the <a href='http://www.icepay.eu' target='_blank' style='color: #7093a9; text-decoration: underline;'>Payment Service Provider ICEPAY</a>.","Alle online betalingen op deze website worden op <strong>veilige en   vertrouwde</strong> wijze verzorgd door de Nederlandse <a href='http://www.icepay.eu' target='_blank' style='color: #7093a9; text-decoration: underline;'>Payment Service Provider ICEPAY</a>."
"All purchases on this site are guaranteed secure.<br />","Alle aankopen die u op deze website doet zijn dan ook gegarandeerd veilig! <br />"
"As an official business partner of the Dutch Home Shopping Organization, known as 'Thuiswinkel.org', ICEPAY follows strict rules and regulations concerning privacy, right of withdrawal and dispute settlement.","Als officieel businesspartner van Thuiswinkel.org houdt ICEPAY zich aan de strikte gedragsregels rond informatieplicht, privacy, herroepingrecht en geschillenbeslechting."
"Auto cancel","Automatische annulering van de order"
"Auto invoice","Automatische facturatie van de order"
"Auto-Cancel","Auto-Annuleer"
"Auto-Invoice","Auto-Factureer"
"Check the merchant configuration of the module and reload the paymentmethods configuration page to retrieve the latest data from ICEPAY.","Controleer de ingestelde merchant informatie van de configuratiemodule en herlaad de betaalmethoden configuratie pagina om de nieuwe data van ICEPAY op te halen."
"Click <a href='%s'>here</a> to reorder.","Klik <a href='%s'>hier</a> om opnieuw te bestellen."
"Click here to test the URL layout","Klik hier om de URL opmaak te controleren"
"Contacting payment gateway","Contact maken met betaal platform..."
"Credit card: American Express","American Express creditcard"
"Credit card: Master Card","MasterCard creditcard"
"Credit card: VISA","VISA creditcard"
"Description in checkout","Omschrijving in Checkout"
"Description on transaction statement of customer","Omschrijving voor het transactie overzicht van de klant"
"Direct Debit: Automatische incasso","Automatisch Incasso"
"Direct e-Banking: Direct e-banking Adult","Direct e-Banking"
"Direct e-Banking: Direct e-banking Digital","Direct e-Banking"
"Direct e-Banking: Direct e-banking Retail","Direct e-Banking"
"Do a small selfcheck of the main configuration","Doe kleine zelfcontrole hoofdconfiguratie"
"Enable logging","Activeer loggen"
"Error","Foutmelding"
"Error: Customer chose inactive payment method in checkout!","Fout: Eindgebruiker heeft een inactieve betaalmethode gekozen tijdens checkout!"
"GIROPAY: Giropay","GIROPAY"
"ICEPAY Configuration","ICEPAY Configuratie"
"ICEPAY CreditCard payments","ICEPAY CreditCard betalingen"
"ICEPAY Direct Debit payments","ICEPAY Direct Debit (Incasso/Eenmalige machtiging) betalingen"
"ICEPAY Direct E-Banking payments","ICEPAY Direct E-Banking betalingen"
"ICEPAY Giropay payments","ICEPAY Giropay betalingen"
"ICEPAY Magento forum","ICEPAY Magento forum"
"ICEPAY Module is not properly configured","De ICEPAY module is niet correct ingesteld"
"ICEPAY Paypal payments","ICEPAY Paypal betalingen"
"ICEPAY Paysafecard payments","ICEPAY Paysafecard betalingen"
"ICEPAY Wallie payments","ICEPAY Wallie betalingen"
"ICEPAY Wiretransfer payments","ICEPAY Wiretransfer (Overboeking) betalingen"
"ICEPAY iDeal payments","ICEPAY iDeal betalingen"
"ICEPAY paymentmethod","ICEPAY Betaalmethode"
"ICEPAY payments - main module","ICEPAY betalingen - hoofd module"
"IP check on postback","IP postback controle"
"Inform customer of all status changes","Informeer eindgebruiker van alle ICEPAY status updates"
"Language used","Te gebruiken taal"
"PHP SOAP is not detected and is required to use this payment method.","PHP SOAP is niet gedetecteerd en is vereist om deze betaalmethode te gebruiken."
"Payment Method Fee","Betaalmethode toeslag"
"Payment confirmed. Invoice created automatically.","Betaling voltooid. Factuur is automatisch aangemaakt."
"Payment data must be sent to this page in order for it to function properly. Direct access does not work.","Betaalinformatie dient naar deze pagina gestuurd te worden om naar behoren te functioneren. Directe toegang werkt niet."
"Payment message","Bericht"
"Please configure the ICEPAY configuration module first.","Stel aub eerst de ICEPAY configuratie module in."
"Please contact ICEPAY to enable the apropriate Direct E-Banking account type. (Retail/Adult/Other)","Neem aub contact op met ICEPAY om het juiste Direct E-Banking accounttype te koppelen. (Retail/Adult/Anders)"
"Premium SMS service: Default Premium SMS","Telefoonbetaling: Betaal per SMS"
"Preparing","Gereed maken"
"Quick selfcheck results:","Resultaten snelle zelfcontrole:"
"SOAP is not detected, you require the PHP SOAP library to use the ADVANCED checkout","PHP SOAP is niet gedetecteerd, deze is vereist om de ADVANCED checkout methode te gebruiken"
