"Action","Actie"
"Add Price","Prijs toevoegen"
"Amount","Hoeveelheid"
"An error occurred while saving the price: %s.","Er is een fout opgetreden bij het opslaan van de prijs: %s."
"Apply","Toepassen"
"Are you sure you want to delete price?","Weet u zeker dat u deze prijs wilt verwijderen??"
"Currency","Valuta"
"Delete","Verwijder"
"Duplicated price.","Prijs gedupliceerd."
"Edit","Wijzig"
"Enable Currency Pricing","Valuta prijzen inschakelen"
"Enable Zone Pricing","Zone prijzen inschakelen"
"Fixed","Vast"
"Percent","Procent"
"Price","Prijs"
"Price by Rate","Prijs per rate"
"Price per Currency","Prijs per valuta"
"Store View","Winkel Zicht"
"Submit","Opslaan"
"The price has been deleted.","De prijs is verwijderd."
"The price has been saved.","De prijs is opgeslagen."
"The price was not found.","De prijs is niet gevonden."
"You can set a custom product price for each currency separately if the option is enabled.","U kunt een prijs instellen voor elke valuta apart als deze optie ingeschakeld is."
"You can set product discounts by zones is enabled.","U kunt productkortingen per zone is ingeschakeld."
"Zone Prices","Zone prijs"
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKEL ZICHT]"
