"%s Support (free)","%s Ondersteuning (gratis)"
"Contact Email","Contact e-mailadres"
"Contact MageWorx Support Team or visit <a href=""%s"">%s</a> for additional information","Neem contact op met het MageWorx Support Team or ga naar <a href=""%s"">%s</a> voor meer informatie"
"Contact Name","Contactnaam"
"Customers","Klanten"
"Extensions Information","Module informatie"
"Get Support","Krijg ondersteuning"
"Installed MageWorx Extensions","Geinstalleerde MageWorx Modules"
"MageWorx &gt; Extensions &amp; Support","MageWorx &gt; Modules &amp; Ondersteuning"
"MageWorx &gt; SEO Suite","MageWorx &gt; SEO Suite"
"MageWorx &gt; Sales","MageWorx &gt; Verkoop"
"MageWorx &gt; Tweaks","MageWorx &gt; Tweaks"
"Magento Related Support (paid)","Magento gerelateerde ondersteunig (betaald)"
"Message","Bericht"
"Message sent","Bericht verzonden"
"Other Reason","Andere reden"
"Please select","Selecteer a.u.b."
"Reason","Reden"
"Request New Extension Development (paid)","Aanvraag nieuwe module"
"SEO Suite","SEO Suite"
"Sales","Verkoop"
"Send","Verzenden"
"Subject","Onderwerp"
"Tweaks","Tweaks"
