"Action","Actie"
"Add Options","Optie toevoegen"
"Add Options Template","Optie-sjabloon toevoegen"
"Advanced Product Options","Geavanceerde productopties"
"All Store Views","Alle winkelzichten"
"Attrib. Set Name","Attribuutsetnaam"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved","Een bundel-product met een dynamische prijs kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"Change Image","Verander afbeelding"
"Children","Onderliggende"
"Choose Store View","Kies winkelzicht"
"Custom Options","Eigen opties"
"Default Option Qty Field Label","Standaard optie Aantal-veld label"
"Delete","Verwijder"
"Description","Omschrijving"
"Display Qty for Options on the Front-end","Toon Aantal voor Opties op de frontend"
"Edit Template '%s'","Wijzig sjabloon '%s'"
"Enable Custom Options Inventory","'Eigen Opties' voorraadbeheer inschakelen"
"Enable Custom Options for Customer Groups","'Eigen Opties' inschakelen for klantgroepen"
"Enable Dependent Custom Options","Afhankelijke 'Eigen Opties' inschakelen"
"Enable Qnty Field for Custom Options on the Front-end","Aantal-veld voor 'Eigen Opties' inschakelen op de frontend"
"Hide ""Out of stock"" Options","Verberg ""Niet op voorraad"" opties"
"Hide Dependent Custom Options","Verberg afhankelijke 'Eigen Opties'"
"Id","ID"
"If you delete this item(s) all the options inside will be deleted as well?","Als u deze regel verwijderd worden alle opties die er in zitten ook verwijderd"
"Images Above Options","Afbeeldingen boven opties"
"Is Dependent","Is afhankelijk"
"Is Disabled","Is uitgeschakeld"
"Manage Options Templates","Beheer sjabloon-opties"
"Manage Templates","Beheer sjablonen"
"Name","Naam"
"New Options Template","Nieuwe opties-sjabloon"
"New Template","Nieuw sjabloon"
"None","Geen"
"Options","Opties"
"Options Information","Opties informatie"
"Options do not exist","Opties bestaan niet"
"Options were successfully deleted","Opties zijn succesvol verwijderd"
"Options were successfully saved","Opties zijn succesvol opgeslagen"
"Please select Option(s)","Selecteer optie(s) a.u.b."
"Predefined Option:","Voorgedefinieerde optie:"
"Predefined Options","Voorgedefinieerde opties"
"Price","Prijs"
"Product Options","Productopties"
"Products","Producten"
"Qnty Input","Aantal-input"
"Qty","Aantal"
"SKU","Artikelnummer"
"Save","Opslaan"
"Save And Continue Edit","Opslaan en verder bewerken"
"Select All","Alles selecteren"
"Select Children","Selecteer onderliggende"
"Select Predefined Options and Save the product to apply options or <a href=""%s"" target=""_blank"">click here to define</a>","Selecteer voorgedefinieerde opties en sla het product op om deze toe te passen of <a href=""%s"" target=""_blank"">klik hier om te definieren</a>"
"Select Visible","Alle zichtbare selecteren"
"Show Qty per Option in Cart","Toon Aantal per optie in winkelwagen"
"Some options are not available for your customer group","Sommige opties zijn niet beschikbaar voor uw klantgroep."
"Some options are not available for your customer group. Please, edit product ""%s""","Sommige opties zijn niet beschikbaar voor uw klantgroep. Wijzig het product a.u.b. ""%s"""
"Status","Status"
"There are no Options","Er zijn gene opties"
"Title","Titel"
"Total of %d record(s) were successfully deleted","Een totaal van %d rijen zijn succesvol verwijderd"
"Total of %d record(s) were successfully updated","Een totaal van %d rijen zijn succesvol bijgewerkt"
"Type","Soort"
"Unable to find Options to save","Er kunnen geen opties gevonden worden om op te slaan"
"Unselect All","De-selecteer allen"
"Unselect Visible","De-selecteer zichtbare"
"Visibility","Zichtbaarheid"
