"%s","%s"
"%s role is a special one and can\'t be changed.","%s is een systeemrol en kan niet gewijzigd worden."
"%s role is a special one and can\'t be deleted.","%s is een systeemrol en kan niet verwijderd worden."
"%s role is protected.","%s rol is beschermd."
"ACL Attribute Rules","ACL attribuutregels"
"ACL Attributes Information","Informatie attributen toegangscontrolelijst (ACL)"
"Add","Toevoegen"
"Add Admin Role","Nieuwe beheerdersrol"
"Add New Role","Nieuwe rol"
"Address Type","Adrestype"
"Admin","Beheerder"
"Allow","Toestaan"
"An error occurred while deleting the role.","Er ging iets fout bij het verwijderen van de rol."
"An error occurred while saving attribute rules.","Er ging iets fout bij het opslaan van attribuutregels."
"An error occurred while saving role.","Er ging iets fout tijdens het opslaan van de rol."
"Api Rules Information","Informatie over API regels"
"Assigned","Toegewezen"
"Associate to Website","Associeer met website"
"Attribute Rules Information","Attribuutregel informatie"
"Attribute Set","Attributenset"
"Attributes","Attributen"
"Automatically Return Credit Memo Item to Stock","Automatisch voorraadtoename bij creditnota"
"Back","Terug"
"Backorders","Naleveringen"
"Base Currency","Basisvaluta"
"Base Customer Balance","Basis balans klant account"
"Base Discount","Standaardkorting"
"Base Discount Amount","Standaardkorting waarde"
"Base Item Subtotal","Product subtotaal"
"Base Item Subtotal Including Tax","Product subtotaal inclusief BTW"
"Base Original Price","Oorspronkelijke prijs"
"Base Price","Prijs basis"
"Base Price Including Tax","Prijs inclusief BTW"
"Base Shipping","Verzendkosten"
"Base Shipping Discount","Korting op verzendkosten"
"Base Shipping Tax","Belasting op verzendkosten"
"Base Subtotal","Subtotaal"
"Base Subtotal Including Tax","Subtotaal inclusief BTW"
"Base Tax Amount","Belastingtoeslag"
"Base Total Due","Totaal nog te voldoen"
"Base Total Paid","Totaal reeds betaald"
"Base Total Refunded","Bedrag restitutie"
"Buy Now URL","'Koop nu!' URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan als meerdere verpakkingseenheden verzonden worden"
"Canceled Qty","Aantal geannuleerd "
"Catalog","Productcatalogus"
"Catalog Product","Catalogus product"
"CatalogInventory","CatalogusVoorraad"
"Category ID","Categorie-id"
"City","Plaats"
"Company","Bedrijf"
"Country","Land"
"Coupon Code","Waardebon- of kortingscode"
"Create","Aanmaken"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Created From","Gemaakt vanaf"
"Customer","Klant"
"Customer Address","Klantadres"
"Customer Address ID","Klantadreskenmerk"
"Customer Balance","Balans van de account"
"Customer First Name","Klant voornaam"
"Customer ID","Klantnummer"
"Customer Last Name","Klant achternaam"
"Customer Middle Name","Klantnaam tussenvoegsel"
"Customer Prefix","Klantnaam voorvoegsel"
"Customer Suffix","Klantnaam achtervoegsel"
"Default Image","Standaard afbeelding"
"Delete","Verwijder"
"Deny","Afwijzen"
"Disable automatic group change based on VAT ID","Uitschakelen van op BTW gebasseerde klantgroep wisselen"
"Discount","Korting"
"Discount Amount","Kortingsbedrag"
"Discount Description","Omschrijving van de korting"
"Edit","Bewerk"
"Edit %s ACL attribute rules","Bewerk %s toegangscontrolelijst attribuutregels"
"Edit Role","Bewerk rol"
"Edit attribute rules for %s Role","Bewerk attribuutregels voor %s rol"
"Email","E-mail"
"Enable Qty Increments","Inschakelen hoeveelheid toename"
"Exclude","Uitsluiten"
"File Content","Bestandsinhoud"
"File MIME Type","MIME-bestand"
"File Name","Bestandsnaam"
"Final Price With Tax","Eindprijs met BTW"
"Final Price Without Tax","Eindprijs zonder BTW"
"First Name","Voornaam"
"Gift Message","Persoonlijke boodschap"
"Grand Total","Totaalbedrag"
"Grand Total to Be Charged","Totaal bedrag aanslag"
"Group","Groep"
"Guest","Gastgebruiker"
"Has Custom Options","Heeft maatwerk keuzemogelijkheden"
"ID","Id"
"Inventory Data","Voorraadgegevens"
"Invoiced Qty","Aantal gefactureerd"
"Is Confirmed","Is bevestigd"
"Is Default Billing Address","Is standaard factuuradres"
"Is Default Shipping Address","Is standaard afleveradres"
"Item ID","Bestelregel id"
"Item Subtotal","Regel subtotaal"
"Item Subtotal Including Tax","Regel subtotaal inclusief BTW"
"Label","Label (Alt-tag)"
"Last Logged In","Laatste keer aangemeld"
"Last Name","Achternaam"
"Low Stock Date","Datum laag voorraadpeil"
"Manage Stock","Voorraadbeheer"
"Maximum Qty Allowed in Shopping Cart","Bovengrens toegestane hoeveelheid winkelwagen"
"Minimum Qty Allowed in Shopping Cart","Ondergrens toegestane hoeveelheid winkelwagen"
"New Role","Nieuwe rol"
"Notify for Quantity Below","Melding bij voorraadniveau onder"
"OAuth","OAuth"
"Order","Bestelling"
"Order Addresses","Bestelling adressen"
"Order Comments","Bestelling opmerkingen"
"Order Currency","Bestelling valuta"
"Order Date","Besteldatum"
"Order ID","Bestelnummer"
"Order ID (internal)","Kenmerk bestelling (intern)"
"Order Item ID","Bestelling productkenmerk"
"Order Items","Orderregels"
"Order Status","Bestelling status"
"Ordered Qty","Bestelde hoeveelheid"
"Orders","Bestellingen"
"Original Price","Oorspronkelijke prijs"
"Parent Order Item ID","Hoofdbestelling orderregel kenmerk"
"Payment Method","Betaalmethode"
"Phone Number","Telefoonnummer"
"Placed from IP","Geplaatst vanaf IP adres"
"Please enter a valid number in ""max_sale_qty"" field","Geef een geldig nummer in het ""max_sale_qty"" veld op"
"Please enter a valid number in ""min_qty"" field","Geef een geldig nummer in het ""min_qty"" veld op"
"Please enter a valid number in ""min_sale_qty"" field","Geef een geldig nummer in het ""min_sale_qty"" veld op"
"Please enter a valid number in ""notify_stock_qty"" field","Geef een geldig nummer in het ""notify_stock_qty"" veld op"
"Please use numbers only in ""category_id"" field.","Alleen cijfers gebruiken bij ""category_id"" veld."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Gebruik alleen cijfers in het ""qty_increments"" veld. Vermijd spaties en andere tekens zoals punten en komma's."
"Position","Positie"
"Price","Prijs"
"Price Including Tax","Prijs inclusief BTW"
"Product","Artikel"
"Product Category","Productcategorie"
"Product ID","Productsleutel"
"Product Image","Productafbeelding"
"Product Type","Producttype"
"Product URL","Product URL adres"
"Product Website","Product website"
"Product and Custom Options Name","Product en maatwerkopties naam"
"Qty","Hoeveelheid"
"Qty Increments","Hoeveelheid toename stappen"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Qty for Item's Status to Become Out of Stock","Voorraadpeil productmelding 'niet meer op voorraad'"
"REST - Attributes","REST - Attributen"
"REST - Roles","REST - Rollen"
"REST ACL Attributes","REST ACL attributen"
"REST Attributes","REST attributen"
"REST Role","REST rol"
"REST Roles","REST rollen"
"REST Roles Information","Informatie over REST rollen"
"Read","Lees"
"Refunded Qty","Hoeveelheid restitutie"
"Regular Price With Tax","Normale prijs met BTW"
"Regular Price Without Tax","Normale prijs zonder BTW"
"Rest Roles","REST rollen"
"Retrieve","Terughalen"
"Role ""%s"" no longer exists","Rol ""%s"" bestaat niet langer"
"Role ""%s"" not found.","Rol ""%s"" niet gevonden."
"Role API Resources","Rol API bronnen"
"Role Info","Rol info"
"Role Information","Rol informatie"
"Role Name","Rol naam"
"Role Users","Rol gebruikers"
"Role has been deleted.","Rol is verwijderd."
"Roles","Rollen"
"SKU","Artikelnummer (SKU)"
"Salability Status","Stabiliteit"
"Sales","Verkoop"
"Save","Opslaan"
"Shipped Qty","Verzonden hoeveelheid"
"Shipping Amount","Verzendkosten"
"Shipping Discount","Korting op verzendkosten"
"Shipping Including Tax","Verzending inclusief BTW"
"Shipping Method","Verzendwijze"
"Shipping Tax","BTW op verzendkosten"
"State","Provincie"
"Stock Availability","Voorraad beschikbaarheid"
"Stock ID","Voorraadkenmerk"
"Stock Item","Voorraadonderdeel"
"Stock Status","Voorraadtoestand"
"Store Currency to Order Currency Rate","Wisselkoers winkelvaluta  -> valuta bestelling "
"Store Name","Winkel"
"Street","Straat"
"Subtotal","Subtotaal"
"Subtotal Including Tax","Subtotaal inclusief BTW"
"System","Systeem"
"Tax Amount","BTW bedrag"
"Tax Name","Naam belasting"
"Tax Percent","Percentage belasting"
"Tax Rate","BTW-tarief"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Het ""enable_qty_increments"" veld moet 0 of 1 zijn."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Het ""is_decimal_divided"" veld moet 0 of 1 zijn."
"The ""is_in_stock"" field must be set to 0 or 1.","Het ""is_in_stock"" veld moet 0 of 1 zijn."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Het ""is_qty_decimal"" veld moet 0 of 1 zijn."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Het ""is_qty_decimal"" veld moet 0 of 1 zijn."
"The ""manage_stock"" field must be set to 0 or 1.","Het ""manage_stock"" veld moet 0 of 1 zijn."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Het ""stock_status_changed_auto"" veld moet 0 of 1 zijn."
"The ""use_config_backorders"" field must be set to 0 or 1.","Het ""use_config_backorders"" veld moet 0 of 1 zijn."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Het ""use_config_enable_qty_inc"" veld moet 0 of 1 zijn."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Het ""use_config_manage_stock"" veld moet 0 of 1 zijn."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Het ""use_config_max_sale_qty"" veld moet 0 of 1 zijn."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Het ""use_config_min_qty"" veld moet 0 of 1 zijn."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Het ""use_config_min_sale_qty"" veld moet 0 of 1 zijn."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Het ""use_config_notify_stock_qty"" veld moet 0 of 1 zijn."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Het ""use_config_qty_increments"" veld moet 0 of 1 zijn."
"The attribute rules were saved.","De attribuutrollen zijn opgeslagen"
"The role has been saved.","De rol is opgeslagen"
"The role is a special one and not for assigning it to admin users.","Deze systeemrol is niet om aan beheerders toe te wijzen."
"Total Due","Totaal nog te voldoen"
"Total Paid","Totaal reeds betaald"
"Total Refunded","Totaal restitutie"
"Total Reviews Count","Aantal beoordelingen"
"Type","Type"
"URL","URL"
"Update","Bijwerken"
"Use Config Settings for Allow Gift Message","Gebruik standaard instellingen voor 'Toestaan persoonlijke boodschap'"
"Use Config Settings for Allow Gift Wrapping","Gebruik standaard instellingen voor 'Toestaan geschenkverpakking'"
"Use Config Settings for Backorders","Gebruik standaard instellingen voor 'Naleveringen'"
"Use Config Settings for Enable Qty Increments","Gebruik standaard instellingen voor 'Inschakelen hoeveelheid toename'"
"Use Config Settings for Manage Stock","Gebruik standaard instellingen voor 'Beheer voorraad'"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Gebruik standaard instellingen voor 'Bovengrens hoeveelheid toegestaan winkelwagen'"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Gebruik standaard instellingen voor 'Ondergrens hoeveelheid verreist in winkelwagen'"
"Use Config Settings for Notify for Quantity Below","Gebruik standaard instellingen voor 'Melding voorraadniveau onder hoeveelheid'"
"Use Config Settings for Qty Increments","Gebruik standaard instellingen voor 'Hoeveelheid toename'"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Gebruik standaard instellingen voor 'Voorraadniveau tot product 'Niet meer op voorraad' is"
"User Type","Type gebruiker"
"User type ""%s"" no longer exists","Soort gebruiker ""%s"" bestaat niet langer"
"User type ""%s"" not found.","Soort gebruiker ""%s"" niet gevonden."
"Web Services","Webservices"
"Web services","Webservices"
"Write","Schrijf"
"ZIP/Postal Code","Postcode"
"%s role is a special one and can't be changed.","%s is een systeemrol en kan niet worden gewijzigd."
"%s role is a special one and can't be deleted.","%s is een systeemrol en kan niet worden verwijderd."
"%s role is protected.","De rol %s is beveiligd."
