"Account holder","Rekeninghouder"
"Account info","Rekening informatie"
"Account number1","Rekeningnummer"
"BIC","BIC"
"Bank Prepayment","Vooruitbetaling per bank"
"Bank name","Banknaam"
"Custom text","Eigen tekst"
"For international transfers please use also following data","Voor internationale overschrijvingen gebruik a.u.b. de volgende gegevens"
"IBAN","IBAN"
"International","Internationaal"
"Pay within X days","Betalen binnen X dagen"
"Please transfer the money to the following bank account","Schrijf het bedrag a.u.b. over naar de volgende rekening"
"Please transfer the money within %s days to the following bank account","Schrijf het bedrag a.u.b. binnen %s dagen over naar de volgende rekening"
"Sort code","Sort code (wordt niet gebruikt in Nederland)"
