"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d catalogus prijsregels geannuleerd die op attribuut ""%s"" gebaseerd waren."
"Actions","Acties"
"Active","Actief"
"Add New Rule","Nieuwe regel"
"An error occurred while deleting the rule. Please review the log and try again.","Er is een fout opgetreden bij het verwijderen van deze regel. Probeer het nogmaals."
"An error occurred while saving the rule data. Please review the log and try again.","Er is een fout opgetreden bij het opslaan van deze regel. Probeer het nogmaals."
"Apply","Toepassen"
"Apply Rules","Regels toepassen"
"Attribute Set","Attributenset"
"By Fixed Amount","Tegen vast bedrag"
"By Percentage of the Original Price","Op percentage van de oorspronkelijke prijs"
"Catalog","Catalogus"
"Catalog Price Rule","Catalogusprijsregel"
"Catalog Price Rules","Catalogusprijsregels"
"Category","Categorie"
"Conditions","Voorwaarden"
"Conditions (leave blank for all products)","Voorwaarden (laat leeg voor alle producten)"
"Conditions Combination","Combinatie van voorwaarden"
"Customer Groups","Klantgroepen"
"Date Expire","Verloopdatum"
"Date From","Datum van"
"Date Start","Aanvangsdatum"
"Date To","Datum tot"
"Description","Beschrijving"
"Discount Amount","Kortingsbedrag"
"Edit Rule","Bewerk regel"
"Edit Rule '%s'","Bewerk regel ‘%s’"
"Enable Discount to Subproducts","Inschakelen korting op subproducten"
"From Date","Vanaf datum"
"General Information","Algemene informatie"
"ID","Id"
"Inactive","Inactief"
"New Rule","Nieuwe regel"
"No","Nee"
"Options","Opties"
"Priority","Prioriteit"
"Product Attribute","Productattribuut"
"Promotions","Promotionele acties"
"Rule Information","Regelinformatie"
"Rule Name","Naam regel"
"Save and Apply","Opslaan en toepassen"
"Save and Continue Edit","Opslaan en verder bewerken"
"Status","Status"
"Stop Further Rules Processing","Stop verder uitvoeren regels"
"The rule has been deleted.","De regel is verwijderd."
"The rule has been saved.","De regel is opgeslagen."
"The rules have been applied.","De regels zijn toegepast."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Er zijn regels gewijzigd maar nog niet naar medium opgeslagen. Bevestig deze regels om direct het resultaat te zien."
"This rule no longer exists.","Deze regel bestaat niet langer."
"To Date","Tot datum"
"To Fixed Amount","Tot vast bedrag"
"To Percentage of the Original Price","Tot percentage van de oorspronkeljke prijs"
"Unable to apply rules.","Niet in staat regels toe te passen."
"Unable to find a rule to delete.","Geen regels om te verwijderen gevonden."
"Update Prices Using the Following Information","Bijwerken prijzen met gebruik van de volgende informatie"
"Update product's %s %s: %s","Bijwerken product %s %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Onjuiste regel opgegeven"
"Yes","Ja"
"Expiration Date","Verloopdatum"
"Start Date","Aanvangsdatum"
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Er zijn regels gewijzigd maar nog niet naar medium opgeslagen. Alleen gebruikers met exclusieve toegangsrechten kunnen deze regels toepassen."
"Type","Soort"
