"%s and greater","%s en meer"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artikel(en)</strong> gevonden met de volgende zoekopdracht"
"Advanced Search","Geavanceerd zoeken"
"Advanced Search Form","Zoeken > Geavanceerd zoekformulier"
"Advanced Search Result","Zoeken > Geavanceerde zoekresultaten"
"All","Alle"
"Applies for ""Like"" search type only.","Alleen van toepassing voor ""Like"" zoekopdrachten."
"Apply Layered Navigation if Search Results are Less Than","Gelaagde navigatie gebruiken bij minder zoekresultaten dan"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribuutinstelling wijziging in relatie tot de zoekindex. Voer het proces '<a href=""%s"">Vernieuwen zoekindex</a>' uit."
"Autogenerated Site Map","Automatische sitemap"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Catalog Search","Catalogus doorzoeken"
"Catalog Search Index","Catalogus zoekindex"
"Don't see what you're looking for?","Het niet kunnen vinden?"
"Enter ""0"" to enable layered navigation for any number of results.","Voer ""0"" in om gelaagde navigatie voor alle zoekresultaten te activeren."
"Go","Ga"
"Go to Home Page","Ga naar voorpagina"
"Grid","Raster"
"Home","Voorpagina"
"List","Lijst"
"Maximum Query Length","Maximum zoekopdracht lengte"
"Maximum Query Words Count","Maximum zoekopdracht woorden tellen"
"Maximum Search query length is %s. Your query was cut.","Maximale zoekopdracht lengte is %s. Er is een stuk van de zoekopdracht afgeknipt."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum aantal woorden is %1$s. De zoekopdracht is afgeknipt na: %2$s."
"Minimal Query Length","Minimale lengte zoekopdracht"
"Minimum Search query length is %s","Minimum zoekopdracht lengte is %s"
"Modify your search","Bewerk zoekopdracht"
"No","Nee"
"No items were found using the following search criteria.","Er zijn geen op basis van de zoekopdracht geen overeenkomstige resulaten gevonden."
"Please specify at least one search term.","Geef tenminste een (1) zoekterm op."
"Popular Search Terms","Populaire zoektermen"
"Quick Search Form","Formulier snel zoeken"
"Rebuild Catalog product fulltext search index","Vernieuwen 'volledige tekst'-zoekindex catalogusproducten"
"Relevance","Relevantie"
"Results","Resultaten"
"Search Settings","Zoekinstellingen"
"Search Terms","Zoektermen"
"Search Type","Zoektype"
"Search entire store here...","Doorzoek hier de hele winkel..."
"Search results for '%s'","Zoekresultaten voor ‘%s’"
"Search results for: '%s'","Zoekresultaten voor ‘%s’"
"Search:","Zoek:"
"Search","Zoeken"
"Specified date is invalid.","Opgegeven datum is ongeldig."
"Subscribe to Feed","Abonneer op RSS nieuwsfeed"
"There are no search terms available.","Momenteel zijn er geen gezochte termen beschikbaar."
"Yes","Ja"
"Your search returns no results.","De zoekactie had geen resultaat"
"up to %s","tot %s"
