"Collected Files Count","Verzamelde bestanden teller"
"Compilation","Compilatie"
"Compilation State","Compilatietoestand"
"Compilation error","Compilatiefout"
"Compiled","Gecompileerd"
"Compiled Scopes Count","Gecompileerde bereiken teller"
"Compiler Status","Compilatietoestand"
"Compiler include path is disabled.","Compilatie pad is uitgeschakeld"
"Compiler include path is enabled.","Compilatie insluiten pad is ingeschakeld"
"Directory ""%s"" must be writeable","Map ""%s"" moet schrijfbaar zijn"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"File ""%s"" must be writeable","Bestand ""%s"" moet schrijfbaar zijn"
"Not Compiled","Niet gecompileerd"
"Run Compilation Process","Uitvoeren compilatieproces"
"Scopes Compilation Settings","Bereiken compilatie instellingen"
"System","Systeem"
"The compilation has completed.","De compilatie is voltooid."
"Tools","Extra"
