"1.5.0.0 & later","1.5.0.0 & later"
"Action","Actie"
"Add Author","Auteur toevoegen"
"Add Contents Path","Inhoudspad toevoegen"
"Add PHP Extension dependency","Afhankelijkheid van PHP-extensie toevoegen"
"Add Package dependency","Pakketafhankelijkheid toevoegen"
"Add files","Bestanden toevoegen"
"Authors","Auteurs"
"Channel","Kanaal"
"Contents","Inhoud"
"Create Extension Package","Uitbreidingspakket maken"
"Dependencies","Afhankelijkheden"
"Description","Beschrijving"
"Edit Extension","Uitbreiding bewerken"
"Email","E-mail"
"Extension","Uitbreiding"
"Extensions","Uitbreidingen"
"Failed to create the package.","Het pakket kon niet gemaakt worden."
"Failed to load the package data.","De pakketgegevens konden niet geladen worden."
"Failed to save the package.","Het pakket kon niet opgeslagen worden."
"Files","Bestanden"
"Folder","Map"
"Ignore","Negeren"
"Include","Insluiten"
"License","Licentie"
"License URI","Licentie URI"
"Load Local Package","Lokaal pakket openen"
"Load local Package","Lokaal pakket openen"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento ConnectManager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Naam"
"New Extension","Nieuwe module"
"PHP Version","PHP Versie"
"Package","Pakket"
"Package Extensions","Pakket uitbreiding"
"Package File Name","Bestandsnaam van Pakket"
"Package Info","Pakketinfo"
"Packages","Pakketten"
"Path","Pad"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Uitgave-informatie"
"Remove","Verwijderen"
"Save As...","Opslaan als..."
"Save Data and Create Package","Sla gegevens op en maak pakket"
"Save package with custom package file name","Sla pakket op onder aangepaste bestandsnaam"
"Summary","Samenvatting"
"Supported releases","Ondersteunde versies"
"System","Systeem"
"Target","Doel"
"The package %s data has been loaded.","De gegevens van pakket %s zijn geladen."
"The package data has been saved.","De pakketgegevens zijn opgeslagen."
"There was a problem saving package data","Er was een probleem bij het opslaan van de pakketgegevens"
"Type","Berekening verzendkosten"
"User","Gebruiker"
