"* Required Fields","* Verplichte velden"
"Comment","Opmerking"
"Contact Form","Contactformulier"
"Contact Information","Contactgegevens"
"Contact Us","Mail ons"
"Contact Us Form","Contactformulier"
"Contacts","Contacten"
"Contacts Section","Sectie Contacten"
"Email","E-mail"
"Email Options","E-mail opties"
"Email Sender","E-mail afzender"
"Email Template","E-mail sjabloon"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Name","Naam"
"Send Emails To","E-mails versturen aan"
"Submit","Verstuur"
"Telephone","Telefoonnummer"
"Unable to submit your request. Please, try again later","Uw verzoek kan niet verstuurd worden. Probeer het later opnieuw"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Uw vraag is verzonden en zal z.s.m. beantwoord worden. Bedankt voor uw bericht."
