"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Acties XML is niet geldig"
"An error occurred while opening file: ""%s"".","Een fout is opgetreden tijdens het openen van bestand: ""%s""."
"Could not load file: ""%s"".","Kan bestand ""%s"" niet laden"
"Could not save file: %s.","Kan bestand niet opslaan: %s."
"Declared adapter %s was not found.","Opgegeven adapter %s niet gevonden"
"Destination folder ""%s"" is not a directory.","Doelmap ""%s"" is geen directory"
"Destination folder ""%s"" is not writable.","Doelmap ""%s"" is niet schrijfbaar"
"Done","Klaar"
"Dry run set, stopping execution.","Proefdraaien ingesteld. Uitvoering wordt gestopt."
"ETA: %s","Verwachte aankomsttijd: %s"
"Error in field mapping: field list for mapping is not defined.","Fout in het koppelen van velden: lijst met velden om te koppelen is niet opgegeven."
"File ""%s"" does not exist.","Bestand ""%s"" bestaat niet."
"Found %d rows.","%d rijen gevonden."
"Less than a minute","Minder dan een minuut"
"Loaded successfully: ""%s"".","Succesvol geladen: ""%s""."
"Memory Used: %s","Geheugen verbruikt: %s"
"Method ""%s"" not defined in adapter %s.","Methode ""%s"" staat niet gedefinieerd in adapter %s."
"Method ""%s"" was not defined in adapter %s.","Methode ""%s"" was niet gedefinieerd in adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Geef eerst een ""adapter-"" en ""method-""knop op"
"Processed records: %s","%s records verwerkt"
"Profile with the same name already exists.","Profiel met dezelfde naam bestaat al."
"Saved successfully: ""%s"" [%d byte(s)].","Succesvol opgeslagen: %s [%d byte(s)]."
"Sheet 1","Blad 1"
"Skip undefined row.","Overslaan onvermelde rij."
"Starting %s :: %s","Beginnen met %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","De map ""%s"" bestaat niet of het aanmaken ervan is onmogelijk."
"Total records: %s","Totaal records: %s"
"hour","uur"
"hours","uren"
"minute","minuut"
"minutes","minuten"
