"""%s"" contains not only digit characters.","""%s"" bevat niet enkel numerieke karakters."
"""%s"" does not fit the entered date format.","""%s"" past niet in het ingevulde datum-formaat."
"""%s"" exceeds the allowed file size.","""%s"" overschrijdt de toegestane bestandsgrootte."
"""%s"" exceeds the allowed length.","""%s"" overschrijdt de toegestande lengte."
"""%s"" has not only alphabetic and digit characters.","""%s"" heeft niet alleen alfabetische en numerieke karakters."
"""%s"" has not only alphabetic characters.","""%s"" heeft niet alleen alfabetische karakters."
"""%s"" height exceeds allowed value of %s px.","""%s"" hoogte overschrijdt toegestane waarde van %s px."
"""%s"" invalid type entered.","""%s"" ongeldig type ingevoerd."
"""%s"" is a required value.","""%s"" is verplicht."
"""%s"" is an empty string.","""%s"" is een lege string."
"""%s"" is not a valid URL.","""%s"" is geen geldige URL."
"""%s"" is not a valid date.","""%s"" is geen geldige datum."
"""%s"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%s"" is not a valid file","""%s"" is geen geldig bestand"
"""%s"" is not a valid file extension.","""%s"" is geen geldige bestandsextentie."
"""%s"" is not a valid file.","""%s"" is geen geldig bestand."
"""%s"" is not a valid hostname.","""%s"" is geen geldige hostname."
"""%s"" is not a valid image format","""%s"" is geen geldig afbeelding-formaat"
"""%s"" length must be equal or greater than %s characters.","""%s"" lengte moet minimaal %s karakters zijn."
"""%s"" length must be equal or less than %s characters.","""%s"" length must be equal or less than %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" breedte overschrijd toegestande waarde van %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' lijkt een DNS-hostname te zijn, maar kan TLD extraheren."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' lijkt een DNS-hostname te zijn, maar TLD kan niet gevonden worden in de lijst met bekende TLD's."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' lijkt een DNS-hostname te zijn, maar matcht niet met hostname schema voor TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' lijkt een DNS-hostname te zijn, maar bevat een streepje (-) op een verkeerde plek."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' lijkt een lokale netwerknaam te zijn, maar lokale netwerknamen zijn niet toegestaan."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' lijkt een IP-adres te zijn, maar IP-adressen zijn niet toegestaan"
"'%value%' does not appear to be a valid URI hostname","'%value%' is geen geldige URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' lijkt geen geldige netwerknaam te zijn."
"'%value%' does not match the expected structure for a DNS hostname","'%value%' matcht niet de verwachte structuur voor een DNS-hostname"
"A joint field with this alias (%s) is already declared","Een joint-field met deze alias (%s) is al gedeclareerd."
"Add Option","Voeg optie toe"
"An error occurred while loading a record, aborting. Error: %s","Er deed zich een fout voor tijdens het laden van een record, waardoor de bewerking werd afgebroken"
"out: %s",""
"An error occurred while loading the collection, aborting. Error: %s","Er deed zich een fout voor tijdens het laden van de collectie, waardoor de bewerking werd afgebroken. Fout: %s"
"An error occurred while saving a record, aborting. Error: ","Er is een fout opgetreden bij het opslaan van een record, wordt geannuleerd. Error:"
"Attempt to add an invalid object","Poging om een ongeldig object toe te voegen"
"Attribute '%s' used in configurable products","Attribuut '%s' wordt gebruikt in configureerbare producten."
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Attribute Properties","Attribuuteigenschappen"
"Attribute object is undefined","Attribuut object is niet opgegeven"
"Attribute set with the ""%s"" name already exists.","Attribuutset met de naam ""%s"" bestaat al."
"Attribute with the same code","Attribuut met dezelfde code"
"Can\'t create table: %s","Kan tabel niet aanmaken: %s"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Current module EAV entity is undefined","Huidige module EAV entiteit is ongedefinieerd"
"Current module pathname is undefined","Huidige module padnaam is ongedefinieerd."
"Data integrity: No header row found for attribute","Data-integriteit: Geen header-rij gevonden voor attribuut"
"Date","Datum"
"Decimal Number","Decimaal Nummer"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Default Product Listing Sort by not exists on Available Product Listing Sort b"
"tandaard ´Sorteren op´ in Productlijst bestaat niet in Beschikbare Productlijst Sortering",""
"Default Value","Standaard waarde"
"Default option value is not defined","Waarde van standaard-optie is niet gedefinieerd"
"Delete","Verwijderen"
"Dropdown","Dropdown"
"Email","E-mail"
"Entity collection expected.","Entiteitencollectie verwacht."
"Entity collections expected.","Entiteitencollectie verwacht."
"Entity instance is not defined","Entiteit-instantie niet gedefinieerd"
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"Entity object is undefined","Entiteit is niet opgegeven"
"Failed to load node %s from config","Niet gelukt op node %s te laden vanuit configuratie."
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Voor intern gebruik. Moet uniek zijn zonder spaties. Maximale lengte van attribuut-code moet minder zijn dan %s karakters."
"Form Element with the same attribute","Form-element met dezelfde attribuut"
"Form Fieldset with the same code","Form-Fieldset met dezelfde code"
"Form Type with the same code","Form-type met dezelfde code"
"Form code is not defined","Form code is niet opgegeven"
"Frontend label is not defined","Frontend-label is niet gedefinieerd"
"Input Validation for Store Owner","Invoervalidatie voor winkeleigenaar"
"Integer Number","Integer nummer"
"Invalid EAV attribute.","Ongeldigde EAV-attribuut."
"Invalid alias, already exists in joint attributes","Ongeldige alias, bestaat al in gejoinde attributen"
"Invalid attribute name: %s","Ongeldige attribuutnaam: %s"
"Invalid attribute requested: %s","Ongeldig attribuut opgevraagd: %s"
"Invalid attribute type","Ongeldig attribuuttype"
"Invalid character encountered in increment ID: %s","Ongeldig teken in oplopend ID: %s"
"Invalid date","Ongeldige datum"
"Invalid default date","Ongeldige standaard datum"
"Invalid default decimal value","Ongeldige standaard decimale waarde"
"Invalid entity specified","Ongeldige entiteit opgegeven"
"Invalid entity supplied.","Ongeldige entiteit opgegeven."
"Invalid entity supplied: %s","Ongeldige entiteit opgegeven: %s"
"Invalid entity type","Ongeldig entiteittype"
"Invalid entity_id, skipping the record.","Ongeldige entity-id, record wordt overgeslagen."
"Invalid entity_type specified: %s","Ongeldig entity-type opgegeven: %s"
"Invalid foreign key","Ongeldige referentiesleutel"
"Invalid form type.","Ongeldig formuliertype."
"Invalid joint fields","Invalid joint fields"
"Invalid store specified","Ongeldige winkel opgegeven"
"Invalid type given. String expected","Invalid type given. String expected"
"Joined field with this alias is already declared","Gekoppeld veld met deze alias bestaat al"
"Joint field or attribute expression with this alias is already declared","Joint field or attribute expression with this alias is already declared"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) of cijfers (0-9)"
"Loaded %d records","%d records geladen"
