"* Select shipping method","* Kies een verzendwijze"
"2Day","2 dagen"
"2nd Day Air","24-uurs zending (luchtpost)"
"2nd Day Air AM","48-uurs zending (luchtpost)"
"3 Day Select","72-uurs zending (selectvracht)"
"<br />Warning: <strong>%s</strong><br />","<br />Waarschuwing: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Waarschuwing!</strong> Deze optie schakelt de verzendkostenberekening van de verzender uit."
"A virtual item to reflect the discount total","Een virtueel artikel om de korting te verrekenen"
"A virtual item to reflect the tax total","Een virtueel artikel om de belasting te verrekenen"
"AVS Status: %s","AVS (Address Verification Service) status: %s"
"Add Shipping Method","Toevoegen verzendwijze"
"Allowed Methods","Toegestane verzendwijzen"
"Amount: %s","Bedrag: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch aangemaakt vanaf GoogleCheckout Charge"
"Buyer Account Age: %s days","Leeftijd klantaccount: %s dagen"
"CC Partial: xxxx-%s","CC Gedeeltelijk: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Transporteur berekende methodes"
"Cart Discount","Winkelwagen korting"
"Checkout Image Style","Kassa afbeeldingsstijl"
"Commercial","Commercieel"
"Continue Shopping URL","Verwijzing URL 'Verder winkelen'"
"Credit memo has been created automatically","Creditfactuur is automatisch aangemaakt"
"Debug","Foutopsporing"
"Default Package Height (in)","Standaard hoogte pakket (cm)"
"Default Package Length (in)","Standaard lengte pakket (cm)"
"Default Package Width (in)","Standaard breedte pakket (cm)"
"Default Price for Methods","Standaardprijs voor verzendwijze"
"Default price:","Standaardprijs:"
"Delivery Address Category","Categorie afleveradres"
"Delivery Schedule","Bezorgschema"
"Description-based delivery","Omschrijvinggebaseerde bezorging"
"Disable Default Tax Tables","Uitschakelen standaard BTW tabellen"
"Discount Tax","BTW korting"
"Eligible for Protection: %s","In aanmerking voor bescherming: %s"
"Email delivery","Bezorging per e-mail"
"Enable","Inschakelen"
"Enable Carrier Calculated","Inschakelen transporteur berekening"
"Enable Digital Delivery","Inschakelen digitaal afleveren"
"Enable Flat Rate","Inschakelen plat tarief"
"Enable Merchant Calculated","Inschakelen handelaar berekening"
"Enable this if your checkout request is too big and being cut off.","Activeer dit als de kassa aanvraag te groot is en afgekapt wordt."
"Expiration: %s","Vervaldatum: %s"
"Express Mail","Koerierspost"
"Express Saver","Koerier voordeeltarief"
"FedEx","TNT Post"
"Financial: %s -> %s","Financieel: %s -> %s"
"First Overnight","Nachtzending"
"Free Shipping","Geen verzendkosten"
"Fulfillment: %s -> %s","Voldaan: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Autorisatie:"
"Google Buyer ID: %s","Google Klant Id: %s"
"Google Charge:","Google kosten"
"Google Chargeback:","Google terugvordering:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzenden - Transporteur Berekend"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digitale aflevering"
"Google Checkout Shipping - Flat Rate","Google Checkout Verzenden - Plat tarief"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzenden - Eigen Berekening"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google bestelnummer: %s"
"Google Order Status Change:","Google bestelstatus wijziging:"
"Google Refund:","Google creditering:"
"Google Risk Information:","Google Risico Informatie:"
"Ground","Wegtransport"
"Hide Cart Contents","Verberg winkelwagen inhoud"
"Home Delivery","Bezorgen aan huis"
"IP Address: %s","IP Adres: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Indien geactiveerd, zal de inhoud van de winkelwagen niet getoond worden."
"Inches","Inches"
"Invoice Auto-Created: %s","Factuur automatisch aangemaakt: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Wil de klant marketing e-mails ontvangen: %s"
"Key/URL delivery","Key/URL delivery"
"Large - %s","Groot - %s"
"Latest Charge: %s","Laatste betaling: %s"
"Latest Chargeback: %s","Laatste terugvordering: %s"
"Latest Refund: %s","Laatste creditfactuur: %s"
"Location","Locatie"
"Media Mail","Mediapost"
"Medium - %s","Gemiddeld - %s"
"Merchant ID","Merchant-ID"
"Merchant Key","Merchant sleutel"
"Method","Methode"
"New Order Status","Status nieuwe bestelling"
"Next Day Air","Morgen per luchtpost"
"Next Day Air Early AM","Morgenvroeg per luchtvracht"
"Next Day Air Saver","Volgende dag met besparing"
"No","Nee"
"No Comment","No Comment"
"No Reason","No Reason"
"Optimistic","Optimistisch model"
"Optional, leave empty for home page.","Optioneel, leeg laten voor homepage"
"Order creation error","Order creation error"
"Parcel Post","Pakketpost"
"Pessimistic","Pessimistisch model"
"Priority Mail","Priority Post"
"Priority Overnight","Priority Overnight"
"Rate 1 Amount","Bedrag Tarief 1"
"Rate 1 Ship To Applicable Countries","Tarief 1 Verzend naar geactiveerde landen"
"Rate 1 Ship to Specific Countries","Tarief 1 Verzend naar specifieke landen"
"Rate 1 Title","Titel Tarief 1"
"Rate 2 Amount","Bedrag Tarief 2"
"Rate 2 Ship To Applicable Countries","Tarief 2 Verzend naar geactiveerde landen"
"Rate 2 Ship to Specific Countries","Tarief 2 Verzend naar specifieke landen"
"Rate 2 Title","Titel Tarief 2"
"Rate 3 Amount","Bedrag Tarief 3"
"Rate 3 Ship To Applicable Countries","Tarief 3 Verzend naar geactiveerde landen"
"Rate 3 Ship to Specific Countries","Tarief 3 Verzend naar specifieke landen"
"Rate 3 Title","Titel Tarief 3"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"")."
"Residential","Particulier"
"Sandbox","Sandbox"
"Secure Callback URL","Beveiligde Callback URL"
"Small - %s","Klein - %s"
"Standard Overnight","Standaard nacht"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount"
"Title","Titel"
"Total Chargeback: %s","Totaal terug gevorderd: %s"
"Total Charged: %s","Totaal berekend: %s"
"Total Refunded: %s","Total gecrediteerd: %s"
"Transparent","Transparant"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Unknown Reason","Unknown Reason"
"White Background","Witte achtergrond"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","Binnen enkele seconden wordt de pagina doorverwezen naar Google Checkout"
"GoogleCheckout is not configured","GoogleCheckout is niet geconfigureerd"
