"%s Index process is working now. Please try run this process later.","%s herindexering loopt nu. Wacht en probeer straks opnieuw."
"%s index was rebuilt.","%s index is vernieuwd"
"'%s' Index Process Information","'%s' indexproces-informatie"
"Action","Actie"
"Cannot initialize the indexer process.","Kan niet indexeren"
"Change Index Mode","Modus herindexering veranderen"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Ga naar <a href=""%s"">Beheer cache</a> om de caches te vernieuwen."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Ga naar <a href=""%s"">Beheer indexeringen</a> om de indexeringen opnieuw op te bouwen."
"Delete","Verwijderd"
"Description","Omschrijving"
"Disable","Deactiveer"
"Enable","Activeer"
"General","Algemeen"
"Index","Index"
"Index Description","Indexomschrijving"
"Index Management","Beheer indexen"
"Index Mode","Modus herindexering"
"Index Name","Index naam"
"Index mode","Index modus"
"Indexer code is not defined.","Index code niet opgegeven."
"Indexer model is not defined.","Index model niet opgegeven."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model zou Mage_Index_Model_Indexer_Abstract moeten extenden."
"Manual Update","Handmatig herindexeren"
"Mode","Modus"
"Never","Nooit"
"No","Nee"
"One or more of the Indexes are not up to date:","Indexering moet bijgewerkt worden:"
"Please select Index(es)","Selecteer index(en)"
"Please select Indexes","Selecteer index(en)"
"Process Information","Voortgangsinformatie"
"Processing","Verwerken"
"Ready","Gereed"
"Refresh","Vernieuwen"
"Reindex Data","Nu herindexeren"
"Reindex Required","Indexeren nodig"
"Revoke","Terugtrekken"
"Status","Status"
"System","Systeem"
"The index has been saved.","De index is opgeslagen"
"There was a problem with reindexing process.","Er was een probleem bij het indexeren"
"There was a problem with saving process.","Er was een probleem bij het opslaan"
"Total of %d index(es) have changed index mode.","In totaal %d index(en) zijn aangepast."
"Total of %d index(es) have reindexed data.","In totaal %d index(en) zijn geindexeerd."
"Update Required","Update nodig?"
"Update on Save","Indexeren bij opslaan"
"Updated At","Bijgewerkt op"
"Yes","Ja"
