"(Make sure you keep it in a safe place.)","(Draag zorg voor een veilige opslag.)"
"(Optional. Leave blank for no prefix)","(Optioneel. Leeg laten om geen voorvoegsel te gebruiken)"
"(ver. %s)","(versie %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Extra pad na de basis URL voor beheerder toegang (Admin Panel)."
"Admin Path","Admin pad"
"After successfull installation please click the button below.","Installatie geslaagd? Klik op de onderstaande knop."
"All packages were installed, click 'OK' to continue with installation.","De benodigde software is geïnstalleerd. Klik op OK om verder te gaan."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Eventueel zou de 'Handmatige Downloads en Upgrades' methode uitgeprobeerd kunnen worden."
"Base URL","Basis URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Noteer de encryptiesleutel voordat weer naar de winkel genavigeerd wordt! (Magento gebruikt deze om wachtwoorden, creditcards etc. te versleutelen.)"
"Check out our","Bekijk onze"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Alleen selecteren als het niet mogelijk is om de Veilige-URL automatisch te valideren, bijvoorbeeld wanneer HTTP-authenticatie verplicht is."
"Check this box only if it is not possible to automatically validate the Base URL.","Selecteer dit alleen als het niet mogelijk is om automatisch de basis URL te valideren"
"Choose this if you would like to test frontend and backend functionality.","Kies deze om de functionaliteit van het front-end en back-end te testen."
"Configuration","Configuratie"
"Confirm Password","Bevestig wachtwoord"
"Connection","Verbinding"
"Continue","Ga verder"
"Continue After Manual Download","Ga verder na handmatige download"
"Continue Full Download / SVN Installation","Ga verder met volledige download / SVN installatie"
"Create Admin Account","Maak gebruikersaccount voor beheerder (admin)"
"Currently this is the most stable state available for Magento packages.","Momenteel is dit de meest stabiele toestand beschikbaar voor Magento software pakketten."
"Database","Database"
"Database Connection","Database verbinding"
"Database Name","Database naam"
"Database Name cannot be empty.","Naam database mag niet leeg zijn."
"Database Type","Database type"
"Database connection error.","Database verbindingsfout"
"Database host","Database host"
"Database server does not support the InnoDB storage engine.","Database server ondersteunt het InnoDB opslagsysteem niet."
"Database user name","Database gebruikersnaam"
"Database user password","Database gebruiker wachtwoord"
"Default Currency","Standaard valuta"
"Download","Downloads"
"Download Magento Core Modules and Updates","Download Magento Core modules en laatste wijzigingen"
"Downloading and installing Magento, please wait...","Bezig met downloaden en installeren van Magento. Een moment geduld..."
"Email","E-mail"
"Email Address","E-mailadres"
"Enable Charts","Activeer grafieken"
"Enable this option if you want the charts to be displayed on Dashboard.","Schakel deze optie in om de grafieken in het controlepaneel weer te geven."
"Enable this option only if you have SSL available.","Schakel deze optie slechts alleen in bij beschikbaarheid van SSL."
"Encryption Key","Versleuteling"
"File System","Bestandsysteem"
"First Name","Voornaam"
"Full Download / SVN Installation","Volledige download / SVN installatie"
"Get ready to experience Open-Source eCommerce Evolved.","Ervaar nu de Open Source e-Commerce Evolved"
"Go to Backend","Naar achterzijde (backend)"
"Go to Frontend","Naar voorzijde (frontend)"
"Having trouble installing Magento?","Problemen bij het installeren van Magento?"
"Help Us to Keep Magento Healthy","Help Magento gezond te houden"
"Host","Hostnaam"
"I agree to the above terms and conditions.","Ik ga akkoord met bovenstaande voorwaarden"
"If you are a developer and would like to have the latest public updates, choose this option.","Ontwikkelaar? Selecteer deze optie om de laatste wijzigingen binnen te halen."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Indien PHP als CGI draait, kunnen de PHP-processen onder hetzelfde platform gebruiker draaien als de account gebruikt bij het uploaden van Magento bestanden."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Indien de installatie assistent uitgevoerd wordt om een eerdere Magento download en installatie te hervatten, klik dan hier."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Indien het niet gewenst of mogelijk is om de Magento mappen voor de web server proces (meestal www-data of http gebruiker) schrijfbaar te maken, is het mogelijk PEAR uitvoerbaar bestand in de bronmap van de Magento installatie te gebruiken."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Indien het volledige pakket gedownload of Magento middels SVN geïnstalleerd is, dient de pakketinstallatie en -validatie overgeslagen te worden door op de knop hieronder te klikken."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Wanneer de Magento modules en software van derden vanuit het beheerderspaneel beheerd moeten worden, dient het web server proces (veelal www-data of http gebruiker op het platform host machine) over schrijfrechten tot de mappen en bestanden."
"If your server is running on MS Windows, most probably you will not need to change anything.","Draait de server onder MS Windows dan hoeft hier hoogstwaarschijnlijk niets gewijzigd te worden."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In overige gevallen dienen de Magento bestanden schrijfbaar te zijn (chmod 775 of g+w) voor de gebruiker waaronder de web server draait (veelal www-data of http afhankelijk van de server installatie)."
"Installation","Installatie"
"Installation Guide","Installatiehandleiding"
"Installer does not exist for %s database type","Installer bestaat niet voor databasetype %s"
"Last Name","Achternaam"
"License Agreement","Licentieovereenkomst"
"Locale","Land- en taalinstellingen"
"Locale settings","Instellingen voor land en taal"
