"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' is te lang. Het moet een lengte van %min% symbolen hebben."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' is te kort. Het moet een lengte van %min% tekens te bevatten."
"* Required Fields","* Verplichte velden"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> vraagt toegang tot de account"
"Admin","Beheerder"
"After authorization application will have access to you account.","Na autorisatie zal de applicatie toegang hebben tot de account."
"An error occurred on confirm authorize.","Er is een fout opgetreden bij het bevestigen van autorisatie."
"An error occurred on delete action.","Er is een fout opgetreden bij de verwijderen handeling."
"An error occurred on delete application.","Er is een fout opgetreden bij het verwijderen van de applicatie."
"An error occurred on reject authorize.","Er is een fout opgetreden bij het afwijzen van autorisatie."
"An error occurred on saving consumer data.","Er is een fout opgetreden bij het opslaan van consumer gegevens."
"An error occurred on update revoke status.","Er is een fout opgetreden bij het bijwerken intrekken status."
"An error occurred while deleting the consumer.","Er is een fout opgetreden bij het verwijderen van de consumer."
"An error occurred.","Er is een fout opgetreden."
"An error occurred. Your authorization request is invalid.","Er is een fout opgetreden: het verzoek tot autorisatie is ongeldig."
"App Name","Applicatienaam"
"Application ""%s"" has been deleted.","Applicatie ""%s"" is verwijderd."
"Application ""%s"" has been enabled.","Applicatie ""%s"" is ingeschakeld."
"Application ""%s"" has been revoked.","Applicatie ""%s"" is ingetrokken."
"Application Name","Applicatienaam"
"Application not found.","Applicatie niet gevonden"
"Are you sure you want to delete this application?","Deze applicatie definitief verwijderen?"
"Are you sure you want to disable this application?","Deze applicatie uitschakelen?"
"Are you sure you want to enable this application?","Deze applicatie inschakelen?"
"Authorization confirmed","Autorisatie bevestigd"
"Authorization confirmed.","Autorisatie bevestigd."
"Authorize","Autoriseer"
"Authorize application","Autoriseer applicatie"
"Authorized Tokens","Geautoriseerde tokens"
"Callback URL","URL succespagina (callback)"
"Cleanup Probability","Opschonen waarschijnlijkheid"
"Cleanup Settings","Opschonen instellingen"
"Close","Sluiten"
"Confirm OAuth token authorization","Bevestig OAuth token autorisatie"
"Confirm token authorization Pop Up for admin","Bevestig token autorisatie dialoogvenster voor beheerder"
"Confirm token authorization for admin","Bevestig token autorisatie voor beheerder"
"Confirmation Of Authorization","Bevestiging van autorisatie"
"Consumer Information","Consumer informatie"
"Consumer Name","Naam consumer"
"Consumers","Consumers"
"Created At","Aangemaakt op"
"Current Admin Password","Huidig wachtwoord beheerder"
"Customer","Klant"
"Customer My Account My OAuth Applications","Klant > Mijn account > OAuth applicaties"
"Delete","Verwijder"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Edit","Bewerk"
"Edit Consumer","Bewerk consumer"
"Email","E-mail"
"Email Address","E-mailadres"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"Entry with ID #%s not found.","Invoer met id #%s niet gevonden."
"Expiration Period","Vervaldatum"
"Give the verifier code to application administrator","Overhandig de verificatie code aan de applicatie-beheerder"
"ID","Id"
"Invalid Callback URL","Ongeldige callback URL"
"Invalid ID parameter.","Ongeldige ID-parameter"
"Invalid Rejected Callback URL","Ongeldige callback URL voor afgewezen verzoeken"
"Invalid entry ID.","Ongeldig record-ID"
"Invalid revoke status.","Ongeldige terugtrek-status"
"Key","Sleutel (consumer key)"
"Log In","Aanmelden"
"Log in as a customer","Als een klant aanmelden"
"Log in as admin","Als beheerder aanmelden"
"Log in as customer","Als klant aanmelden"
"Log in to use <strong>%s</strong>","Aanmelden om <strong>%s</strong> te gebruiken"
"Login","Aanmelden"
"My Applications","Mijn applicaties"
"Name","Naam"
"New Consumer","Nieuwe OAuth consumer"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth applicaties beheren"
"OAuth Authorized Tokens","OAuth geautoriseerde tokens"
"OAuth Consumers","OAuth consumers"
"OAuth authorization Pop Up for customer","OAuth autorisatie dialoogvenster voor klant"
"OAuth authorization for admin","OAuth autorisatie voor beheerder"
"OAuth authorization for customer","OAuth autorisatie voor klant"
"OAuth authorization simple for admin","OAuth eenvoudige autorisatie voor beheerder"
"Password","Wachtwoord"
"Permissions","Systeemrechten"
"Please login to proceed authorization.","Aanmelden is vereist om de authorisatie voort te kunnen zetten."
"Please select needed row(s).","Selecteer benodigede rij(en)."
"Please select revoke status.","Selecteer status van authorisatie herroepen."
"REST - My Apps","REST - Mijn apps"
"REST - OAuth Authorized Tokens","REST - OAuth geautoriseerde tokens"
"REST - OAuth Consumers","REST - OAuth consumers"
"Reject","Afwijzen"
"Reject OAuth token authorization","Afwijzen OAuth token autorisatie"
"Reject authorization","Afwijzen autorisatie"
"Reject token authorization Pop Up for admin","Afwijzen token autorisatie dialoogvenster voor beheerder"
"Reject token authorization for admin","Afwijzen token autorisatie voor beheerder"
"Rejected Callback URL","URL callback afwijzing"
"Rejection Of Authorization","Afwijzing van autorisatie"
"Revoked","Ingetrokken"
"Role Name","REST rolnaam"
"Save","Opslaan"
"Save and Continue Edit","Opslaan en verder bewerken"
"Secret","Geheim (consumer secret)"
"Selected entries enabled.","Geselecteerde records ingeschakeld."
"Selected entries has been deleted.","Geselecteerde records zijn verwijderd."
"Selected entries revoked.","Geselecteerde records zijn ingetrokken."
"Status","Status"
"System","Systeem"
"The application access request is rejected.","Het verzoek de applicatie toegang te verschaffen is afgewezen."
"The consumer has been deleted.","De consumer is verwijderd."
"The consumer has been saved.","De consumer is opgeslagen."
"Token Status Change","Status van token wijziging"
"Token Status Change Email Template","Status van token wijziging e-mailsjabloon"
"Unable to find a consumer.","Niet geslaagd een consumer te vinden."
"User ID","Gebruiker-id"
"User Name","Gebruikersnaam"
"User Type","Soort gebruiker"
"Verifier code: %s","Verifieer code: %s"
"You have no applications.","Geen applicaties gekoppeld."
"deleted","verwijderd"
"enabled","ingeschakeld"
"revoked","ingetrokken"
